"";"SIBN RX Equity";"NVTK RX Equity";"PHST RX Equity";"AFLT RX Equity";"PIKK RX Equity";"FEES RX Equity";"HYDR RX Equity";"NLMK RX Equity";"URKA RX Equity";"MTSS RX Equity";"CHMF RX Equity";"TATN RX Equity";"VTBR RX Equity";"MGNT RX Equity";"SNGS RX Equity";"SBER RX Equity";"GMKN RX Equity";"LKOH RX Equity";"ROSN RX Equity";"GAZP RX Equity";"Count"
"2006-01-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-02-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-03-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-04-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-05-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-06-30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-07-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-08-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-09-29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2006-10-31";-0,0296475483603406;0,0710753162141353;NA;0,0172030023413409;NA;NA;NA;NA;NA;-0,0128015216948044;-0,0158067190060058;-0,0165171482127217;NA;NA;-0,0306075701154749;0,0253713136518518;NA;-0,0186484913021824;NA;0,0103793664842018;10
"2006-11-30";-0,0297626255727291;0,0658492226431675;NA;-0,00589524965601897;NA;NA;NA;NA;NA;-0,00166957693904461;-0,0262023762678171;-0,032669114067666;NA;NA;-0,0254087306464813;0,0388527321502347;NA;-0,00971887351720051;NA;0,0266245918735554;10
"2006-12-29";-0,0254742256227231;0,0300091158932716;NA;-0,0207515830788683;NA;NA;NA;NA;NA;0,00501779199404423;-0,0368967455194984;-0,0342922855163276;NA;NA;-0,0212529411514408;0,107030764370557;NA;-0,0178364993525502;NA;0,014446607983536;10
"2007-01-31";-0,0180516220495821;0,0184580028184316;NA;0,0182839158821522;NA;NA;NA;-0,00404043451567188;NA;0,0311765679571598;-0,0163351488987181;-0,0302904247137601;NA;NA;-0,0344103410447231;0,0663517984936982;NA;-0,0186451132729542;NA;-0,0124972006560323;11
"2007-02-28";-0,0282585701937042;0,00953110066172417;NA;0,0271543508676094;NA;NA;NA;-0,00287308363908032;NA;0,023057018401503;-0,0211782602574336;-0,0216227831183108;NA;NA;-0,0334748769817735;0,0936152492036694;NA;-0,0205592226927604;NA;-0,0253909222514431;11
"2007-03-30";-0,0270757194367465;-0,00145449991374312;NA;0,0257591404514903;NA;NA;NA;-0,000875987642105099;NA;0,041764548348595;-0,00412267904291173;-0,00921165306151114;NA;NA;-0,0404123082670334;0,0675074064713024;NA;-0,024271854059003;NA;-0,0276063938483338;11
"2007-04-28";-0,0287523777687844;-0,0050807931799153;NA;0,020337985692811;NA;NA;NA;-0,000807855826323939;NA;0,020337219565543;-0,0147125565264857;-0,0231514435101515;NA;0,0384361923370679;-0,0266766985351881;0,0756380582642375;NA;-0,0252481224411881;-0,00841062189109075;-0,0219089861805316;13
"2007-05-31";-0,014954421963997;NA;NA;0,00182423416248521;NA;NA;NA;0,0239816367362126;NA;0,0207270360391725;-0,00317063659032381;-0,0184175679657194;NA;0,00447196692489188;-0,0259564536676931;0,0476902236677556;NA;-0,0135802534984149;0,000725439955302237;-0,0233412037996717;12
"2007-06-29";-0,0118546445195592;-0,0118457219267517;NA;0,00477421851341343;NA;NA;NA;0,0253126556411777;NA;0,0172411258195534;0,000665594494609757;-0,00819086375177489;NA;0,0104613804121794;-0,0268451763958511;0,0443503127050249;NA;-0,0135384510084779;-0,0138662522779508;-0,0166641777055929;13
"2007-07-31";-0,0141163831372615;-0,0191051283039812;NA;6,59657132099645e-05;NA;NA;NA;0,0230811050052703;NA;0,0131496374230697;0,0119244549978871;-0,00894974541080442;NA;0,0144153810490469;-0,0221974273044439;0,0462799539342636;NA;-0,0149100243621649;-0,016581616337152;-0,0130561732669396;13
"2007-08-31";-0,0137299959441746;-0,0239226277999813;NA;0,00824534236667591;NA;NA;NA;0,0206796849199785;NA;0,0157910058592232;0,0256594524757821;-0,00554874203889351;NA;0,00637322620457096;-0,0144998044804483;0,0317797656252052;NA;-0,0200257425015648;-0,014885868602837;-0,0159156960835362;13
"2007-09-28";-0,0181721897618474;-0,0242425249839144;NA;0,0156864696863204;NA;NA;NA;0,0149492912561953;NA;0,00967887882171152;0,041805651656739;0,000893561384221422;NA;-0,00188100951734107;-0,019971557915142;-0,000348471360008078;0,0307708474465789;-0,0154534303343626;-0,0179967719791841;-0,0157187443999669;14
"2007-10-31";-0,0154799568865547;-0,0191331350348176;NA;-0,00638518696135123;NA;NA;NA;0,0239589251608834;NA;0,00855588974671389;0,03924645724779;0,00691981626784833;NA;-0,00515228542020388;-0,0161402365683389;-0,00120099340412609;0,0301990432512373;-0,0122752314658443;-0,021960591498434;-0,0111525144348023;14
"2007-11-30";-0,00272203816700692;-0,00852636036966424;NA;-0,000230305570521061;NA;NA;NA;0,0120597051440736;NA;0,0221327500069526;0,0272220945085992;0,00305323186219351;NA;-0,00862802097596232;-0,0220064150217832;-0,0107105547022287;0,0196384328146565;-0,0145621656031668;-0,0157258595592849;-0,000994494366857248;14
"2007-12-29";0,0121620961119665;-0,00024892022312139;NA;0,00201497905844044;NA;NA;NA;0,00739629808346442;NA;0,0181187338898272;0,0226314425362058;-0,000649915491543182;NA;-0,00723216444587655;-0,0231611603018241;-0,00879170429222124;0,00810554361903381;-0,0216084564447239;-0,0113375707006293;0,00260079860100154;14
"2008-01-31";0,0202040163494394;0,00526873735147501;NA;0,0104549363794451;NA;NA;NA;0,0119950441666174;NA;0,0119564619580947;0,0298008246739304;-0,00718806370852113;NA;-0,00976552582551598;-0,0284060971157682;-0,0147033860762054;0,00613795007311066;-0,0185184224606631;-0,0215823604728118;0,00434588470737285;14
"2008-02-29";0,019659564222603;0,0134387064445966;NA;0,0266987583015274;NA;NA;NA;0,024577347899274;NA;0,00158437806507279;0,0409091230203271;0,0044905159932644;-0,0414633919908993;-0,00857065912915227;-0,0308768566748255;-0,0250943294427428;0,0139258966690301;-0,0222703184971865;-0,0200109098176254;0,00300217493673644;15
"2008-03-31";0,0102002081007296;0,0195317887770044;NA;0,0152691635607217;-0,0147398124953676;NA;NA;0,0127295639151972;NA;0,00495038758280408;0,0220872843274044;0,0118679195654196;-0,0310893552549977;-0,006816133504785;-0,0194122907449003;-0,0231102940859314;0,00826297816860489;-0,00567346908253399;-0,00447472405618462;0,000416785226814731;16
