GAZP RX Equity;;;ROSN RX Equity;;;LKOH RX Equity;;;GMKN RX Equity;;;SBER RX Equity;;;SNGS RX Equity;;;MGNT RX Equity;;;VTBR RX Equity;;;TATN RX Equity;;;CHMF RX Equity;;;MTSS RX Equity;;;URKA RX Equity;;;NLMK RX Equity;;;HYDR RX Equity;;;FEES RX Equity;;;PIKK RX Equity;;;AFLT RX Equity;;;PHST RX Equity;;;NVTK RX Equity;;;SIBN RX Equity;
Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST
31.01.2006;218.14;;31.07.2006;202.6;;31.01.2006;2154.02;;29.12.2006;4092;;31.01.2006;41.709;;31.01.2006;38.559;;31.07.2006;715.29;;31.05.2007;0.14463;;31.01.2006;120.924;;31.01.2006;298.94;;31.01.2006;190;;30.11.2007;122.4;;28.04.2006;63.9;;30.05.2008;2.113;;31.07.2008;0.302;;29.06.2007;657;;31.01.2006;44.79;;31.08.2007;1400;;31.01.2006;81.525;;31.01.2006;124.15
28.02.2006;218.26;;31.08.2006;197.63;;28.02.2006;2251.72;;31.01.2007;4396.99;;28.02.2006;42.902;;28.02.2006;41.043;;31.08.2006;1000;;29.06.2007;0.14069;;28.02.2006;159.146;;28.02.2006;321.33;;28.02.2006;194.36;;29.12.2007;182.95;;31.05.2006;59.3;;30.06.2008;1.825;;29.08.2008;0.328;;31.07.2007;768.5;;28.02.2006;54.88;;28.09.2007;1480;;28.02.2006;94.7039;;28.02.2006;128.78
31.03.2006;230.31;;29.09.2006;211.54;;31.03.2006;2303.95;;28.02.2007;4632.06;;31.03.2006;41.169;;31.03.2006;42.021;;29.09.2006;879;;31.07.2007;0.13669;;31.03.2006;147.667;;31.03.2006;342.97;;31.03.2006;186.72;;31.01.2008;156.9;;30.06.2006;59.5;;31.07.2008;1.517;;30.09.2008;0.156;;31.08.2007;698.17;;31.03.2006;59.57;;31.10.2007;1630;;31.03.2006;113.2623;;31.03.2006;131.11
28.04.2006;309.98;;31.10.2006;229.39;;28.04.2006;2475.67;;30.03.2007;4816.83;;28.04.2006;48.945;;28.04.2006;47.265;;31.10.2006;881.5;;31.08.2007;0.12;;28.04.2006;158.75;;28.04.2006;336.72;;28.04.2006;178.49;;29.02.2008;192.25;;31.07.2006;59.3;;29.08.2008;1.677;;31.10.2008;0.084;;28.09.2007;705.37;;28.04.2006;59.41;;30.11.2007;1468;;28.04.2006;116.001;;28.04.2006;137.67
31.05.2006;286.02;;30.11.2006;240.26;;31.05.2006;2103.68;;28.04.2007;4937.05;;31.05.2006;43.15;;31.05.2006;36.779;;30.11.2006;908.7;;28.09.2007;0.11513;;31.05.2006;118.19;;31.05.2006;321.4;;31.05.2006;161.12;;31.03.2008;191.66;;31.08.2006;53;;30.09.2008;0.88;;28.11.2008;0.164;;31.10.2007;695.83;;31.05.2006;47.19;;29.12.2007;1770;;31.05.2006;107.65;;31.05.2006;122.24
30.06.2006;280.17;;29.12.2006;243.88;;30.06.2006;2229.04;;31.05.2007;4771.33;;30.06.2006;45.95;;30.06.2006;39.567;;29.12.2006;946.8;;31.10.2007;0.11913;;30.06.2006;104.11;;30.06.2006;264.34;;30.06.2006;146.79;;30.04.2008;251.39;;29.09.2006;51.72;;31.10.2008;0.504;;31.12.2008;0.123;;30.11.2007;723.83;;30.06.2006;47.56;;31.01.2008;1575;;30.06.2006;119.9544;;30.06.2006;111.49
31.07.2006;277.83;;31.01.2007;234.11;;31.07.2006;2321.64;;29.06.2007;5355.04;;31.07.2006;46.4;;31.07.2006;39.265;;31.01.2007;995.25;;30.11.2007;0.11219;;31.07.2006;133.89;;31.07.2006;302.46;;31.07.2006;169.37;;30.05.2008;284.28;;31.10.2006;56.85;;28.11.2008;0.696;;30.01.2009;0.084;;29.12.2007;736.81;;31.07.2006;50.33;;29.02.2008;1690;;31.07.2006;121.525;;31.07.2006;115.75
31.08.2006;312.97;;28.02.2007;220.38;;31.08.2006;2245.18;;31.07.2007;5699.01;;31.08.2006;57.1938;;31.08.2006;38.993;;28.02.2007;1037.18;;29.12.2007;0.125;;31.08.2006;140.63;;31.08.2006;302.21;;31.08.2006;189.3;;30.06.2008;337.08;;30.11.2006;61.2;;31.12.2008;0.601;;27.02.2009;0.136;;31.01.2008;662.39;;31.08.2006;60.72;;31.03.2008;1525;;29.09.2006;133.5;;31.08.2006;111.75
29.09.2006;287.16;;30.03.2007;215.92;;29.09.2006;2026.51;;31.08.2007;5715.74;;29.09.2006;58;;29.09.2006;34.895;;30.03.2007;1126.55;;31.01.2008;0.099;;29.09.2006;113.16;;29.09.2006;280.56;;29.09.2006;185.05;;31.07.2008;264.05;;29.12.2006;63.98;;30.01.2009;0.595;;31.03.2009;0.149;;29.02.2008;690.39;;29.09.2006;61.05;;30.04.2008;1582.28;;31.10.2006;154.84;;29.09.2006;105.12
