<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
Индекс ММВБ,W,20111128,000000,1454.66,1523.86,1447.73,1505.77,0,0
Индекс ММВБ,W,20111205,000000,1505.77,1521.3,1390.74,1396.28,0,0
Индекс ММВБ,W,20111212,000000,1396.28,1427.29,1323.2,1383.42,0,0
Индекс ММВБ,W,20111219,000000,1383.42,1410.22,1358.65,1376.11,0,0
Индекс ММВБ,W,20111226,000000,1376.11,1409.58,1360.99,1402.23,0,0
Индекс ММВБ,W,20120102,000000,1402.25,1458.14,1401.21,1440.6,0,0
Индекс ММВБ,W,20120109,000000,1440.6,1485.17,1432.01,1463.43,0,0
Индекс ММВБ,W,20120116,000000,1463.44,1506.84,1445.94,1491.15,0,0
Индекс ММВБ,W,20120123,000000,1491.05,1519.55,1477.02,1508.04,0,0
Индекс ММВБ,W,20120130,000000,1508.04,1565.52,1492.03,1564.82,0,0
Индекс ММВБ,W,20120206,000000,1564.82,1571.7,1521.78,1525.17,0,0
Индекс ММВБ,W,20120213,000000,1525.21,1585.15,1524.56,1568.54,0,0
Индекс ММВБ,W,20120220,000000,1568.54,1595.58,1534.93,1594.55,0,0
Индекс ММВБ,W,20120227,000000,1594.5,1608.75,1570.24,1608.08,0,0
Индекс ММВБ,W,20120305,000000,1608.08,1629.55,1551.07,1606.33,0,0
Индекс ММВБ,W,20120312,000000,1606.37,1639.63,1592.53,1618.99,0,0
Индекс ММВБ,W,20120319,000000,1618.99,1626.83,1518.24,1540.97,0,0
Индекс ММВБ,W,20120326,000000,1540.39,1574.27,1486.93,1517.34,0,0
Индекс ММВБ,W,20120402,000000,1517.33,1556.53,1494.64,1497.19,0,0
Индекс ММВБ,W,20120409,000000,1497.19,1520.37,1477.46,1502.65,0,0
Индекс ММВБ,W,20120416,000000,1502.67,1506.82,1463.02,1505.1,0,0
Индекс ММВБ,W,20120423,000000,1505.1,1505.14,1439.92,1473.5,0,0
Индекс ММВБ,W,20120430,000000,1473.5,1489.92,1381.25,1386.41,0,0
Индекс ММВБ,W,20120507,000000,1386.41,1418.11,1350.14,1385.81,0,0
Индекс ММВБ,W,20120514,000000,1385.81,1388.3,1246.15,1271.48,0,0
Индекс ММВБ,W,20120521,000000,1271.28,1307.09,1241.58,1281.6,0,0
Индекс ММВБ,W,20120528,000000,1281.61,1329.35,1278.56,1298.08,0,0
Индекс ММВБ,W,20120604,000000,1298.08,1341.33,1280.1,1338.07,0,0
