,FEH MK Equity,MPHB MK Equity,PETRONM MK Equity,JT MK Equity,DEHB MK Equity,TMCL MK Equity,UMR MK Equity,PAD MK Equity,PEST MK Equity,GOLD MK Equity,EVF MK Equity,KSL MK Equity,TRCB MK Equity,MCH MK Equity,PRES MK Equity,TAGB MK Equity,KJC MK Equity,SHELL MK Equity,PMM MK Equity,SKP MK Equity,MPR MK Equity,AMW MK Equity,MMHE MK Equity,HUME MK Equity,POSM MK Equity,BC MK Equity,PHRM MK Equity,SEM MK Equity,STAR MK Equity,TAH MK Equity,MCT MK Equity,ACSM MK Equity,TC MK Equity,TCM MK Equity,VSI MK Equity,MPI MK Equity,UNI MK Equity,ALLZ MK Equity,WCTHG MK Equity,TWK MK Equity,JCYH MK Equity,SCGB MK Equity,SUCB MK Equity,GTB MK Equity,SPR MK Equity,EAST MK Equity,HAPL MK Equity,SOP MK Equity,SCI MK Equity,HLI MK Equity,GDX MK Equity,KS MK Equity,NCB MK Equity,DSON MK Equity,BPLANT MK Equity,OSK MK Equity,MRC MK Equity,DRB MK Equity,BAUTO MK Equity,UMWOG MK Equity,SHMB MK Equity,LTK MK Equity,TSH MK Equity,KAREX MK Equity,UEME MK Equity,PRESS MK Equity,GMB MK Equity,DLM MK Equity,IJMP MK Equity,IGB MK Equity,STMB MK Equity,YNS MK Equity,UOAD MK Equity,BPH MK Equity,INRI MK Equity,ECW MK Equity,MSM MK Equity,MSGB MK Equity,MAG MK Equity,BL MK Equity,CAB MK Equity,AEON MK Equity,AIRA MK Equity,TDC MK Equity,GUIN MK Equity,BOUS MK Equity,BST MK Equity,MYEG MK Equity,MBS MK Equity,ORH MK Equity,KPJ MK Equity,AHB MK Equity,BURSA MK Equity,KUL MK Equity,LPI MK Equity,UEMS MK Equity,QLG MK Equity,UPL MK Equity,SWB MK Equity,AFG MK Equity,KRI MK Equity,CMS MK Equity,FGV MK Equity,BIMB MK Equity,BAB MK Equity,MMC MK Equity,TOPG MK Equity,FNH MK Equity,BAK MK Equity,LMC MK Equity,GENP MK Equity,MLK MK Equity,DLG MK Equity,SPSB MK Equity,IOIPG MK Equity,MAHB MK Equity,HART MK Equity,UMWH MK Equity,GAM MK Equity,YTLP MK Equity,IJM MK Equity,SAKP MK Equity,HAP MK Equity,AMM MK Equity,WPRTS MK Equity,ASTRO MK Equity,YTL MK Equity,HLFG MK Equity,ROTH MK Equity,NESZ MK Equity,PEP MK Equity,RHBC MK Equity,GENM MK Equity,KLK MK Equity,T MK Equity,PETD MK Equity,GENT MK Equity,IOI MK Equity,HLBK MK Equity,CIMB MK Equity,DIGI MK Equity,MISC MK Equity,PTG MK Equity,SIME MK Equity,MAXIS MK Equity,IHH MK Equity,PCHEM MK Equity,AXIATA MK Equity,PBK MK Equity,TNB MK Equity,MAY MK Equity
04.01.2002,0.89,0,2.32,0.632,0,0,2.158,0.095,0,0.628,0,0,0.831,0,0,0,0.72,3.301,5.751,0,0.546,3.814,0,2.337,1.108,0.217,1.588,0,1.834,1.447,0,0,2.414,1.384,0.272,17.867,2.718,0,0.757,0.271,0,0,0.264,1.529,1.601,0.628,0,0.519,0.704,4.062,0,0.88,1.741,0,0,1.088,1.3,1.249,0,0,1.032,1.912,0.176,0,0.324,0.218,0,2.502,0,0.772,0.254,0.142,0,1.833,0,0.336,0,0.094,0.676,0.145,3.455,0.298,0,7.02,3.044,1.208,3.545,0,0.448,2.944,0.345,1.1,0,0.232,1.235,0,0.173,3.141,0,1.038,0.158,0.745,0,1.368,0,0.98,0.267,3.234,2.482,2.95,1.089,0,0.102,0.933,0,2.28,0,2.077,2.225,0.991,1.296,0,0.506,2.09,0,0,0.789,2.957,33.231,19.447,1.409,2.403,1.35,3.301,1.735,1.96,1.945,0.627,3.397,1.871,0.423,3.43,7.099,0,0,0,0,0,2.68,6.574,5.699
11.01.2002,0.913,0,2.35,0.632,0,0,2.188,0.096,0,0.638,0,0,0.816,0,0,0,0.724,3.319,5.681,0,0.551,3.922,0,2.439,1.108,0.217,1.527,0,1.943,1.543,0,0,2.329,1.365,0.268,17.275,2.564,0,0.762,0.252,0,0,0.257,1.529,1.65,0.633,0,0.507,0.698,4.062,0,0.9,1.728,0,0,1.119,1.271,1.32,0,0,1.012,1.938,0.176,0,0.312,0.222,0,2.517,0,0.845,0.242,0.143,0,1.879,0,0.334,0,0.094,0.688,0.147,3.355,0.298,0,6.585,3.097,1.127,3.714,0,0.451,2.928,0.366,1.202,0,0.245,1.267,0,0.172,3.091,0,1.029,0.163,0.736,0,1.35,0,1.014,0.272,3.322,2.555,2.95,1.089,0,0.12,1.037,0,2.27,0,2.194,2.423,0.979,1.253,0,0.488,2.124,0,0,0.803,2.879,33.231,19.35,1.459,2.477,1.43,3.27,1.735,1.933,2.055,0.665,3.434,1.86,0.399,3.406,6.803,0,0,0,0,0,2.691,6.83,5.938
18.01.2002,0.954,0,2.33,0.626,0,0,2.149,0.097,0,0.628,0,0,0.801,0,0,0,0.71,3.372,5.681,0,0.505,3.995,0,2.556,1.058,0.203,1.496,0,1.889,1.543,0,0,2.276,1.355,0.258,16.683,2.436,0,0.766,0.252,0,0,0.223,1.557,1.621,0.607,0,0.545,0.676,4.029,0,0.867,1.714,0,0,1.106,1.241,1.241,0,0,1.012,1.925,0.171,0,0.299,0.217,0,2.517,0,0.818,0.232,0.138,0,1.888,0,0.313,0,0.091,0.672,0.141,3.422,0.305,0,6.558,3.097,1.133,3.46,0,0.451,2.897,0.359,1.193,0,0.241,1.267,0,0.173,3.091,0,0.974,0.158,0.717,0,1.341,0,1.009,0.267,3.305,2.726,2.935,1.098,0,0.119,1.03,0,2.375,0,2.194,2.374,0.966,1.259,0,0.488,2.136,0,0,0.786,2.722,32.992,19.35,1.45,2.403,1.46,3.426,1.718,1.933,2.147,0.665,3.471,1.895,0.399,3.383,7.049,0,0,0,0,0,2.68,6.702,5.733
25.01.2002,0.936,0,2.3,0.614,0,0,2.071,0.094,0,0.613,0,0,0.847,0,0,0,0.673,3.354,5.541,0,0.505,4.14,0,2.658,1.007,0.203,1.466,0,1.925,1.556,0,0,2.287,1.355,0.256,16.387,2.5,0,0.762,0.251,0,0,0.197,1.543,1.621,0.594,0,0.53,0.648,3.996,0,0.853,1.728,0,0,1.106,1.251,1.258,0,0,1.022,1.886,0.165,0,0.299,0.203,0,2.533,0,0.812,0.231,0.145,0,1.888,0,0.303,0,0.09,0.676,0.137,3.455,0.31,0,6.639,3.114,1.127,3.376,0,0.457,2.882,0.365,1.174,0,0.238,1.267,0,0.173,3.04,0,1.011,0.153,0.682,0,1.35,0,1.024,0.257,3.287,2.751,2.935,1.098,0,0.121,1.05,0,2.299,0,2.164,2.374,0.954,1.235,0,0.486,2.286,0,0,0.803,2.774,32.992,19.058,1.409,2.431,1.47,3.363,1.624,1.942,2.128,0.675,3.508,1.919,0.371,3.288,6.951,0,0,0,0,0,2.691,6.702,5.87
08.02.2002,0.931,0,2.45,0.605,0,0,2.002,0.093,0,0.603,0,0.366,0.816,0,0,0,0.663,3.319,5.367,0,0.519,4.504,0,2.877,1.013,0.198,1.486,0,2.088,0,0,0,2.308,1.355,0.267,15.696,2.359,0,0.823,0.227,0,0,0.19,1.571,1.562,0.555,0,0.523,0.61,3.963,0,0.84,1.694,0,0,1.119,1.29,1.434,0,0,1.032,1.912,0.169,0,0.295,0.203,0,2.517,0,0.792,0.229,0.139,0,1.897,0,0.297,0,0.082,0.66,0.138,3.787,0.317,0,6.585,3.097,1.15,3.686,0,0.438,2.866,0,1.295,0,0.248,1.275,0,0.163,3.057,0,0.965,0.144,0.688,0,1.404,0,1.024,0.263,3.199,2.588,2.921,1.145,0,0.124,1.044,0,2.422,0,2.194,2.557,0.942,1.284,0,0.475,2.517,0,0,0.807,3.166,32.992,18.669,1.417,2.393,1.58,3.395,1.649,1.942,2.238,0.745,3.842,2.013,0.36,3.312,6.606,0,0,0,0,0,2.788,6.894,6.108
15.02.2002,0.922,0,2.75,0.605,0,0,1.993,0.096,0,0.583,0,0.329,0.785,0,0,0,0.673,3.354,5.332,0,0.509,4.576,0,3.008,1.064,0.193,1.527,0,2.161,1.543,0,0,2.308,1.374,0.268,15.893,2.385,0,0.836,0.232,0,0,0.191,1.571,1.581,0.55,0,0.523,0.648,3.963,0,0.84,1.728,0,0,1.119,1.271,1.487,0,0,1.042,1.912,0.167,0,0.328,0.203,0,2.502,0,0.779,0.241,0.141,0,1.897,0,0.297,0,0.082,0.668,0.138,3.82,0.314,0,6.53,3.15,1.127,3.657,0,0.438,2.897,0.368,1.416,0,0.248,1.307,0,0.163,3.074,0,1.002,0.146,0.669,0,1.449,0,1.024,0.266,3.199,2.76,2.935,1.145,0,0.127,1.037,0,2.403,0,2.237,2.533,0.942,1.309,0,0.493,2.679,0,0,0.803,3.193,33.231,18.669,1.442,2.403,1.67,3.363,1.667,1.942,2.293,0.748,4.009,2.095,0.362,3.383,6.901,0,0,0,0,0,2.991,6.766,6.245
22.02.2002,0.922,0,2.66,0.605,0,0,1.95,0.093,0,0.578,0,0.298,0.785,0,0,0,0.64,3.195,5.367,0,0.491,4.339,0,3.096,1.026,0.189,1.608,0,2.107,1.517,0,0,2.329,1.463,0.268,15.893,2.256,0,0.873,0.229,0,0,0.179,1.571,1.532,0.555,0,0.519,0.614,3.963,0,0.84,1.728,0,0,1.081,1.164,1.434,0,0,1.032,1.918,0.182,0,0.295,0.198,0,2.456,0,0.772,0.241,0.146,0,1.888,0,0.285,0,0.08,0.648,0.135,3.787,0.314,0,6.258,3.079,1.069,3.46,0,0.42,2.882,0.372,1.333,0,0.254,1.425,0,0.163,3.074,0,1.029,0.139,0.647,0,1.368,0,1.094,0.268,3.181,2.575,2.95,1.136,0,0.12,1.044,0,2.526,0,2.471,2.533,0.946,1.327,0,0.493,2.621,0,0,0.807,3.402,33.231,18.669,1.409,2.133,1.58,3.363,1.589,1.96,2.128,0.755,4.121,1.93,0.36,3.359,6.803,0,0,0,0,0,3.024,6.83,6.177
01.03.2002,0.941,0,2.7,0.602,0,0,1.941,0.092,0,0.593,0,0.298,0.785,0,0,0,0.656,3.39,5.472,0,0.381,4.264,0,3.052,1.007,0.184,1.568,0,2.125,1.569,0,0,2.382,1.424,0.274,16.485,2.385,0,0.889,0.22,0,0,0.171,1.557,1.532,0.546,0,0.526,0.598,4.062,0,0.84,1.781,0,0,1.119,1.203,1.425,0,0,1.032,1.918,0.187,0,0.299,0.195,0,2.533,0,0.752,0.217,0.139,0,1.906,0,0.285,0,0.078,0.644,0.129,3.887,0.323,0,6.122,3.132,1.098,3.46,0,0.395,2.835,0.365,1.491,0,0.245,1.568,0,0.163,3.057,0,1.002,0.138,0.654,0,1.368,0,1.089,0.267,3.146,2.649,2.817,1.164,0,0.12,1.077,0,2.497,0,2.457,2.657,1.012,1.327,0,0.515,2.725,0,0,0.803,3.533,33.948,18.863,1.417,2.095,1.67,3.426,1.589,2.116,2.33,0.777,4.176,2.06,0.36,3.406,7,0,0,0,0,0,3.109,6.766,6.04
08.03.2002,0.954,0,2.74,0.608,0,0,1.976,0.095,0,0.583,0,0.293,0.793,0,0,0,0.8,3.284,5.925,0,0.376,4.189,0,3.14,1.013,0.184,1.629,0,2.27,1.601,0,0,2.351,1.503,0.279,18.855,2.744,0,0.943,0.229,0,0,0.192,1.724,1.571,0.546,0,0.523,0.607,4.483,0,0.833,1.681,0,0,1.119,1.222,1.593,0,0,1.032,1.957,0.203,0,0.279,0.205,0,2.929,0,0.805,0.201,0.142,0,1.888,0,0.295,0,0.078,0.652,0.121,3.687,0.351,0,6.34,3.185,1.069,3.911,0,0.321,2.991,0.37,1.426,0,0.253,1.592,0,0.164,3.074,0,1.084,0.141,0.666,0,1.368,0,1.109,0.27,3.252,2.76,2.846,1.192,0,0.125,1.104,0,2.479,0,2.486,2.806,1.028,1.395,0,0.515,3.06,0,0,0.81,3.742,32.992,19.058,1.442,2.468,1.8,3.55,1.615,2.405,2.477,0.804,4.566,2.26,0.373,3.406,6.852,0,0,0,0,0,3.324,7.149,6.313
22.03.2002,0.954,0,2.73,0.632,0,0,2.08,0.1,0,0.799,0,0.287,0.808,0,0,0,0.847,3.301,6.692,0,0.367,4.451,0,3.198,1.013,0.184,1.618,0,2.506,1.624,0,0,2.435,1.533,0.284,20.335,3,0,1.004,0.243,0,0,0.183,1.752,1.621,0.563,0,0.568,0.62,4.516,0,0.873,1.761,0,0,1.119,1.28,1.628,0,0,1.052,1.944,0.206,0,0.299,0.24,0,4.333,0,0.898,0.227,0.146,0,1.897,0,0.282,0,0.076,0.652,0.136,3.953,0.36,0,6.34,3.185,1.04,4.333,0,0.327,2.928,0.386,1.342,0,0.35,1.623,0,0.163,3.074,0,1.266,0.144,0.682,0,1.368,0,1.193,0.268,3.163,2.773,2.817,1.258,0,0.137,1.171,0,2.554,0,2.515,2.781,1.074,1.487,0,0.497,3.002,0,0,0.82,3.716,32.992,19.155,1.45,2.17,1.89,3.581,1.581,2.611,2.477,0.852,4.64,2.272,0.377,3.383,6.951,0,0,0,0,0,3.259,7.213,6.313
