Date 1,GOLL4.BS.Equity,GOAU4.BS.Equity,GFSA3.BS.Equity,OIBR4.BS.Equity,RUMO3.BS.Equity,ELET3.BS.Equity,POMO4.BS.Equity,ECOR3.BS.Equity,USIM5.BS.Equity,DTEX3.BS.Equity,ELET6.BS.Equity,MRVE3.BS.Equity,HGTX3.BS.Equity,BRAP4.BS.Equity,CSNA3.BS.Equity,CYRE3.BS.Equity,MRFG3.BS.Equity,CSAN3.BS.Equity,ENBR3.BS.Equity,SMLE3.BS.Equity,CESP6.BS.Equity,CPLE6.BS.Equity,BRPR3.BS.Equity,MULT3.BS.Equity,BRKM5.BS.Equity,ESTC3.BS.Equity,RENT3.BS.Equity,NATU3.BS.Equity,QUAL3.BS.Equity,GGBR4.BS.Equity,CPFE3.BS.Equity,SBSP3.BS.Equity,BRML3.BS.Equity,SANB11.BS.Equity,HYPE3.BS.Equity,CMIG4.BS.Equity,LAME4.BS.Equity,TBLE3.BS.Equity,TIMP3.BS.Equity,KLBN11.BS.Equity,SUZB5.BS.Equity,CTIP3.BS.Equity,PCAR4.BS.Equity,CRUZ3.BS.Equity,FIBR3.BS.Equity,BBDC3.BS.Equity,KROT3.BS.Equity,LREN3.BS.Equity,CCRO3.BS.Equity,VIVT4.BS.Equity,BBAS3.BS.Equity,EMBR3.BS.Equity,BVMF3.BS.Equity,VALE3.BS.Equity,BBSE3.BS.Equity,UGPA3.BS.Equity,JBSS3.BS.Equity,VALE5.BS.Equity,PETR3.BS.Equity,ITSA4.BS.Equity,CIEL3.BS.Equity,PETR4.BS.Equity,BRFS3.BS.Equity,BBDC4.BS.Equity,ABEV3.BS.Equity,ITUB4.BS.Equity
2011-12-02,14.08,17.42,5.49,81.45,0,16.94,3.935,13.09,10.62,7.545,24.38,12.45,36,33.2,14.82,15.88,7.97,24.603,12.562,0,29.801,35.57,12.97,37.07,13.71,6.213,24.72,36.54,15.25,13.84,21.949,16.467,18.95,12.978,8.39,12.345,9.556,27.83,8.539,0,7.14,26.12,66.696,22.737,13.45,19.101,2.45,53.15,11.43,48.45,24.88,11.38,10.55,42.42,0,31.67,5.9,39.91,24.63,7.281,13.597,22.53,36.35,23.226,12.352,24.996
2011-12-09,15.7,17.79,5.31,78.965,0,17.28,3.74,12.94,10.49,7.496,25.34,12.03,36.91,32.74,15.04,15.522,8.79,24.889,12.529,0,29.925,37.44,13.282,38.99,13.88,6.467,25.282,35.9,14.95,14.03,23.044,16.433,18.7,13.165,8.8,13.035,9.374,29.2,8.717,0,7.19,26.979,67.176,23.147,13.5,19.07,2.396,53.06,11.7,47.55,24.2,11.13,10.1,41.23,0,32,5.58,39.12,24.75,7.501,13.672,23.02,37.38,23.627,12.83,25.695
2011-12-16,13.91,17.61,5.09,77.356,0,17.37,3.485,13.15,10,7.281,26.01,11.87,37.53,30.65,13.89,15.681,8.4,23.843,12.989,0,31.182,37.4,12.715,36.5,13.4,6.417,24.683,35.5,14.7,13.85,24.129,16.57,18.5,12.756,8.94,13.681,9.387,29.75,9.035,0,6.68,26.679,64.996,23.227,12.97,18.231,2.35,51,11.77,49.52,22.7,10.85,9.9,39.2,0,31.25,5.8,37.46,22.8,7.341,13.576,21.3,35.7,22.409,13.184,24.944
2011-12-23,12.8,18.24,4.25,82.255,0,18.16,3.345,13.38,10.48,7.438,26.93,10.75,33.6,32.3,14.99,15.065,8.75,23.896,13.545,0,32.525,39.9,12.751,36.35,13.68,6,23.937,36.65,16,14.62,25.447,17.217,18.06,13.449,8.64,14.513,9.293,30.7,9.302,0,6.89,26.979,66.246,23.197,14.45,19.207,2.275,50.25,12.05,51.12,23.93,11.3,10.11,40.95,0,31.65,6.64,38.95,23.9,7.641,13.744,22.22,36.6,23.438,13.31,26.063
2011-12-30,12.44,17.91,4.12,79.549,0,17.84,3.545,13.95,10.15,7.372,26.85,10.7,32.46,31.69,14.98,14.737,8.54,24.156,13.647,0,31.477,38.9,13.105,38.27,12.8,5.997,23.578,36.26,16.75,14.5,25.215,17.343,18.12,13.298,8.5,14.57,8.949,29.96,9.164,0,6.74,26.929,66.986,22.907,13.87,19.131,2.299,48.41,12.22,51.9,23.7,11.76,9.8,39.45,0,32.01,6.08,37.82,23,7.528,13.947,21.49,36.42,23.264,13.452,25.537
2012-01-06,12.12,19.67,4.39,83.059,0,18.14,3.7,12.78,10.4,7.438,26.97,11.63,35.75,32.59,15.83,15.373,8.94,24.245,13.565,0,30.572,38.2,12.751,36.3,12.92,5.9,23.946,36.9,17.25,15.8,25.166,17.833,18.11,13.422,10.25,14.448,9.293,30.69,9.471,0,6.72,25.93,66.626,22.697,14.33,19.358,2.234,52.7,11.84,50.48,23.21,11.98,10.14,41.5,0,33.29,6.07,39.46,24,7.675,13.802,22.33,36.59,23.907,12.79,26.236
2012-01-13,12.05,20.18,4.2,78.233,0,17.63,3.665,12.72,10.96,7.512,26.15,12.03,37.56,31.92,16.37,15.045,8.38,24.549,13.318,0,30.372,37.34,12.375,35.6,12.89,5.917,23.569,37.84,16.25,16.4,24.614,17.607,18,13.867,9.89,14.338,9.387,31.4,9.392,0,6.87,26.279,69.365,22.287,14.7,19.108,2.213,53.8,11.53,50,24.7,11.77,10.11,40.45,0,34.45,5.42,38.95,25.37,7.775,14.146,23.05,35,23.612,12.792,26.672
2012-01-20,12.36,21.29,4.31,79.403,0,17.58,3.845,12.6,11.48,8.198,25.55,13.92,40.2,33.84,17.9,16.128,8.3,24.782,13.098,0,31.077,38.1,13.105,37.4,14.31,6.667,25.835,39.4,17.27,16.74,24.662,18.06,19.17,14.613,11.5,14.982,10.013,30.95,9.669,0,7.43,26.929,71.635,22.117,15.3,20.198,2.388,57.61,11.61,51.11,26.1,12.15,10.4,42.92,0,34.92,6.02,40.99,26.35,8.035,14.954,24.22,35.3,24.422,12.982,27.874
2012-01-27,12.26,21.15,4.49,80.281,0,17.48,3.92,12.45,11.71,8.025,24.81,14.13,41.7,33.6,18.3,16.694,8.19,24.782,13.292,0,31.525,38.8,13.353,39.2,15.9,6.75,26.065,38.29,17.3,16.86,24.614,18.7,19.46,14.951,10.5,14.978,10.275,29.95,9.56,0,7.47,26.329,72.485,22.697,14.8,20.364,2.5,57.85,11.88,48.64,27.05,11.8,10.89,43.04,0,34.25,5.99,41.32,26.86,7.781,14.786,24.67,34.67,24.936,12.732,27.13
2012-02-03,13.03,22.84,5.11,82.401,0,17.64,4.155,12.65,12,8.529,25.13,14.28,42.25,36.1,18.65,17.449,8.2,25.811,13.154,0,31.753,40,13.743,41.6,15.75,6.847,27.124,39.74,17.1,18.16,24.808,19.427,20.61,15.529,11.4,15.437,10.701,29.5,9.451,0,8.19,28.877,74.634,23.737,15.18,19.812,2.725,60.83,12.78,47.5,27.3,12.07,11.84,45.87,0,36.4,6.6,43.83,26.86,7.828,15.909,24.61,34.66,24.021,13.06,26.927
2012-02-10,12.38,21.92,4.95,80.427,0,18.99,4.295,13.67,11.85,7.992,26.86,13.52,41.65,36.03,17.88,16.624,8.53,26.097,13.071,0,35.001,41,14.203,40,15.2,6.667,27.631,40.7,17,17.6,25.651,19.86,20.35,15.547,11.94,16.335,10.826,29.88,9.312,0,8.13,29.207,73.984,23.167,15.53,19.403,2.675,59.83,12.8,47.89,26.08,12.21,11.6,44.33,0,35.9,7.13,42.63,25.25,7.928,15.914,23.5,33.85,23.385,12.812,27.273
2012-02-17,14.96,22.47,5.39,80.281,0,19.36,4.25,14.68,11.98,8.19,27.37,14.44,44.7,35.43,17.5,18.62,9.83,27.734,13.4,0,35.858,41.64,14.805,39.45,15.5,6.8,28.966,41.45,17.03,17.72,26.697,21.507,22.89,16.409,12.52,16.878,11.383,30.5,9.808,0,8.49,29.987,79.183,23.657,16.5,19.765,2.813,64.75,13.89,51.3,28,13.08,11.76,42.93,0,37.51,7.03,41.99,25.36,8.008,17.011,24.05,35.96,23.341,13.382,27.543
2012-02-24,14.32,22.69,5.16,80.207,0,18.97,4.165,13.99,11.86,8.025,26.77,13.91,45.35,35.9,17.59,17.876,9.23,27.054,13.45,0,35.315,42,14.855,38,15.54,6.63,29.933,41.37,15.95,17.78,26.629,21.367,21.37,15.894,11.36,17.027,11.239,30.1,10.354,0,8.26,31.276,77.853,24.697,15.33,19.5,2.938,63.58,13.7,50.86,27.35,12.99,11.72,44.09,0,38.1,7.03,42.97,25.95,7.862,17.332,24.48,34.91,23.008,13.591,27.047
2012-03-02,14.5,23.7,5.05,86.13,0,18.88,4.475,14.63,12.18,7.901,26.3,14.5,46.55,36.45,18.23,18.799,10.34,28.173,14.005,0,35.715,45.52,15.584,40,16.3,6.89,30.145,41.43,15.15,18.36,26.988,22.257,22.31,17.289,12.1,17.518,10.945,30.74,10.413,0,8.73,32.575,80.463,27.057,15.85,20.682,3.004,64.32,13.91,51.8,28.6,12.99,12.03,44.45,0,39.5,8.07,43.3,26.6,8.255,18.226,25.3,35.28,24.295,13.831,28.325
2012-03-09,14.46,23.04,5.21,82.767,0,18.3,4.455,15.54,12.01,8.397,25.71,14.5,48.72,33.65,17.94,18.372,11.31,28.226,13.943,0,35.706,43.85,16.76,43.53,15.15,6.633,30.992,41.35,14.64,17.86,28.228,22.1,24,16.631,11.45,18.118,11.033,32.61,10.681,0,8.1,33.274,86.482,28.046,15.57,21.25,2.844,66.25,14.43,54.67,28.73,13.01,12.51,41.11,0,39.8,8.2,39.93,24.87,8.335,17.894,23.71,36.5,24.674,14.725,28.866
2012-03-16,14.57,24.2,5.12,87.519,0,17.9,4.65,15.52,13.61,9.339,24.15,14.37,47.35,35.35,19.43,17.588,11.46,30.329,13.778,0,34.82,43.83,16.151,43.4,15.52,6.483,31.434,40.22,15.9,19.17,27.695,22.25,23.25,16.765,12.13,18.258,10.582,32.45,11.018,0,8.14,31.625,85.982,27.586,14.99,21.477,2.969,63.73,14.5,55.35,28.88,13.83,12.16,42.97,0,39.94,8.35,41.9,25.2,8.395,17.237,24.35,37.75,25.076,14.651,29.001
