Date 1,HEXW.IN.Equity,FAG.IN.Equity,FORH.IN.Equity,TPW.IN.Equity,TGBL.IN.Equity,TRCL.IN.Equity,NTCPH.IN.Equity,TI.IN.Equity,GFLC.IN.Equity,PEPL.IN.Equity,SI.IN.Equity,HWA.IN.Equity,WLSI.IN.Equity,IRB.IN.Equity,ADE.IN.Equity,RCAPT.IN.Equity,WHIRL.IN.Equity,AIAE.IN.Equity,INXW.IN.Equity,NACL.IN.Equity,VOLT.IN.Equity,GPPV.IN.Equity,APTY.IN.Equity,BIOS.IN.Equity,CIFC.IN.Equity,SPADV.IN.Equity,MPHL.IN.Equity,BOI.IN.Equity,RELI.IN.Equity,GRHF.IN.Equity,MACA.IN.Equity,IDBI.IN.Equity,SANL.IN.Equity,MRPL.IN.Equity,INFOE.IN.Equity,PI.IN.Equity,SJVN.IN.Equity,TTCH.IN.Equity,IPCA.IN.Equity,UNBK.IN.Equity,FB.IN.Equity,CRG.IN.Equity,RPWR.IN.Equity,TVSL.IN.Equity,BOOT.IN.Equity,SUEL.IN.Equity,PFIZ.IN.Equity,TCOM.IN.Equity,JUBI.IN.Equity,LTFH.IN.Equity,DITV.IN.Equity,SCUF.IN.Equity,CBOI.IN.Equity,JSW.IN.Equity,NBCC.IN.Equity,TMX.IN.Equity,MTCL.IN.Equity,X3M.IN.Equity,GDSP.IN.Equity,WIL.IN.Equity,NLC.IN.Equity,EXID.IN.Equity,ATD.IN.Equity,MAX.IN.Equity,PLNG.IN.Equity,CRISIL.IN.Equity,AJP.IN.Equity,CBK.IN.Equity,KNPL.IN.Equity,ALPM.IN.Equity,SUNTV.IN.Equity,BYRCS.IN.Equity,MMFS.IN.Equity,RJEX.IN.Equity,WPL.IN.Equity,BRGR.IN.Equity,RCOM.IN.Equity,VED.LN.Equity,HNDL.IN.Equity,GILL.IN.Equity,PAG.IN.Equity,TPWR.IN.Equity,PIEL.IN.Equity,HAVL.IN.Equity,SUF.IN.Equity,AMRJ.IN.Equity,MRF.IN.Equity,BDE.IN.Equity,BJHI.IN.Equity,NHPC.IN.Equity,APHS.IN.Equity,SAIL.IN.Equity,DLFU.IN.Equity,SHTF.IN.Equity,PG.IN.Equity,IDFC.IN.Equity,IDFC.F.IN.Equity,LICHF.IN.Equity,CSTRL.IN.Equity,TATA.IN.Equity,JSTL.IN.Equity,UBBL.IN.Equity,UPLL.IN.Equity,PNB.IN.Equity,AL.IN.Equity,ABB.IN.Equity,RECL.IN.Equity,ACC.IN.Equity,IHFL.IN.Equity,BHFC.IN.Equity,ABNL.IN.Equity,CLGT.IN.Equity,SKB.IN.Equity,MRCO.IN.Equity,BHE.IN.Equity,HPCL.IN.Equity,PNB.F.IN.Equity,BAF.IN.Equity,CAIR.IN.Equity,OINL.IN.Equity,TRP.IN.Equity,YES.IN.Equity,HMN.IN.Equity,VEDL.IN.Equity,BJFIN.IN.Equity,ESOIL.IN.Equity,CCRI.IN.Equity,PIDI.IN.Equity,GLXO.IN.Equity,TTAN.IN.Equity,TTAN.F.IN.Equity,KKC.IN.Equity,POWF.IN.Equity,DIVI.IN.Equity,GNP.IN.Equity,GRASIM.IN.Equity,ACEM.IN.Equity,GRASIM.F.IN.Equity,OFSS.IN.Equity,Z.IN.Equity,BRIT.IN.Equity,BOB.IN.Equity,GAIL.IN.Equity,MSS.IN.Equity,CDH.IN.Equity,SRCM.IN.Equity,NMDC.IN.Equity,ARBP.IN.Equity,SIEM.IN.Equity,HMCL.IN.Equity,GCPL.IN.Equity,UNSP.IN.Equity,IIB.F.IN.Equity,IIB.IN.Equity,DABUR.IN.Equity,EIM.IN.Equity,BHEL.IN.Equity,TECHM.IN.Equity,CIPLA.IN.Equity,HZ.IN.Equity,IDEA.IN.Equity,NEST.IN.Equity,BPCL.IN.Equity,BJAUT.IN.Equity,PWGR.IN.Equity,PWGR.F.IN.Equity,ADSEZ.IN.Equity,MM.IN.Equity,BOS.IN.Equity,DRRD.IN.Equity,APNT.IN.Equity,BHIN.IN.Equity,UTCEM.IN.Equity,LPC.IN.Equity,NTPC.IN.Equity,IOCL.IN.Equity,TTMT.IN.Equity,TTMT.A.IN.Equity,KMB.IN.Equity,KMB.F.IN.Equity,AXSB.IN.Equity,MSIL.IN.Equity,MSIL.F.IN.Equity,HCLT.IN.Equity,BHARTI.IN.Equity,WPRO.IN.Equity,LT.IN.Equity,ICICIBC.IN.Equity,SBIN.IN.Equity,HDFC.IN.Equity,HUVR.IN.Equity,ONGC.IN.Equity,SUNP.IN.Equity,COAL.IN.Equity,HDFCB.IN.Equity,INFO.IN.Equity,ITC.IN.Equity,RIL.IN.Equity,HDFCB.F.IN.Equity,TCS.IN.Equity
2011-12-04,83.9,1160.9,115.25,201.95,91.75,115.55,228.2,126.1,439.1,79.85,178.4,1980.8,26.9,152.2,67.79,298.7,183.1,294.7,0,54.75,91.89,59.5,66.3,321.43,138.8,72.7,315.25,340.55,413.4,53.09,58.8,97.4,2232.11,62,323.27,106.02,20.75,351.07,265,223.75,39.64,132.25,90.15,58.95,1469.45,23.8,1141.4,196.8,830.4,46.35,68.3,505,92.85,44.9,0,469.95,204.66,3835.65,198.09,1281.05,75.85,118.15,208.95,166.9,164.75,887.79,46.02,443.6,86.78,42.25,281.6,784.95,133.52,135.4,422.05,50.53,77.35,1086,135.4,1996.4,2548.7,94.19,368.3,85.1,266.73,111.15,7392.15,1430.05,709.1,22.85,668.6,87.15,223.45,541.75,1889.45,115.45,0,233.65,207.95,419.1,636.75,399.95,137.2,183.27,25,618.75,198.5,1214,0,269.95,914.35,1000.85,2488.65,143.04,1505.9,291.8,184,630.41,317.15,457.12,275.3,290.2,263.14,190.25,439.46,70.65,609.6,156.85,1925.7,191.45,186.1,358.25,180.45,763.5,317.85,2451.35,160.6,2550,2046.45,126.9,465.05,146.16,398.45,45.44,700.05,2131.55,189.95,46.35,723.45,2080.95,396.5,714.25,278.75,274.8,95.4,1576.6,282.65,144.53,331,125.9,96.95,4222.7,278.75,1714.55,103.4,0,130.3,749.12,7025.55,1577.4,285.84,0,1176.7,470.05,171.19,267.7,189.86,100.1,247.93,239.07,201.19,992.35,0,206.79,390.6,349.44,873.53,157.54,188.69,667.6,389.12,268.1,266.57,334.65,466,670.67,206.5,812.05,453.45,1152.5
2011-12-11,83.8,1164.43,112.05,198.55,89.7,115.75,247.95,121.25,402.5,77.6,176.5,1888.5,25.95,148.6,64.97,290.79,169.25,290,0,51.05,87.64,54.95,65.4,311.02,133.75,73.78,324.65,336.75,387.9,53.03,57.25,92.8,2195.08,60.05,319.35,110.04,20.6,350.03,261.05,213.95,38.9,125.1,84.45,55.9,1474.1,22.4,1131.14,190.5,772.65,45.55,61,500,90.1,43.25,0,455,202.92,3646.9,197.14,1277.5,73.7,119,201.05,167.35,158.9,864.42,44.54,433,87.58,39.4,282.1,771,133.6,138.4,403.4,49.43,76.05,1112,132.15,1964.2,2655.25,91.87,379.8,86.98,267.8,107.55,7234.4,1502.4,701.45,21.95,627.05,83,213.85,530.1,1868.85,109.65,0,228.56,197.68,397.55,586.3,456.8,132.5,185.4,25.5,605.55,184.7,1163.8,0,263.25,917.65,999.75,2575.85,139.41,1529.85,294.65,190,644.11,306.65,476.06,271.87,286.55,257.78,174.6,417.11,67,599.33,148.85,1863.15,185.1,182.8,336.55,162.45,729.4,304.7,2411.75,159.6,2480,1955.55,124.2,457.2,145.22,392.55,45.04,696,2079.9,176.85,44.88,690.65,2033.4,387.75,717.75,260,260.4,95.5,1556.7,263.75,139.66,325.65,123.8,86.35,4190.55,277.25,1670.35,98.55,0,127.3,702.56,6875.65,1572.45,283.02,0,1208.15,441.35,164.5,270.1,181.06,94.36,244.45,241.8,198.38,985.8,0,202.3,358.7,361.17,817.9,146.23,186.56,655.4,380.05,261.4,256.45,316.05,443.75,674.69,197.15,755.7,453.9,1147.02
2011-12-18,81.5,1068.19,92.4,196.1,86.4,107.7,230,113.2,350.25,68.3,175.4,1686.6,23.35,147.2,63.01,244.27,160.45,280,0,49.9,79.7,51.85,60.85,259.81,116.15,74.37,343,310.05,349.5,52.97,50,86.3,2221.49,58.4,308.75,92.33,19,325,253.8,187.25,37.56,119.15,74.6,51,1449.9,19.05,1113.67,201.15,753.4,44.05,60.85,474.3,82.4,39.1,0,411.1,201,3532.25,189.35,1176.15,71.85,115.05,143.65,154.65,160.3,889.08,41.85,407.5,87.29,39.3,267,721.3,129.22,127.1,336.35,43.78,66.95,1085,125.9,1861.75,2498.95,85.65,372.65,78.14,252.43,98.33,7007.05,1478.3,706.9,19.95,531.85,74.75,194.95,517.45,1798,104.45,0,214.83,193.4,364.95,509.5,401.5,134.25,165.73,23.05,562.55,173.4,1128.75,0,251.05,828.45,1014,2522,133.56,1470.1,263.55,170.01,622.15,297.7,469.62,264.88,256.5,236.78,162.05,412.09,47.75,572.87,140.85,1840.15,161.5,163.3,333.6,150.65,756.5,303.55,2370.15,152.95,2465,1979.25,119.45,454.1,140.85,377.75,43.14,710.25,1979.2,153.8,44.73,649.35,1925.7,395.45,620.05,256.55,251.85,95.8,1479.8,240.4,140.51,331.7,117.1,84,4206.85,263.9,1650.75,98.1,0,126.65,659.41,6597.1,1605.3,271.27,0,1138.15,430.1,159.4,266.95,170.57,87.09,240.78,240.73,180.81,931.55,0,204.58,336.55,360.01,715.1,135.2,167.91,626.35,387.05,250.3,257.05,300.75,415.3,678.22,195.8,721.85,431.35,1121.49
2011-12-25,79.65,1017.35,90.1,193.95,88.7,103.35,233.6,109.35,384.85,68.05,163,1736.8,24.35,140.4,64.27,243.23,161.4,275.05,0,50.4,80.3,56.05,60.45,268.29,113.55,69.89,306.25,292.8,360,52.72,49.35,82.25,2292.46,56,287.98,100.01,18.9,312.47,283.05,170.85,35.21,121.35,71.95,53,1451.4,18.95,1088.79,207.4,762.8,43.4,61.3,488.95,73.7,39,0,414.95,199.33,3626,178.21,1189.1,73.4,108,154.45,147.15,161.2,850.51,40.8,362.15,86.12,36.8,291.75,693.6,121.68,132.3,289.95,42.68,67.15,1019,121.75,1933.95,2378.5,84.97,377,77.03,250.45,98.6,6964.35,1486.05,689.5,19.05,567.85,80.05,193.95,444.95,1694.55,98.7,0,227.76,201.56,347.3,512.95,395.75,134.1,163.36,23.65,591.05,147.6,1139.05,0,252.5,749.8,1023.95,2486.85,138.64,1398.95,263,169,613.6,317.4,467.82,262.98,252,232.62,161.7,415.24,49.45,555.7,140.85,1913.35,171.55,174.85,345.35,133.05,758.7,272.1,2456.05,156,2510,1815.2,117.9,440.15,135.12,391.15,41.32,659.2,2100.95,156.95,43.98,657.9,1850,383,594.4,253,239.6,100.4,1446.8,241.9,141.91,330.6,122.15,78.75,4087.45,253.25,1598.55,101.25,0,124.9,695.77,6635.3,1589.6,266.32,0,1180.95,427.9,156.78,273.15,182.99,88.38,228.53,231.73,175.99,975.5,0,193.22,330.65,362.11,672.57,144.35,164.74,660.9,405.67,262,249.38,299.95,437.55,670.82,204,746.4,443,1132.1
2012-01-01,75.1,1040.92,84.2,197.05,90.1,102.7,232.2,107.25,345.45,71.3,176.1,1722.7,24.7,130.2,58.76,232.36,156.9,271.05,0,50.9,73.36,53.4,59.1,271.51,113.1,73.88,300.75,266.35,340.8,55.86,46.7,77.95,2327.1,51.7,283.68,101.8,19,310.98,275.85,169.85,33.68,126.1,70.95,52,1460.9,18,1080.69,212.5,754.4,42.85,58.8,483.7,65.8,37.75,0,393.4,198.26,3544.05,171.01,1169.5,72.85,105.05,163.5,146.15,155.8,877.24,39.82,364.5,85,35.45,274.25,713.95,121.96,125.3,276.45,43.18,70.05,1015,115.85,1972.9,2393.9,84.2,378.2,77.04,251.63,102,6979.2,1583.05,681.65,18.05,565.2,81.5,183.1,420.85,1883.95,91.65,0,220.97,204.8,335.35,507.2,383.9,126.9,156.16,22.8,583.3,153.75,1136.9,0,252.1,740.15,990.55,2540.55,140.72,1350.3,252.95,164,588.93,314.25,475.48,266.71,238.8,225.57,163.4,421.72,50.3,559.33,144.25,1945.15,171,172.55,350.25,138.15,776.65,293.55,2488.75,155.35,2532,1857.45,117.85,448.6,133.07,383.65,40.37,704.35,2110.25,160.9,42.58,642,1905.15,385.6,491.9,235,225.85,99.45,1488,238.85,143.43,319.9,119.7,82.3,4094.85,238.9,1591.4,100.1,0,120.05,681.13,6775.6,1577.95,259.24,0,1166.5,447.85,159.3,253.75,176.8,85.95,215.28,223.1,161.62,918.3,0,192.48,343.5,355.6,663.1,136.93,161.91,652.05,401.44,256.6,248.82,300.65,426.85,688.97,201.3,692.95,430.65,1135.53
2012-01-08,79.65,1043.22,94.2,201.05,93.35,103.95,234.75,114,390.95,73.15,179.15,1743.4,31.2,125.15,53.87,259,148.3,280.15,0,55.65,76.86,57.45,62.65,266.55,118.75,75.74,307.3,291.6,376.8,54.43,48.75,83.5,2304.97,54.1,292.5,98.01,19.35,318.34,284.15,170.25,36.14,126.8,73.65,47.25,1450,18.35,1079.17,214.4,751.15,43.95,59.05,501.6,70.35,39.5,0,419.55,210.55,3645,176.86,1216.55,80.65,116.05,161.95,143.2,160.05,845.85,40.01,378.25,87.22,36.85,278.35,746.35,121.24,134.75,273.25,44.98,78,1006,117.9,1911.05,2428.05,88.64,384.15,82.35,258,102.45,6965.35,1580.5,648.8,18.55,576.75,84.3,176.65,482.3,1800.05,97.9,0,225.51,202,362.75,569.55,407.75,134.9,162.96,23.4,583.65,160.7,1101.8,0,259.85,756.65,984.6,2504.9,146.38,1414.55,242,167,584.12,338.2,448,261.11,251.35,219.23,165.7,417.25,57.35,559.5,142.6,1957.55,174.3,173,342.1,145.95,777,291.25,2427.8,152.75,2499,1966.45,116.35,444,140.08,383.15,40.58,687.25,2085.8,172.15,45.25,668.5,1729.8,384.6,526.95,241,243.7,99,1498.05,250.7,149.88,335.8,123.15,81.65,4125.7,238.07,1448.45,99.85,0,127.3,653.16,7031.35,1604.95,266.28,0,1142.2,444.9,155.59,256.2,201.09,99.76,225.57,225.9,170.44,954.6,0,205.92,330.9,362.87,721.8,149.04,166.91,668.55,389.86,256.4,250.05,319.55,450.95,705.78,201.65,714.75,452.5,1147.12
2012-01-15,82.25,1098.89,101.6,221.45,94.15,104.5,252.6,121.05,407.9,72.45,179.7,1860.6,38.05,145.05,64.62,296.28,163.35,284.2,0,57.95,86.4,61.95,67.65,264.82,133.2,78.89,334.8,301.65,410.8,57.07,53.15,91.15,2259.87,57.5,283.5,94.79,19.4,313.81,276.05,190.2,36.37,139.65,89.4,49.35,1431.15,22.45,1077.16,222.5,782.2,48,65.35,527.65,77.2,44.05,0,461.75,217.65,3653.4,186.8,1280.4,83.25,121.05,176.55,152.8,156.55,911.21,41.33,408.1,86.6,38.05,287.9,746.85,127.6,138.55,336.4,48.65,87.55,1085,133.4,1874.4,2450.75,92.79,412.5,85.31,263.75,103.13,7261,1615.5,651.2,20.4,626.9,92.3,196.6,535.45,1808.05,108.45,0,240.64,208.98,415.7,638.05,444,137.4,178.97,24.9,705.6,168.95,1124.45,0,284.85,819.35,942,2519.45,147.06,1520.15,254,180.6,628.71,336.15,463.68,272.64,280.8,224.91,186.45,445.6,61.95,558.83,146.75,1963.25,182.8,184,391.65,153.8,779.45,311.85,2478.5,151.5,2540,2004.2,121.9,438.95,145.4,373.45,46.16,673.95,2075.95,175.15,53.63,722.8,1793,388.15,599.35,283.2,280.25,97,1533.2,266.8,150.5,338.5,126.95,85.45,3943.15,254.32,1430.75,101.95,0,131.55,691.67,7132.95,1660.75,277.21,0,1164.45,428.7,164.6,267.3,206.58,102.73,236.28,233.45,187.94,977.05,0,197.34,334.6,357.65,781.67,157.89,177.61,681.55,385.92,259.7,256.8,343.8,469.6,643.3,207.05,731.8,466.6,1062.25
2012-01-22,79.85,1172.36,100.05,218.4,92.65,107.6,272.15,120.25,426.3,76.2,182.4,2066.85,35.5,161.35,81.22,319.76,179.2,287,0,55.15,91.99,59.95,64.5,268.39,143.7,82.09,345.55,319.1,480.3,56.09,54.55,95.9,2253.89,57.25,294.5,88.91,19,322.37,277.25,195.5,38.21,134,91.6,51.3,1478.65,24.6,1159.26,219.5,834.2,46.35,59.85,532.2,78.8,43.35,0,489.85,221.89,3660.75,185.45,1322.7,79.65,125.6,181.2,156.05,157.55,886.11,42.27,430.2,86.01,37.6,279.4,759.7,133.04,136.6,354.3,47.58,90.6,1146,143.6,1884.6,2525.9,101.33,415.8,84.91,268.75,101.78,7113.65,1688.6,649.75,20.35,600.7,91.6,214,563.55,1833.55,120.55,0,239.04,212.25,436.55,647.1,442.1,142.45,189.71,26.65,736.25,186.1,1150.05,0,283.2,819.4,960.35,2484.55,146.48,1467.55,268.45,190,665.34,346.4,461.5,275.6,297.9,230.34,189.5,445.6,52.05,575.13,144.95,1962.75,191.9,182.3,408.95,162.15,777.35,318,2489.2,158.3,2608,1967.4,117.55,455.95,155.98,372.35,44.13,649.45,2175.35,171.55,49.98,753.75,1946.6,402.8,623.3,287,280.6,95.75,1613.15,273.75,150.57,337.85,126.8,84.3,4143.3,279.95,1561.35,101.45,0,155.4,656.36,7233.8,1645.15,273.24,0,1213.75,440.85,172.82,274.65,216.77,113.27,247.15,236.98,201.81,1103.5,0,207.21,342.35,369.02,849.6,168.49,193.29,692.1,385.43,275.95,264.07,344.8,490.55,644.44,201.3,792.65,485,1056.13
2012-01-29,82.9,1183.52,105.7,217.05,97.1,114.55,272.45,119.25,485.15,80.35,174.15,2218.35,42.95,174.1,84.75,338.84,173.65,302.25,0,59.45,94.84,58.45,68.95,262.59,153.05,80.32,380.9,352.75,529.9,57.44,59.1,100.7,2292.31,61.2,300.5,89.87,19.1,335.05,296.1,215.05,40.45,144.4,97.25,53.65,1454.1,28.6,1209.08,231.95,856,48.7,63.35,539.9,86.3,53,0,502.6,221.32,3720.85,196.89,1348.15,87.8,129.9,178.7,163.35,163.75,896.8,45.77,465.05,87.6,38.75,296.95,762.3,141.99,133.3,373.8,47.35,96.35,1226,144.45,1938.25,2503,101.37,403.5,85.79,285.05,102.13,7391.9,1732.7,670.4,20.5,602.65,105.2,211.6,597.7,1865.5,131.4,0,251.52,232.61,458.75,662.15,415.75,149.65,194.23,27.25,797.05,198.15,1191.7,0,289.25,833.25,977.25,2487.1,145.17,1434.3,289.35,197.6,706.24,352.45,480.2,267.01,326,229.97,214.75,449.62,62.45,642.7,136.85,1946.35,206.45,197.3,422.95,168.1,817.55,314.95,2579.7,161.9,2640,1969.95,128.05,459.35,152.05,372.5,46.61,655.55,2227.55,182,56.5,753.7,1818.45,433.05,658.85,299.95,287.85,94,1629.65,273.6,159.34,345.55,133.9,94.3,4281.2,288.65,1539.75,103.15,0,147.1,699.42,7337.1,1645.65,291.64,0,1229.8,467,172.38,289.25,237.3,117.42,246.48,246.88,214.61,1210.65,0,212.35,374.6,372.81,921,177.59,204.06,699.8,384.24,278.3,264.4,341.95,484.2,678.35,201.8,820.4,490.1,1084.75
2012-02-05,99.25,1200.32,108.45,218.55,119.75,129.7,273.7,122.75,502.3,96.85,174.95,2384.15,43.7,174.45,85.53,369.69,177.95,300.2,0,63.75,93.39,59.1,70.35,276.67,153.8,81.65,374.5,348.35,557.05,62.47,61,100.05,2241.68,62.5,322.75,92.13,19.45,343.26,313.2,229.55,40.37,143.35,100.4,51.55,1466.5,29.45,1163.73,229.2,977.55,48.5,64.35,545.25,86.2,54.4,0,521.25,224.38,3517.15,212.68,1335.55,97.4,136.9,183.35,167,165,908.53,49.72,483.95,87.13,41.55,308.15,813.8,139.62,135.75,411.8,49.65,93.7,1359,152.65,1901,2575.95,108.76,437.8,98.36,286.88,113.75,8182.05,1669.85,685.55,21,602.5,105,230.85,603.1,1899,138.3,0,260.95,242.78,467.5,708.95,442.9,147.2,192.56,26.3,890.05,204.85,1267.25,0,304.95,852.3,1000.45,2664.35,158.39,1430.15,286.45,192,769.45,344.15,503.78,276.98,344.75,244.72,230.65,485.58,62.45,638.8,136.55,1959.95,196.7,194.65,440.15,186.75,781.5,295.35,2738.8,172.5,2854,2099.05,132.55,475.15,152.44,391.45,46.18,678.9,2274.2,182.7,60.2,749.95,1952.9,441.05,713.3,312.65,298.4,97.9,1753.55,264.75,163.35,345.15,142.25,93.7,4238.4,287.93,1611.85,106.95,0,150.25,710.11,7362.75,1670.75,295.03,0,1275.8,478.85,175.1,272,245.02,117.92,259.35,254.35,219.87,1240.85,1215.65,225.25,387.6,381.24,903.07,183.26,210.31,696.65,395.53,281.65,278.15,327.35,506.25,692.85,200.65,838.3,497.8,1146.19
