,OBER IN Equity,HEXW IN Equity,FORH IN Equity,TGBL IN Equity,TRCL IN Equity,NTCPH IN Equity,TI IN Equity,GFLC IN Equity,PEPL IN Equity,SI IN Equity,HWA IN Equity,WLSI IN Equity,IRB IN Equity,ADE IN Equity,RCAPT IN Equity,WHIRL IN Equity,AIAE IN Equity,INXW IN Equity,0CL IN Equity,VOLT IN Equity,GPPV IN Equity,APTY IN Equity,BIOS IN Equity,CIFC IN Equity,SPADV IN Equity,MPHL IN Equity,BOI IN Equity,RELI IN Equity,GRHF IN Equity,MACA IN Equity,IDBI IN Equity,SANL IN Equity,MRPL IN Equity,INFOE IN Equity,PI IN Equity,SJVN IN Equity,TTCH IN Equity,IPCA IN Equity,UNBK IN Equity,FB IN Equity,CRG IN Equity,RPWR IN Equity,TVSL IN Equity,BOOT IN Equity,SUEL IN Equity,PFIZ IN Equity,TCOM IN Equity,JUBI IN Equity,LTFH IN Equity,DITV IN Equity,SCUF IN Equity,CBOI IN Equity,JSW IN Equity,NBCC IN Equity,TMX IN Equity,MTCL IN Equity,3M IN Equity,GDSP IN Equity,WIL IN Equity,NLC IN Equity,EXID IN Equity,ATD IN Equity,MAX IN Equity,PLNG IN Equity,CRISIL IN Equity,AJP IN Equity,CBK IN Equity,KNPL IN Equity,ALPM IN Equity,SUNTV IN Equity,BYRCS IN Equity,MMFS IN Equity,RJEX IN Equity,WPL IN Equity,BRGR IN Equity,RCOM IN Equity,VED LN Equity,HNDL IN Equity,GILL IN Equity,PAG IN Equity,TPWR IN Equity,PIEL IN Equity,HAVL IN Equity,SUF IN Equity,AMRJ IN Equity,MRF IN Equity,BDE IN Equity,BJHI IN Equity,NHPC IN Equity,APHS IN Equity,SAIL IN Equity,DLFU IN Equity,SHTF IN Equity,PG IN Equity,IDFC IN Equity,LICHF IN Equity,CSTRL IN Equity,TATA IN Equity,JSTL IN Equity,UBBL IN Equity,UPLL IN Equity,PNB IN Equity,AL IN Equity,ABB IN Equity,RECL IN Equity,ACC IN Equity,IHFL IN Equity,BHFC IN Equity,ABNL IN Equity,CLGT IN Equity,SKB IN Equity,MRCO IN Equity,BHE IN Equity,HPCL IN Equity,BAF IN Equity,CAIR IN Equity,OINL IN Equity,TRP IN Equity,YES IN Equity,HMN IN Equity,VEDL IN Equity,BJFIN IN Equity,ESOIL IN Equity,CCRI IN Equity,PIDI IN Equity,GLXO IN Equity,TTAN IN Equity,KKC IN Equity,POWF IN Equity,DIVI IN Equity,GNP IN Equity,GRASIM IN Equity,ACEM IN Equity,GRASIM/F IN Equity,OFSS IN Equity,Z IN Equity,BRIT IN Equity,BOB IN Equity,GAIL IN Equity,MSS IN Equity,CDH IN Equity,SRCM IN Equity,NMDC IN Equity,ARBP IN Equity,SIEM IN Equity,HMCL IN Equity,GCPL IN Equity,UNSP IN Equity,IIB IN Equity,DABUR IN Equity,EIM IN Equity,BHEL IN Equity,TECHM IN Equity,CIPLA IN Equity,HZ IN Equity,IDEA IN Equity,NEST IN Equity,BPCL IN Equity,BJAUT IN Equity,PWGR IN Equity,ADSEZ IN Equity,MM IN Equity,BOS IN Equity,DRRD IN Equity,APNT IN Equity,BHIN IN Equity,UTCEM IN Equity,LPC IN Equity,NTPC IN Equity,IOCL IN Equity,TTMT IN Equity,KMB IN Equity,AXSB IN Equity,MSIL IN Equity,HCLT IN Equity,BHARTI IN Equity,WPRO IN Equity,LT IN Equity,ICICIBC IN Equity,SBIN IN Equity,HDFC IN Equity,HUVR IN Equity,ONGC IN Equity,SUNP IN Equity,COAL IN Equity,HDFCB IN Equity,INFO IN Equity,ITC IN Equity,RIL IN Equity,TCS IN Equity
01.01.2002,0,6.74,0,16.49,21.44,2.28,6.9,3.86,0,4.33,135,53.12,0,1.62,51.96,20.05,0,0,12.31,4.71,0,7.68,0,22.45,0,35.66,15.4,198.2,1.39,0,15.4,378.12,6.85,0,0.63,0,39.1,7.8,0,1.11,1.78,0,8.04,236,0,425.89,138.09,0,0,0,0,0,0,0,13.63,0,268,2.2,0,10.4,2.78,2.62,10.55,0,12.45,7.87,0,2.73,0,0,90.26,0,2.43,162.7,3.08,0,0,53.97,261.66,0,11.47,35.97,1.45,0,4.8,716.79,66.85,82.28,0,52.5,4.9,0,9.08,299.12,0,8.81,43.56,50.35,51.43,0,0.38,0,3.44,41.01,0,146.33,0,18.26,68.53,80.3,389.35,5.06,27.49,139.1,28.57,0,0,16.63,0,0,1.26,0,5.9,48.7,8.57,270.46,1.86,39.09,0,0,9.4,204.22,25.16,0,0,33.94,120.39,8.05,41.9,1.17,7.79,44.2,0.8,11.25,18.9,231.88,13.35,56.95,10.5,11.28,21.5,13.82,0,90.42,2.02,0,498.4,95.9,0,0,0,21.48,211.36,462.95,17.64,0,0,9.06,0,44.33,19.13,2.41,5.25,0,68.23,0,140.15,47.58,17.88,17.31,64.97,211.72,22.74,13.01,0,44.92,119.13,22.13,77.05,0
08.01.2002,0,8.01,0,16.8,21.13,2.16,6.97,3.7,0,4.35,132.15,59.88,0,1.65,53.15,18.75,0,0,12.94,4.47,0,7.63,0,22.96,0,36.07,15.15,202.4,1.35,0,15.15,364.62,6.35,0,0,0,39.35,7.97,0,1.09,1.73,0,9.4,238,0,415.94,144.54,0,0,0,0,0,0,0,12.9,0,271,2.16,0,10.35,2.82,2.53,11.71,0,14.61,8.42,0,2.67,0,0,98.55,0,2.47,167.08,3.27,0,0,59.71,264.62,0,11.68,35.75,1.6,0,4.92,716.69,65.4,86.33,0,54.9,5,0,8,292.87,0,8.75,44.46,57.98,48,0,0.35,0,3.34,41.77,0,166.03,0,18.62,68.33,81.17,391.63,5.2,28.2,137.65,29.99,0,0,16.52,0,0,1.3,0,5.3,51.03,8.23,282.38,1.78,38.88,0,0,10.41,214.11,28.76,0,0,40.44,119,7.89,42.46,1.2,7.86,45.2,0,12.04,18.83,267.58,13.09,59.85,10.4,11.09,21.04,13.76,0,93.09,2.21,0,498.65,95.53,0,0,0,22.67,211.85,487.7,17.66,0,0,9.79,0,44.87,18.96,3.35,5.43,0,78.32,0,160.72,48.77,18.32,18.2,61.06,210.95,23.33,13.63,0,44.43,142.83,23.19,80,0
15.01.2002,0,7.24,0,16.49,21.28,2.17,7,3.68,0,4.29,140,63.73,0,1.64,55.17,18.85,0,0,14.36,4.47,0,7.45,0,22.26,0,40.09,15.25,198.35,1.25,0,14.6,353.58,6.95,0,0,0,39.3,8.08,0,1.1,1.66,0,11,239.95,0,407.13,143.82,0,0,0,0,0,0,0,14.17,0,260.05,2.17,0,11.75,2.83,2.5,10.21,0,18.72,8.4,0,2.73,0,0,101,0,2.59,163.72,2.93,0,0,61.05,260.67,0,12,36.1,1.62,0,4.87,723.26,73.45,92.69,0,54.4,5,0,8.39,292.77,0,8.78,44.86,59.24,52.57,0,0.34,0,3.51,41.03,0,170.3,0,21.22,67.95,76.45,385.8,5.25,37.23,158.4,31.11,0,0,17.56,0,0,1.24,0,5,56.5,8.28,290.99,1.71,40.04,0,0,10.4,216.23,28.7,0,0,40.18,117.22,7.85,42.56,1.21,8.03,46.55,0,12.08,18.51,280.86,13.88,58.1,10.15,11.34,22.61,14.45,0,95.16,2.33,0,498.35,107.43,0,0,0,24.68,224.99,483.02,17.98,0,0,10.8,0,44.98,22.1,3.86,5.7,0,62.73,0,143.49,50.83,18.37,19.94,63.13,202.98,23.5,15,0,47.88,114.53,23.73,81.29,0
22.01.2002,0,6.58,0,16.71,21.68,2.26,7.2,3.83,0,4.3,130.25,58.05,0,1.73,54.13,20,0,0,14.44,4.44,0,7.5,0,22.92,0,55.09,15.4,209.6,1.3,0,14.7,355.48,6.7,0,0,0,41.59,8.01,0,1.17,1.99,0,12.56,249.25,0,418.88,136.35,0,0,0,0,0,0,0,14.54,0,259,2.18,0,11.85,2.91,2.55,10.21,0,27.76,7.87,0,3.06,0,0,102.51,0,2.5,163.77,2.92,0,0,59.46,255.14,0,12.26,35.58,1.56,0,5.34,797.93,76.85,96.98,0,53.85,4.95,0,8.44,293.07,0,10.53,44.45,63.2,50.29,0,0.34,0,3.59,43.87,0,175.56,0,22.82,67.56,75.15,382.93,5.08,38.06,170.3,34.08,0,0,17.72,0,0,1.27,0,4.9,55.48,8.32,313.66,1.72,37.36,0,0,11.17,216.04,29.65,0,0,39.65,117,8,43.81,0,8.02,48.7,0,11.77,20.73,308.19,14.34,67,10.2,10.85,25.89,14.62,0,89.77,2.26,0,494.2,108.73,0,0,0,28.08,227.17,499.4,17.93,0,0,11.09,0,45.2,22.97,3.94,5.79,0,57.5,0,140.8,50.77,18.27,20.24,61.57,202.79,24.13,14.54,0,48.34,118.01,23.91,78.78,0
29.01.2002,0,0,0,15.94,21.42,2.18,7.39,3.85,0,4.54,135,54.91,0,1.66,52.7,20.05,0,0,13.49,4.14,0,7.46,0,22.92,0,52.78,16.7,198.9,1.3,0,14.6,352.68,6.9,0,0.76,0,40.64,8.57,0,1.19,1.76,0,13.47,249,0,404.86,137.45,0,0,0,0,0,0,0,13.97,0,260.75,2.13,0,12.05,2.99,3.06,10.3,0,22.66,7.17,0,3.21,0,0,111.53,0,2.46,156.12,2.85,0,0,59.72,299.47,0,10.9,37.11,1.5,0,5.15,789.86,79.05,95.05,0,52.5,4.95,0,9.08,292.81,0,10.1,44.5,56.1,46.86,0,0.34,0,3.44,43.8,0,157.05,0,21.64,64.85,73.37,385.4,5.47,35.33,167.15,35.42,0,0,20.31,0,0,1.17,0,4.75,63.87,8.47,318.53,1.75,36.9,0,0,11.32,208.85,26.75,0,0,38.94,117.5,7.89,44.49,1.22,7.88,44.35,0,11.67,19.84,276.69,13.81,56.9,10.25,10.74,30.88,14.79,0,88.58,2.29,0,493.71,108.53,0,0,0,27.89,225.09,474.93,18.22,0,0,10.55,0,45.07,22.73,3.35,5.94,0,56.84,0,136.86,48.51,17.73,19.82,62.36,212.59,23.87,14.52,0,45.23,111.51,22.79,79.92,0
05.02.2002,0,0,0,15.74,21.54,2.3,7.25,3.9,0,4.9,136.3,54.91,0,1.61,50.97,20.15,0,0,15.04,4.43,0,7.17,0,24,0,53.12,18.2,210.5,1.3,0,14.35,348.27,6.7,0,0.69,0,40.2,8.88,0,1.39,1.68,0,13.54,240.6,0,400.07,167.58,0,0,0,0,0,0,0,13.46,0,282.05,2.08,0,13.35,2.91,3.02,10.43,0,22.4,6.46,0,3.09,0,0,117.93,0,2.73,152.28,2.94,0,0,61.14,370.12,0,11.48,36.74,1.56,0,5.03,768.59,76,94.18,0,50.58,5.05,0,9.52,290.69,0,11.58,46.54,57.6,50.29,0,0.36,0,3.44,45.2,0,158.34,0,20.97,65.58,74.24,392.32,5.37,42.96,204.95,35.77,0,0,20.66,0,0,1.15,0,5,86.98,8.47,321.84,1.81,35.63,0,0,12.59,212.35,27.83,0,0,41.73,115.16,8.35,53.32,1.22,7.52,42.85,0,12.22,21.05,282.1,13.47,54.35,11.14,10.55,31.95,16.36,0,85.87,2.47,0,498.25,133.45,0,0,0,28.06,226.47,467.05,18.09,0,0,10.35,0,59.35,23.63,3.94,6.34,0,59.73,0,140.97,49.18,17.93,20.46,62.13,208.7,27.43,14.24,0,44.1,111.06,22.63,74.17,0
12.02.2002,0,0,0,16.82,21.91,2.4,7.3,3.9,0,5.58,142,54.48,0,1.74,58.48,19.55,0,0,18.31,4.51,0,7.1,0,23.69,0,61.76,22.8,214.15,1.43,0,16.4,346.19,7.5,0,0.83,0,42.48,9.32,0,1.7,1.93,0,14.76,249.3,0,437.12,166.28,0,0,0,0,0,0,0,16.97,0,274,2.11,0,16.7,3.07,3.07,13.29,0,22.7,6.89,0,3.8,0,0,108.99,0,2.5,161.87,3.04,0,0,62.26,360.49,0,12.56,38.64,1.55,0,5.23,836.93,75.5,95,0,51.38,5.25,0,9.33,299.83,0,12.46,46.35,61.73,49.14,0,0.32,0,4.03,46.89,0,168.36,0,24.34,64.42,74.09,395.83,6.14,42.75,225.85,37.86,0,0,20.55,0,0,1.25,0,5.2,85.78,8.45,340.76,2.22,40.18,0,0,12.86,228.32,28.74,0,0,45.71,116.25,9.41,53.45,1.41,7.72,44.85,0,11.98,24.42,284.29,13.63,52.25,12.48,10.67,38.83,16.8,0,85.3,2.79,0,498.6,144.1,0,0,0,31.15,239.28,476.6,20.17,0,0,10.42,0,58.82,27.37,4.06,7.23,0,70.63,22.5,148.44,53,19.18,22.61,63.27,223.05,29.8,14.18,0,46.21,111.27,22.72,78.06,0
19.02.2002,0,0,0,16.97,21.78,2.42,7.07,4.05,0,5.99,140.75,51.15,0,1.67,59.57,21,0,0,18.18,4.52,0,7.04,0,26.56,0,57.31,22.5,210.45,1.52,0,18.55,339.23,7.95,0,0,0,44.08,9.46,0,1.99,2,0,15.99,275,0,438.4,170.86,0,0,0,0,0,0,0,15.66,0,284.5,2.16,0,18.35,3.11,4.55,13.26,0,24.3,7.6,0,3.67,0,0,137.04,0,2.5,166.27,3.05,0,0,63.96,335.71,0,12.57,38.92,1.56,0,5.23,886.69,77.05,95.19,0,51.58,5.55,0,10.9,326.77,0,12.44,46.35,61.47,54.86,0,0.33,0,4.04,48.01,0,171.84,0,22.81,65.19,72.6,395.53,6.13,42.55,248.3,47.19,0,0,21.1,0,0,1.25,0,5.25,83.97,9.13,324.87,2.16,39.55,0,0,12.08,232.31,31.09,0,0,47.96,113.4,10.27,52.76,1.38,7.79,43.9,0,11.87,26.13,303.29,13.16,50.75,14.9,10.52,38.6,17.32,0,84.1,2.77,0,494.55,145.78,0,0,0,30.47,242.21,486.52,20,0,0,10.87,0,58.68,26.06,4.73,7.62,0,68.44,20.6,146.25,52.36,25,22.63,66.41,231.41,37.57,14.58,0,46.93,109.58,24.29,80.97,0
26.02.2002,0,0,0,17.56,22.18,2.54,7.2,3.98,0,5.58,136,57.39,0,1.71,59.67,24.35,0,0,19.53,4.42,0,8.2,0,26.25,0,61.09,23.4,225.3,1.72,0,18.6,332.07,8.75,0,0,0,43.83,10.28,0,2.24,3,0,18.08,305.8,0,429.35,170.21,0,0,0,0,0,0,0,17.12,0,285.8,2.65,0,19.35,3.29,4.32,13.66,0,24.81,6.77,0,3.45,0,0,135,0,0,177.42,3.05,0,0,70.46,390.46,0,12.69,42.41,1.56,0,5.21,884.15,83.7,97.37,0,65.48,5.65,0,10.26,327.91,0,15.18,46.63,65.75,57.14,0,0.37,0,4.51,56.6,0,165.63,0,24.16,64.95,71.03,394.79,6.25,50.91,283.8,41.9,0,0,29.45,0,0,1.26,0,5.35,89.55,9.72,329.93,2.62,40.89,0,0,12.21,224.55,31.53,0,0,50.19,115.22,10.13,50.56,1.21,8.3,43.4,0,12.21,28.95,363.03,13.21,52.85,16.39,10.51,48.27,18.22,0,83.65,3.1,0,527.63,153.48,0,0,0,30.41,239.51,553.78,20.21,0,0,12.93,0,60.07,27.93,5.73,8.4,0,66.25,21.78,146,50.98,27.04,24.56,67.1,231.93,40.32,15.07,0,47.5,113.81,23.45,81.21,0
05.03.2002,0,0,0,18.59,21.32,2.21,7.02,4,0,5.6,138,62.6,0,1.64,56.8,22.75,0,0,19.45,4.47,0,8.23,0,26.29,0,62.72,22,215.2,1.61,0,18.1,337.09,9.2,0,0,0,46.12,10.08,0,2.49,3.95,0,17.26,300.1,0,424.95,172.7,0,0,0,0,0,0,0,15.66,0,282.6,2.59,0,22.45,3.16,3.99,13.01,0,24.84,7,0,3.42,0,0,150.04,0,2.42,175.52,3.01,0,0,63.58,398.85,0,12.11,40.63,1.56,0,4.89,861.99,75,102.6,0,63.08,5.05,0,8.93,326.61,0,16.22,45.86,62.2,50.29,0,0.35,0,4.46,54.5,0,161.27,0,22.53,64.85,68.99,393.26,6.37,45.67,325.9,42.44,0,0,30.79,0,0,1.19,0,5.25,90,8.42,323.83,2.49,38.42,0,0,12.5,227.72,30.16,0,0,49.39,109.56,9.16,48.17,1.24,7.78,43.15,0,11.86,26.22,354.29,14.06,49.55,14.75,10.61,44.48,18.7,0,81.04,3.01,0,503.14,161.28,0,0,0,30.14,253.17,525.97,20.68,0,0,12.22,0,60.12,24.94,8.13,8.05,0,70.22,22.73,155.27,48.64,26.51,21.92,65.62,237.69,41.13,15.07,0,47.06,113.59,23.13,79.14,0
