,AT PM Equity,EEI PM Equity,PIP PM Equity,SSI PM Equity,RCB PM Equity,EW PM Equity,AUB PM Equity,WEB PM Equity,PLC PM Equity,MCP PM Equity,NIKL PM Equity,LPZ PM Equity,BEL PM Equity,PNB PM Equity,COSCO PM Equity,FPH PM Equity,FLI PM Equity,CEB PM Equity,ABS PM Equity,VLL PM Equity,MBT PM Equity,MWC PM Equity,DNL PM Equity,FGEN PM Equity,AGI PM Equity,DMC PM Equity,ICT PM Equity,MEG PM Equity,EDC PM Equity,SECB PM Equity,AP PM Equity,BPI PM Equity,MPI PM Equity,JFC PM Equity,GLO PM Equity,GTCAP PM Equity,AEV PM Equity,SM PM Equity,BDO PM Equity,AC PM Equity,SMPH PM Equity,URC PM Equity,JGS PM Equity,TEL PM Equity,ALI PM Equity
02.01.2002,2.9719,0.26,0,0,13.4043,0,0,1.5,0.05,0,0,0.62,0.5083,64.9465,0.6399,20.5636,0.5206,0,24,0,29.0613,0,0,0,6.4297,0.0316,2.2,0.5379,0,8.8952,0,23.9802,0,11.751,479.9343,0,1.4358,0,0,111.3155,3.7519,3.671,1.5982,346.9155,3.6922
09.01.2002,2.9224,0.26,0,0,14.4681,0,0,1.5,0.05,0,0,0.57,0.4436,63.9625,0.6399,20.5636,0.5392,0,24,0,28.916,0,0,0,6.4297,0.0298,2.7,0.5379,0,8.7663,0,23.9802,0,11.9908,479.9343,0,1.3254,0,0,111.3155,3.8105,3.671,1.4983,355.2249,3.9936
16.01.2002,2.7243,0.27,0,0,10.8511,0,0,1.5833,0.05,0,0,0.53,0.3974,61.9944,0.5907,20.9668,0.6445,0,24,0,28.916,0,0,0,6.4297,0.0298,2.7,0.5533,0,8.7663,0,23.9802,0,12.2306,476.4053,0,1.3438,0,0,118.4208,3.8692,3.7127,1.3984,342.7608,4.3703
23.01.2002,2.6747,0.37,0,0,11.0638,0,0,1.8333,0.09,0,0,0.67,0.4251,63.9625,0.7384,23.7893,0.7437,0,29.5,0,28.3347,0,0,0,6.5665,0.0521,2.85,0.6302,0,8.8952,0,27.2878,0,12.95,469.3475,0,1.5647,0,0,149.2102,4.045,3.7127,1.6182,436.2411,4.295
30.01.2002,2.6747,0.35,0,0,10.8511,0,0,2,0.08,0,0,0.76,0.4251,64.9465,0.7384,23.7893,0.7003,0,32,0,28.48,0,0,0,6.4297,0.0577,2.8,0.6378,0,8.8952,0,26.8744,0,12.95,494.05,0,1.5831,0,0,139.7365,4.045,3.7544,1.8179,415.4677,4.4457
06.02.2002,2.4766,0.36,0,0,11.2766,0,0,1.9167,0.0825,0,0,0.79,0.4066,77.739,0.7876,24.1925,0.7003,0,34,0,30.0784,0,0,0,6.4297,0.0577,3,0.6455,0,9.7976,0,27.7013,0,13.9093,546.9839,0,1.6383,0,0,146.8418,3.9864,4.1715,1.8379,419.6223,4.8224
13.02.2002,2.3775,0.34,0,0,10.8511,0,0,1.8333,0.08,0,0,0.79,0.4159,75.2789,0.7876,24.1925,0.6693,0,30.5,0,30.5143,0,0,0,6.5665,0.0689,3.05,0.6763,0,9.7976,0,27.7013,0,13.9093,536.3971,0,1.7856,0,0,151.5786,3.8692,4.0881,1.8779,427.9317,4.9731
20.02.2002,2.8728,0.37,0,0,11.4894,0,0,2,0.13,0,0,0.9,0.4991,72.3268,0.7876,26.2085,0.7313,0,32.5,0,31.0956,0,0,0,6.7033,0.0633,3.05,0.6609,0,9.7976,0,28.1147,0,12.95,575.2153,0,1.7304,0,0,163.4207,4.2795,4.3384,1.9778,436.2411,5.3499
27.02.2002,2.8233,0.34,0,0,11.4894,0,0,1.8333,0.0775,0,0,0.87,0.4713,65.9305,0.7384,26.2085,0.7251,0,31,0,30.5143,0,0,0,0,0.0614,2.8,0.6455,0,9.9265,0,28.1147,0,12.95,568.1575,0,1.8592,0,0,156.3154,3.9864,4.3384,1.8779,413.3903,5.1992
06.03.2002,2.3973,0.32,0,0,11.0638,0,0,1.75,0.075,0,0,0.8,0.4898,61.9944,0.7384,26.2085,0.7003,0,33,0,31.2409,0,0,0,6.5665,0.0577,2.65,0.6609,0,9.9265,0,28.7349,0,12.95,564.6285,0,1.8776,0,0,161.0522,3.8692,4.0881,1.8978,415.4677,5.1992
