,2615 TT Equity,1802 TT Equity,2204 TT Equity,2606 TT Equity,3189 TT Equity,2609 TT Equity,2451 TT Equity,3682 TT Equity,5264 TT Equity,1434 TT Equity,3673 TT Equity,2603 TT Equity,2227 TT Equity,9933 TT Equity,1227 TT Equity,2915 TT Equity,2379 TT Equity,9945 TT Equity,2448 TT Equity,2542 TT Equity,5347 TT Equity,2498 TT Equity,2610 TT Equity,6121 TT Equity,8299 TT Equity,1722 TT Equity,2049 TT Equity,2356 TT Equity,2834 TT Equity,2353 TT Equity,2618 TT Equity,4958 TT Equity,9914 TT Equity,6239 TT Equity,3231 TT Equity,2385 TT Equity,6176 TT Equity,3702 TT Equity,3474 TT Equity,2347 TT Equity,1504 TT Equity,3658 TT Equity,5871 TT Equity,9910 TT Equity,2888 TT Equity,3034 TT Equity,2301 TT Equity,2395 TT Equity,9921 TT Equity,2801 TT Equity,1102 TT Equity,2324 TT Equity,2823 TT Equity,6505 TT Equity,2354 TT Equity,2105 TT Equity,2409 TT Equity,2207 TT Equity,1476 TT Equity,1402 TT Equity,2887 TT Equity,3481 TT Equity,2880 TT Equity,5880 TT Equity,2890 TT Equity,9904 TT Equity,4904 TT Equity,1101 TT Equity,2885 TT Equity,2325 TT Equity,2912 TT Equity,2883 TT Equity,2303 TT Equity,2892 TT Equity,2884 TT Equity,4938 TT Equity,2382 TT Equity,3045 TT Equity,2311 TT Equity,2357 TT Equity,2474 TT Equity,1326 TT Equity,2002 TT Equity,2886 TT Equity,1216 TT Equity,1303 TT Equity,2891 TT Equity,1301 TT Equity,2308 TT Equity,3008 TT Equity,2881 TT Equity,2454 TT Equity,2882 TT Equity,2412 TT Equity,2317 TT Equity,2330 TT Equity
07.01.2002,7.45,11.2,21.9,5.51,0,6.29,36.05,0,0,9.46,0,9.06,0,10.4,3.04,17.55,144.39,5.71,15.04,0.64,23.96,0,12.96,21.46,0,20.5,0,17.45,7.06,38.81,13.88,0,6.15,0,0,19.97,0,0,0,23.34,11.45,0,0,15.32,0,45.84,42.26,44.4,25.08,10.06,6.31,30.39,5.09,0,11.75,5.91,26.75,15.6,4.21,7.74,0,0,10.7,0,0,13.67,34.17,7.88,0,24.85,44.87,16.66,40.92,0,0,0,83.45,50.66,15.96,377.15,11.95,17.9,9.92,0,7.14,20.58,0,23.9,42.84,0,29.12,197.92,40.82,56.45,27.46,62.17
14.01.2002,7.51,10.85,21.53,5.62,0,6.25,33.65,0,0,11.17,0,8.82,0,10.16,3.04,16.87,135.85,5.29,15.38,0.6,27.15,0,13.71,21.35,0,18.6,0,14.94,6.95,37.78,13.48,0,6.79,0,0,19.57,0,0,0,21.74,11.5,0,0,15.26,0,43.88,47.44,42.23,23.1,9.89,6.06,28.41,5.14,0,10.91,5.67,30.8,15.2,4.07,7.5,0,0,9.99,0,0,12.58,33.37,7.25,0,21.45,43.87,15.89,35.54,0,0,0,87.56,49.78,13.83,359.51,12.51,17.83,9.51,0,6.93,20.43,0,22.37,39.9,0,28.94,199.96,35.52,53.44,28.1,59.15
21.01.2002,7.39,10.75,21.99,5.43,0,6.17,34.13,0,0,11.17,0,9.06,0,10.35,3.02,16.48,151.23,5.25,16.77,0.6,24.72,0,13.26,23.49,0,20.3,0,15.39,6.89,39.5,14.21,0,6.86,0,0,21.75,0,0,0,21.92,11.75,0,0,15.38,0,49,53.47,45.37,22.66,9.75,5.7,28.93,5.16,0,11.53,5.67,32.98,15.2,4.12,7.44,0,0,10.19,0,0,12.91,33.07,7.42,0,21.15,43.54,15.68,37.64,0,6.63,0,89.46,50.99,14.06,381.57,13.53,17.09,9.99,0,7.08,21.09,0,23.04,40.55,0,31.71,241.03,38.67,54.3,29.2,60.83
28.01.2002,8.53,10.7,22.08,5.62,0,6.64,43.26,0,0,11.61,0,9.58,0,12,3.06,16.29,145.25,5.06,17.47,0.57,26.64,0,13.85,24.13,0,19.9,0,19.4,6.95,39.16,15.34,0,6.69,0,0,26.49,0,0,0,21.74,12.6,0,0,15.5,0,55.34,52.61,50.44,23.25,9.92,5.64,29.52,5.6,0,13.6,6.27,37.33,15.3,4.21,7.88,0,0,10.24,0,0,13.43,32.05,7.42,9.76,21,42.54,15.68,37.49,0,6.63,0,89.46,51.43,14.58,381.57,16.03,19.72,10.74,16.75,7.54,22.85,0,26.7,44.15,0,31.71,234.92,39.38,54.84,29.52,61.84
04.02.2002,10.28,10.65,21.71,5.87,0,6.87,43.02,0,0,11.79,0,10.58,0,11.06,3.16,15.6,149.52,4.88,18.04,0.6,23.96,0,13.9,22.74,0,19.1,0,19.23,6.73,38.47,15.54,0,6.01,0,0,26.49,0,0,0,21.87,14.2,0,0,15.15,0,54.37,52.61,49.23,23.17,9.65,5.61,28.11,5.21,0,13.78,6.53,36.6,16.2,4.21,8.62,0,0,9.83,0,0,13.19,31.25,7.33,9.76,19.9,40.22,15.33,35.7,0,6.96,0,85.35,48.01,13.07,385.98,14.64,24.16,12.04,16.75,7.45,24.39,0,29.96,38.91,0,30.41,223.72,37.24,54.3,28.73,57.8
18.02.2002,10.88,10.45,21.9,5.8,0,7.07,49.99,0,0,12.67,0,10.99,0,11.43,3.12,15.6,159.77,4.92,20.99,0.62,25.3,0,14.65,22.63,0,19.1,0,18.84,6.78,39.16,16.33,0,5.91,0,0,25.9,0,0,0,21.79,16,0,0,15.5,13.86,63.39,56.92,48.27,22.73,9.58,5.55,28.52,4.94,0,13.41,6.22,44.58,16.7,4.26,7.86,7.89,0,9.83,0,0,13.15,31.33,7.25,9.45,21.23,40.55,15.33,35.54,0,6.93,0,84.71,48.9,13.68,403.62,14.91,22.14,12.18,16.58,7.39,23.65,0,27.83,40.55,0,30.07,234.58,37.95,54.84,28.57,58.81
25.02.2002,10.22,10.45,21.9,5.62,0,7.15,46.39,0,0,11.61,0,11.4,0,11.76,3,15.41,141.83,4.88,17.47,0.68,21.95,0,15.54,18.47,0,16.9,0,16.45,6.29,33.52,16.73,0,5.3,0,0,22.54,0,0,0,18.98,14.4,0,0,15.21,13.01,61.44,45.28,45.85,21.93,8.65,5.46,25.89,4.37,0,11.93,5.85,39.14,16,4.09,7.47,8.43,0,9.07,0,0,11.59,29.8,6.74,8.4,18.42,41.55,15.12,32.58,0,6.63,0,73.97,45.58,12.31,359.51,13.15,22.27,12.86,15.1,6.93,22.04,0,27.9,35.97,0,28.94,214.55,34.73,53.76,25.25,54.44
04.03.2002,10.46,10.95,22.91,5.62,0,7.42,47.83,0,0,12.32,0,12.36,0,11.48,3.04,15.41,152.94,5.25,19.26,0.65,23.88,0,16.72,20.82,0,17.9,0,17.17,6.56,37.78,16.86,0,5.57,0,0,25.5,0,0,0,20.32,14.1,0,0,15.73,13.34,71.68,50.89,43.68,22.22,9.06,5.7,26.54,4.69,0,13.29,6.27,40.95,16.9,4.16,8.18,8.48,0,9.33,0,0,12.11,29.87,7.42,8.55,21.23,45.2,15.19,38.97,0,6.6,0,78.71,47.46,13.64,370.54,15.01,24.9,12.18,15.43,7.16,25.19,0,31.29,35.97,111.39,30.07,241.71,36.16,53.76,25.73,58.14
11.03.2002,10.7,11.51,23.47,5.69,0,7.42,52.87,0,0,12.45,0,12.29,0,11.48,3.3,15.6,156.35,5.15,19.14,0.65,31.67,0,15.64,20.71,0,18.9,0,19.29,6.62,38.47,16.6,0,6.39,0,0,26.69,0,0,0,22.45,15.4,0,0,15.61,13.27,68.75,51.75,45.61,23.47,9.17,5.88,27.7,4.73,0,14.89,6.58,39.14,19.1,4.42,8.86,8.23,0,9.58,0,0,12.53,29.65,7.67,8.83,26.26,42.88,16.66,42.48,0,6.5,0,80.6,47.79,16.48,370.54,18.62,25.57,11.63,15.84,7.39,27.54,0,31.02,38.91,119,29.38,247.14,36.52,54.3,26.36,65.53
18.03.2002,10.52,11.25,23.65,5.65,0,7.03,52.15,0,0,12.4,0,11.4,0,12.38,3.24,16.29,154.64,5.84,19.84,0.8,29.66,33.59,15.24,19.86,0,18,0,18.23,6.67,36.41,16.46,0,6.52,0,0,24.52,0,0,0,22.9,14.9,0,0,15.61,12.95,67.05,58.65,44.89,23.54,9.27,6.28,27.06,4.46,0,14.12,6.45,38.05,17.8,4.38,8.27,7.95,0,9.17,0,0,12.25,28.7,8.47,8.83,23.59,43.21,16.24,39.36,0,6.47,0,78.39,46.25,15.2,348.48,21.12,23.08,11.15,15.26,7.45,26.73,0,29.29,36.63,165.18,28.17,247.14,34.37,53.76,25.25,61.5
25.03.2002,10.1,11.81,24.11,6.23,0,7.26,48.07,0,0,12.93,0,11.47,0,13.69,3.46,16.29,155.5,5.89,23.54,0.87,36.2,33.59,15.83,23.17,0,19,0,17.62,7.17,41.9,16.46,0,6.93,0,0,26.49,0,0,0,23.56,15.3,0,0,16.61,13.27,66.31,66.84,45.85,24.57,9.54,6.34,27.3,5.05,0,15.41,6.55,38.05,18.7,5.91,8.86,8.34,0,9.43,0,0,13.1,28.78,8.94,9.41,26.18,41.88,17.5,40.53,0,6.63,0,81.55,48.56,16.67,357.3,23.81,25.57,11.5,15.59,7.57,26.73,0,29.63,40.22,166.27,29.89,241.37,35.09,53.76,25.73,64.52
01.04.2002,9.98,11.61,23.19,5.98,0,7.03,48.55,0,0,12.32,0,11.26,0,13.08,3.52,15.51,143.54,5.89,26.95,0.88,44.07,46.42,15.04,25.09,0,19.1,0,18.23,7.33,37.78,15.54,0,7.1,0,0,26.69,0,0,0,22.45,14.25,0,0,15.97,13.08,64.61,65.55,44.4,23.47,10.02,6.09,27.06,4.75,0,14.43,6.16,37.69,18.7,5.49,8.74,8.59,0,9.38,0,0,12.82,30.6,8.68,8.94,26.26,42.54,16.73,41.31,0,6.55,0,83.77,47.46,16.62,339.66,26.12,24.76,11.09,15.26,7.54,26.8,0,28.3,39.57,154.86,29.2,256.99,35.23,53.76,25.25,64.19
08.04.2002,9.98,13.52,23.74,6.52,0,7.19,44.22,0,0,12.4,0,10.58,0,13.32,3.85,15.6,137.56,6.86,24.29,1.05,40.72,51.77,15.04,24.56,0,23.5,0,18.4,9.3,34.35,15.47,0,9.21,0,0,26.69,0,0,0,21.61,14.55,0,0,16.73,14.7,64.36,60.37,41.99,23.98,12.36,7.06,27.35,5.69,0,13.23,6.24,36.97,19,5.25,8.45,10.05,0,10.7,0,0,12.96,30.52,10.12,9.53,26.48,41.88,16.94,41.31,0,7.13,0,77.13,46.36,16.9,307.68,25.2,24.29,11.36,16.09,7.99,26.51,0,29.63,40.22,148.88,29.29,237.98,37.95,53.76,23.52,61.5
15.04.2002,10.4,13.78,23.74,6.3,0,6.91,49.99,0,0,12.18,0,10.27,0,13.03,3.66,15.41,138.41,6.63,27.36,1,43.23,52.18,14.6,25.62,0,20.8,0,19.18,8.15,35.38,15.2,0,8.7,0,0,27.88,0,0,0,22.23,14.1,0,0,16.78,13.66,75.09,64.69,42.47,27.35,11.47,6.79,27.35,5.32,0,13.72,6.22,40.59,19.4,5.06,8.45,9.44,0,10.19,0,0,12.91,30.6,9.53,9.06,25.44,41.88,16.66,41.31,0,6.78,0,76.18,46.91,16.62,313.19,30.2,23.55,11.15,15.76,7.51,26.51,0,29.29,39.9,147.8,29.46,241.03,36.16,53.66,24.78,61.5
22.04.2002,10.64,14.18,26.7,7.32,0,7.42,46.15,0,0,13.2,0,11.61,0,15.34,3.91,15.9,140.97,7.55,25.16,1.32,44.41,51.35,15.14,24.13,0,23.4,0,18.57,10.88,34,16.6,0,9.88,0,0,25.31,28.42,0,0,22.67,15.2,0,0,20.35,15.81,65.34,61.24,42.96,28.75,14.69,8.49,28.29,5.87,0,13.35,7.04,39.86,21.3,5.56,9.75,11.18,0,13.71,0,0,13.9,31.69,11.25,10.73,28.1,42.54,18.2,44.42,0,7.69,0,77.13,48.12,18.09,339.66,24.64,22.54,11.77,18.89,8.17,27.39,0,29.29,42.51,146.71,31.97,223.38,38.31,55.92,25.1,62.51
29.04.2002,11.54,13.62,26.42,7.25,0,7.42,44.94,0,0,13.06,0,11.67,0,14.87,4.49,15.9,139.26,7.96,25.16,1.57,42.06,46.42,15.14,25.09,0,23,0,17.67,10.23,32.84,16.2,0,9.85,0,0,25.11,30.41,0,0,21.47,14.65,0,0,18.13,14.77,64.61,62.1,41.27,28.16,13.73,8.1,27.7,5.5,0,12.92,7.09,37.69,21.7,5.28,10.22,10.5,0,12.79,0,0,13.29,30.16,9.86,10.11,25.66,40.88,17.29,41.31,0,7.06,0,76.5,46.91,16.33,296.65,23.16,21.33,11.09,17.49,7.79,27.24,0,27.43,38.91,149.97,31.28,214.21,37.59,54.3,24.78,59.82
06.05.2002,12.08,13.27,28.45,6.59,0,6.91,40.38,0,0,12.23,0,12.36,0,14.07,4.21,15.41,129.87,6.72,23.71,1.18,33.52,44.37,14.79,23.7,0,20.1,0,14.72,9.13,29.95,15.6,0,10.53,0,0,22.54,39.5,0,0,21.03,12.75,0,0,18.71,13.66,57.29,54.34,38.61,30.58,12.77,7.76,25.48,4.78,0,11.78,7.74,34.5,23.9,4.59,8.98,11.12,0,12.23,0,10.8,13.62,29.8,8.72,9.06,20.71,41.55,16.1,38.19,0,6.88,0,64.17,45.25,14.63,249.23,22.05,20.39,10.16,16,7.59,22.41,0,24.43,38.91,146.17,28.77,198.26,35.52,54.3,23.44,54.44
13.05.2002,12.44,13.12,27.25,6.88,0,7.19,42.06,0,0,12.4,0,12.22,0,14.4,4.03,15.6,128.16,6.49,24.46,1.19,34.52,42.73,14.84,24.77,0,20.2,0,16.95,8.7,28.78,15.6,0,9.48,0,0,22.34,40.92,0,0,20.9,13.1,0,0,19.65,13.79,53.64,53.47,40.54,29.33,12.02,7.67,25.66,4.8,0,12.58,7.56,36.1,21.3,4.73,9.15,10.84,0,12.38,0,10.67,13.86,30.23,8.89,9.14,21.74,42.54,15.96,37.96,0,6.98,0,66.38,46.25,14.63,274.6,20.94,20.99,11.15,17.16,7.57,22.34,11.62,26.5,38.59,161.38,29.12,191.47,36.16,54.84,25.57,57.13
20.05.2002,13.4,12.97,25.87,6.49,0,6.72,39.42,0,0,11.79,0,11.61,0,12.19,3.6,15.41,132.43,5.66,22.09,1.02,33.52,38.21,14.55,23.49,0,18.6,0,16.67,7.99,27.34,15.27,0,8.56,0,0,22.74,34.1,0,0,20.45,12.05,0,0,19.07,13.08,58.27,49.16,40.3,29.19,11.26,7.13,24.08,4.46,0,11.93,7.69,31.6,20.3,4.59,8.92,10.22,0,11.01,0,9.81,13.86,29.72,8.18,8.4,21.89,42.21,15.26,37.57,0,6.68,0,64.17,44.48,14.44,266.88,20.57,21.6,10.95,16.17,7.39,22.48,11.48,26.3,38.26,152.14,28.94,177.89,35.09,53.76,25.57,58.47
27.05.2002,14.84,13.02,27.9,6.63,0,7.03,39.9,0,0,12.32,0,12.22,0,11.72,3.58,15.21,133.28,5.89,21.69,1.01,36.03,38.21,15.04,22.42,0,18.7,0,17.84,8.42,27.89,17.86,0,9.21,0,0,22.54,36.38,0,0,21.12,12.95,0,0,20.35,13.21,60.46,54.34,42.96,31.02,12.29,7.22,24.96,4.46,0,12.49,8.61,33.05,21.9,5.01,8.59,10.39,0,12.99,0,10.34,14.05,29.07,8.39,8.51,22.93,41.88,15.82,36.4,0,6.8,0,67.96,44.48,14.91,263.57,17.79,23.08,11.36,17.57,7.82,24.17,11.4,29.36,39.9,157.58,29.72,181.96,35.09,55.92,26.83,58.14
03.06.2002,12.98,13.47,28.18,6.59,0,6.72,42.3,0,0,11.96,0,12.22,0,11.62,3.58,15.12,131.58,5.52,21.4,1.03,33.18,34.92,11.97,21.25,0,18.2,0,17.28,7.88,27.07,17.26,0,8.9,0,0,23.92,34.53,0,0,21.83,13.05,0,0,19.07,13.08,58.51,52.18,41.27,28.82,11.81,7.09,23.96,4.28,0,11.96,8.61,31.09,22,5.49,8.56,10.67,0,12.69,0,10.21,13.71,30.16,8.18,8.28,21.3,43.21,15.47,34.92,0,6.68,0,66.38,47.46,13.12,250.33,18.71,22.14,11.56,16.99,7.77,23.58,11.25,28.49,38.26,145.62,29.72,164.65,34.94,56.99,24.31,57.13
10.06.2002,14.06,13.73,29.38,6.81,0,6.8,44.7,0,0,12.36,0,12.02,0,12.19,3.93,15.51,122.6,6.07,21.05,1.24,33.35,36.98,12.77,20.71,0,19.1,0,17.51,8.09,27.34,18.92,0,9.88,0,0,22.34,32.4,0,0,21.16,13.25,0,0,18.66,13.08,58.51,51.75,41.51,28.23,12.15,8.16,22.68,4.41,0,11.81,9.1,30.8,22.8,5.49,8.77,10.73,0,12.79,0,10.08,13.71,30.23,9.4,8.36,19.3,42.88,15.68,32.81,0,6.68,0,63.22,48.9,12.5,253.64,18.53,21.73,12.59,17.32,7.71,23.87,11.07,29.29,38.26,148.34,29.63,158.2,34.52,56.45,24.62,50.41
17.06.2002,14.12,13.68,32.8,6.85,0,6.72,48.31,0,0,12.71,0,11.95,0,12.75,3.99,15.8,122.6,6.63,24.23,1.29,33.52,35.25,12.87,19.43,0,19.5,0,16.95,9.24,27.82,18.12,0,9.34,0,0,21.95,28.85,0,0,20.94,13.2,0,0,18.71,13.14,50.95,47.01,40.54,28.23,13.53,8.19,21.39,4.96,0,11.84,8.72,27.62,26.3,5.77,9.21,10.73,0,14.88,0,10.34,13.71,29.65,9.65,8.86,19.23,42.88,16.73,33.12,0,6.9,0,57.21,47.68,12.45,249.23,15.19,22.68,12.04,19.72,7.71,24.24,11.81,28.96,36.63,146.17,28.68,151.41,35.8,57.53,24.31,49.74
24.06.2002,12.74,12.56,33.44,6.59,0,6.64,44.22,0,0,13.81,0,11.47,0,13.18,4.35,16.09,110.22,7.78,21.28,1.19,32.68,33.52,12.82,16.87,0,20,0,16.06,8.75,26.65,17.39,0,9.17,0,0,18.94,28.28,0,0,17.61,12.65,0,0,18.42,13.01,43.4,44.79,37.16,27.21,12.56,8.22,18.47,4.78,0,11.34,8.95,24.06,28.1,5.65,9.57,10.73,0,14.17,0,9.78,13.15,29.29,9.99,8.51,17.31,41.55,17.15,31.64,0,6.8,0,58.79,48.12,10.84,224.97,14.08,22.54,12.52,19.55,7.65,23.95,11.51,29.03,32.05,128.78,28.51,159.22,35.8,56.99,24.15,50.64
01.07.2002,11.72,11.61,31.5,6.23,0,6.05,40.38,0,0,12.49,0,10.44,0,12.28,3.52,15.6,97.4,6.63,20.88,1,26.64,26.38,12.67,15.69,0,18.1,0,13.6,7.71,22.12,16.86,0,8.22,0,0,18.08,25.72,0,0,18,10.75,0,0,15.03,10.09,42.18,42.26,34.99,25.3,11.12,7.46,17.53,4.16,0,9.87,8,21.24,27.3,5.11,8.15,9.44,0,11.97,0,9.28,11.96,29.07,9.27,8.09,16.27,42.54,15.33,30.47,0,6.42,0,55.63,46.91,9.94,216.15,12.04,19.45,12.18,18.73,6.82,22.19,10.88,25.7,31.89,122.8,27.91,135.45,32.8,56.99,20.68,49.54
08.07.2002,13.7,12.41,34.92,6.56,0,6.64,49.27,0,0,13.02,0,11.33,0,13.22,3.74,15.51,103.3,6.4,25.1,1.05,30.5,29.09,12.82,17.62,0,19.1,0,15.83,8.2,24.39,18.59,0,8.93,0,0,21.2,29.27,0,0,19.71,11.75,0,0,16.43,9.43,49.49,50.03,38.85,27.13,11.81,8.97,22.58,4.14,0,10.88,9.39,25.22,32.7,5.28,8.77,9.77,0,13.05,0,9.68,13,29.21,10.62,8.13,18.64,41.88,15.75,33.2,0,6.55,0,64.8,46.36,11.55,254.74,14.73,21.8,11.84,19.22,7.11,24.39,11.48,29.71,33.92,127.69,27.82,147,32.65,57.53,23.44,52.49
