,2615 TT Equity,1802 TT Equity,2204 TT Equity,2606 TT Equity,3189 TT Equity,2609 TT Equity,2451 TT Equity,3682 TT Equity,5264 TT Equity,1434 TT Equity,3673 TT Equity,2603 TT Equity,2227 TT Equity,9933 TT Equity,1227 TT Equity,2915 TT Equity,2379 TT Equity,9945 TT Equity,2448 TT Equity,2542 TT Equity,5347 TT Equity,2498 TT Equity,2610 TT Equity,6121 TT Equity,8299 TT Equity,1722 TT Equity,2049 TT Equity,2356 TT Equity,2834 TT Equity,2353 TT Equity,2618 TT Equity,4958 TT Equity,9914 TT Equity,6239 TT Equity,3231 TT Equity,2385 TT Equity,6176 TT Equity,3702 TT Equity,3474 TT Equity,2347 TT Equity,1504 TT Equity,3658 TT Equity,5871 TT Equity,9910 TT Equity,2888 TT Equity,3034 TT Equity,2301 TT Equity,2395 TT Equity,9921 TT Equity,2801 TT Equity,1102 TT Equity,2324 TT Equity,2823 TT Equity,6505 TT Equity,2354 TT Equity,2105 TT Equity,2409 TT Equity,2207 TT Equity,1476 TT Equity,1402 TT Equity,2887 TT Equity,3481 TT Equity,2880 TT Equity,5880 TT Equity,2890 TT Equity,9904 TT Equity,4904 TT Equity,1101 TT Equity,2885 TT Equity,2325 TT Equity,2912 TT Equity,2883 TT Equity,2303 TT Equity,2892 TT Equity,2884 TT Equity,4938 TT Equity,2382 TT Equity,3045 TT Equity,2311 TT Equity,2357 TT Equity,2474 TT Equity,1326 TT Equity,2002 TT Equity,2886 TT Equity,1216 TT Equity,1303 TT Equity,2891 TT Equity,1301 TT Equity,2308 TT Equity,3008 TT Equity,2881 TT Equity,2454 TT Equity,2882 TT Equity,2412 TT Equity,2317 TT Equity,2330 TT Equity
03.01.2002,7.33,10.95,20.97,5.51,0,6.09,32.45,0,0,9.24,0,8.93,0,9.98,2.98,17.16,140.12,5.61,14.81,0.61,24.8,0,13.01,20.07,0,19.2,0,16,6.95,37.44,13.41,0,5.94,0,0,18.98,0,0,0,22.01,10.7,0,0,14.91,0,43.15,37.6,42.96,24.27,9.82,6.22,27.53,4.96,0,11.41,5.75,25.22,14.9,4.19,7.56,0,0,10.5,0,0,13.34,33.8,7.38,0,23.74,45.2,16.52,38.27,0,0,0,73.02,50.11,15.2,346.28,11.3,16.49,9.34,0,7.19,20.14,0,22.77,37.61,0,27.99,193.51,39.74,55.38,24.62,57.47
10.01.2002,7.78,11.35,21.9,5.69,0,6.68,37.73,0,0,11.57,0,9.37,0,10.16,3.2,16.77,142.68,5.43,15.85,0.62,29.16,0,14.25,22.1,0,20.2,0,17.17,7,39.5,15.27,0,7.1,0,0,20.56,0,0,0,22.23,11.6,0,0,16.14,0,45.84,47.44,44.89,23.47,9.89,6.25,29.52,5.16,0,12.49,6.06,29.93,15.4,4.19,8.18,0,0,10.34,0,0,13.05,33.44,7.59,0,24.7,44.87,16.59,38.11,0,0,0,89.46,50.66,15.48,374.95,13.43,18.17,9.61,0,7.28,22.7,0,22.9,42.84,0,27.82,205.39,37.59,54.3,29.83,60.83
17.01.2002,7.27,10.55,21.16,5.36,0,6.09,31,0,0,10.6,0,8.86,0,9.88,3,16.38,139.26,5.15,15.27,0.55,23.54,0,13.16,21.78,0,19.6,0,14.5,6.67,36.75,14.74,0,6.56,0,0,20.96,0,0,0,21.21,11.2,0,0,15.09,0,42.91,50.02,43.44,22.73,9.51,5.58,28.93,4.94,0,10.88,5.55,30.08,14.75,4.12,7.12,0,0,9.94,0,0,12.48,33.37,7.08,0,20.63,43.21,15.54,34.84,0,0,0,84.71,50.77,13.3,357.3,12.97,16.08,9.58,0,7.05,19.85,0,22.7,37.28,0,30.93,219.98,35.8,52.9,27.31,56.79
24.01.2002,7.48,10.7,21.9,5.43,0,6.17,37.97,0,0,10.95,0,9,0,10.54,2.98,16.29,146.95,5.02,16.71,0.55,23.96,0,13.26,24.24,0,19.3,0,18.51,6.78,38.47,14.34,0,6.52,0,0,23.33,0,0,0,20.85,12.4,0,0,14.91,0,55.59,51.32,47.3,22.59,9.58,5.61,29.81,5.09,0,12.02,5.62,37.69,15.1,4.07,7.26,0,0,9.99,0,0,12.67,32.64,7.21,0,20.86,43.87,15.47,36.86,0,6.63,0,88.82,50.99,14.3,374.95,14.64,17.7,10.09,0,7.36,20.58,0,23.37,41.53,0,30.67,240.01,36.52,54.3,28.41,60.83
31.01.2002,9.56,10.85,22.17,5.8,0,6.87,43.02,0,0,12.14,0,10.16,0,11.53,3.18,15.9,147.81,5.02,16.6,0.6,24.38,0,13.85,23.28,0,19.5,0,17.67,7,39.84,14.94,0,6.59,0,0,26.1,0,0,0,21.39,12.75,0,0,15.5,0,53.39,51.32,49.95,23.54,9.89,5.67,28.29,5.32,0,12.89,6.45,35.81,15.6,4.42,8.36,0,0,9.99,0,0,13.29,31.33,7.42,9.76,19.6,41.21,15.68,36.32,0,6.83,0,86.93,48.45,13.45,377.15,15.29,22.68,11.43,16.75,7.54,24.46,0,28.96,41.53,0,30.76,222.36,37.95,54.3,27.94,58.81
21.02.2002,10.52,10.34,21.9,5.76,0,6.8,50.47,0,0,11.96,0,11.95,0,12.23,3.04,15.6,149.52,4.88,19.43,0.68,24.13,0,15.24,20.5,0,18.3,0,16.22,6.67,35.03,16.73,0,5.77,0,0,23.13,0,0,0,20.32,14.3,0,0,15.61,13.6,58.51,49.16,46.82,22.22,9.13,5.4,27,4.53,0,12.21,6.04,39.86,16.3,4.12,7.62,8.43,0,9.27,0,0,12.2,30.6,7,8.86,19.38,43.21,14.77,32.73,0,6.8,0,76.18,47.68,12.64,374.95,13.8,21.6,11.77,15.59,6.99,22.7,0,27.5,37.28,0,29.03,223.04,35.59,53.76,26.52,55.45
07.03.2002,10.7,11,23.28,5.54,0,7.3,52.87,0,0,12.27,0,12.36,0,11.43,3.06,15.31,150.37,5.06,18.91,0.62,28.99,0,15.34,20.18,0,18.3,0,18.57,6.56,37.78,16.86,0,5.88,0,0,26.1,0,0,0,21.92,14.2,0,0,15.97,13.21,68.02,50.02,44.65,23.1,9.06,5.58,27.18,4.73,0,14.18,6.29,40.95,18.5,4.19,8.06,8.48,0,9.33,0,0,12.82,29.8,7.33,8.75,25.89,41.88,16.17,40.14,0,6.45,0,78.08,47.79,16.29,363.92,17.88,25.64,11.09,15.59,7.31,27.1,0,31.42,38.59,111.39,29.46,241.03,36.16,53.76,26.36,62.84
14.03.2002,10.82,11.56,23.65,5.65,0,7.15,56,0,0,12.58,0,11.26,0,12.09,3.4,16.19,156.35,5.61,21.23,0.75,31.34,0,15.34,20.29,0,18.7,0,18.45,6.73,36.41,16.73,0,6.11,0,0,24.71,0,0,0,22.45,15,0,0,15.85,13.01,71.68,58.22,44.4,23.17,9.41,6.37,27.24,4.59,0,14.49,6.4,38.78,18.7,4.33,8.45,7.98,0,9.38,0,0,12.53,28.99,8.26,8.79,24.7,42.21,16.52,40.53,0,6.53,0,79.02,47.02,16.1,359.51,21.86,24.69,11.43,15.59,7.39,27.02,0,29.69,37.28,145.08,28.68,252.58,35.16,53.76,25.89,62.51
21.03.2002,10.64,11.61,24.02,5.8,0,7.03,49.51,0,0,12.45,0,11.4,0,13.46,3.3,16.29,153.79,5.8,21.11,0.77,31.67,33.59,15.44,21.14,0,18.6,0,17.28,6.51,39.84,16.4,0,6.35,0,0,25.5,0,0,0,23.12,15,0,0,15.97,12.95,65.83,64.69,44.89,23.54,9.13,6.31,27.06,4.44,0,14.18,6.47,36.24,18.3,5.18,8.3,7.81,0,9.12,0,0,12.63,28.92,9.02,8.9,25.81,43.21,16.52,40.14,0,6.45,0,78.71,48.34,16.62,341.87,23.9,24.69,11.22,15.01,7.39,26.73,0,29.36,36.63,165.18,28.34,239.34,34.09,53.76,25.1,63.18
28.03.2002,10.34,11.86,24.11,6.27,0,7.19,48.07,0,0,12.49,0,11.81,0,13.22,3.56,15.99,154.64,6.12,25.74,0.91,38.54,40.88,15.54,24.56,0,18.7,0,18.51,7.77,38.81,15.93,0,6.83,0,0,25.11,0,0,0,22.19,14.5,0,0,15.97,13.27,65.34,62.96,44.4,23.61,10.3,6.4,27.3,5.14,0,14.3,6.45,35.73,18.6,5.42,8.68,8.54,0,9.83,0,0,13.34,29.87,8.77,9.06,25.89,43.54,16.87,41.31,0,6.68,0,85.98,48.78,16.43,344.07,26.87,25.23,11.29,15.76,7.85,26.73,0,29.43,39.24,159.75,29.72,262.08,36.52,54.84,25.73,63.85
