,2615 TT Equity,1802 TT Equity,2204 TT Equity,2606 TT Equity,3189 TT Equity,2609 TT Equity,2451 TT Equity,3682 TT Equity,5264 TT Equity,1434 TT Equity,3673 TT Equity,2603 TT Equity,2227 TT Equity,9933 TT Equity,1227 TT Equity,2915 TT Equity,2379 TT Equity,9945 TT Equity,2448 TT Equity,2542 TT Equity,5347 TT Equity,2498 TT Equity,2610 TT Equity,6121 TT Equity,8299 TT Equity,1722 TT Equity,2049 TT Equity,2356 TT Equity,2834 TT Equity,2353 TT Equity,2618 TT Equity,4958 TT Equity,9914 TT Equity,6239 TT Equity,3231 TT Equity,2385 TT Equity,6176 TT Equity,3702 TT Equity,3474 TT Equity,2347 TT Equity,1504 TT Equity,3658 TT Equity,5871 TT Equity,9910 TT Equity,2888 TT Equity,3034 TT Equity,2301 TT Equity,2395 TT Equity,9921 TT Equity,2801 TT Equity,1102 TT Equity,2324 TT Equity,2823 TT Equity,6505 TT Equity,2354 TT Equity,2105 TT Equity,2409 TT Equity,2207 TT Equity,1476 TT Equity,1402 TT Equity,2887 TT Equity,3481 TT Equity,2880 TT Equity,5880 TT Equity,2890 TT Equity,9904 TT Equity,4904 TT Equity,1101 TT Equity,2885 TT Equity,2325 TT Equity,2912 TT Equity,2883 TT Equity,2303 TT Equity,2892 TT Equity,2884 TT Equity,4938 TT Equity,2382 TT Equity,3045 TT Equity,2311 TT Equity,2357 TT Equity,2474 TT Equity,1326 TT Equity,2002 TT Equity,2886 TT Equity,1216 TT Equity,1303 TT Equity,2891 TT Equity,1301 TT Equity,2308 TT Equity,3008 TT Equity,2881 TT Equity,2454 TT Equity,2882 TT Equity,2412 TT Equity,2317 TT Equity,2330 TT Equity
08.01.2002,7.39,11.3,21.9,5.51,0,6.09,36.05,0,0,10.12,0,8.93,0,10.26,3.06,17.36,141.83,5.52,14.81,0.64,25.64,0,12.91,22.95,0,20.1,0,17.39,7.22,40.19,13.74,0,6.25,0,0,21.15,0,0,0,22.45,11.15,0,0,15.32,0,44.86,43.12,45.13,24.42,9.89,6.37,30.98,4.94,0,12.55,6.01,26.17,15.5,4.16,7.65,0,0,10.55,0,0,13.62,33.58,7.5,0,24.11,43.87,16.59,39.36,0,0,0,85.35,50.66,15.39,379.36,12.23,18.17,9.44,0,7.19,21.16,0,23.44,44.15,0,28.68,205.39,39.74,55.38,29.36,60.83
15.01.2002,7.33,10.8,21.06,5.4,0,6.17,33.17,0,0,10.82,0,8.82,0,9.98,3,16.97,141.83,5.2,15.73,0.57,27.15,0,13.36,22.53,0,18.8,0,15.33,6.78,38.47,14.41,0,6.59,0,0,20.76,0,0,0,21.56,11.4,0,0,15.03,0,44.37,50.45,43.2,23.39,9.51,6.03,29.81,4.89,0,11.1,5.55,31.17,14.65,4.12,7.44,0,0,9.83,0,0,12.3,33.37,7.08,0,22.19,44.21,15.54,34.53,0,0,0,87.87,50,14.25,361.72,13.15,17.29,9.48,0,6.76,20.21,0,22.9,38.59,0,28.77,208.78,35.3,52.47,28.25,58.81
22.01.2002,7.24,10.7,21.99,5.4,0,6.17,36.29,0,0,11.39,0,8.96,0,10.26,3,16.48,153.79,5.11,17.24,0.57,25.97,0,13.06,25.09,0,19.2,0,16.45,6.73,39.5,14.34,0,6.73,0,0,22.14,0,0,0,21.39,11.65,0,0,15.26,0,52.42,55.2,47.06,22.73,9.54,5.55,29.81,4.98,0,11.34,5.57,35.23,15.1,4.12,7.29,0,0,10.04,0,0,13.15,32.42,7.17,0,21.89,43.54,15.4,37.02,0,6.63,0,86.93,50.66,14.35,374.95,14.45,17.9,9.85,0,7.42,20.65,0,22.97,40.22,0,30.15,254.61,37.24,54.3,28.73,60.49
29.01.2002,8.41,10.6,22.08,5.58,0,6.37,41.34,0,0,10.91,0,9.17,0,11.53,3.06,16.09,144.39,5.02,16.95,0.56,24.8,0,13.66,23.17,0,19,0,18.12,6.78,39.16,14.67,0,6.69,0,0,27.28,0,0,0,21.21,12,0,0,15.56,0,52.66,50.89,50.2,22.73,9.58,5.46,28.93,5.23,0,13.13,5.98,35.37,15.2,4.21,7.5,0,0,9.89,0,0,13,29.87,7.21,9.76,20.41,41.55,15.68,36.24,0,6.78,0,88.82,49.78,14.01,377.15,15.29,19.85,10.74,16.75,7.16,21.46,0,25.37,42.84,0,31.1,235.94,39.38,54.3,28.57,59.82
05.02.2002,10.22,10.45,21.53,5.69,0,6.68,44.22,0,0,11.61,0,10.58,0,11.01,3.1,15.51,151.23,4.79,18.39,0.61,24.63,0,13.61,23.38,0,19,0,18.62,6.73,38.47,16.13,0,5.88,0,0,26.1,0,0,0,22.45,14.2,0,0,15.21,0,57.05,53.04,48.51,22.88,9.61,5.58,28.41,5.09,0,13.32,6.27,39.14,16.2,4.16,8.27,0,0,9.78,0,0,12.96,30.96,7.17,9.53,19.75,40.22,15.05,35.93,0,6.9,0,84.4,47.35,12.64,390.39,14.36,23.35,12.18,16.58,7.36,23.43,0,29.16,39.24,0,30.24,231.53,36.52,54.3,29.04,57.47
19.02.2002,11.6,10.34,22.36,5.87,0,7.19,51.43,0,0,12.23,0,11.61,0,11.2,3,15.6,155.5,4.88,22.44,0.65,24.47,0,15.24,22.53,0,18.8,0,17.84,6.73,37.09,17.46,0,5.84,0,0,26.49,0,0,0,21.39,15.4,0,0,15.38,13.86,61.93,53.04,48.99,22.51,9.58,5.52,27.82,4.96,0,13.01,6.19,43.49,16.7,4.26,7.77,8.43,0,9.73,0,0,12.58,31.18,7.21,9.29,20.19,40.55,15.12,34.29,0,6.88,0,80.29,48.56,13.07,385.98,14.82,21.6,11.7,16.17,7.16,23.87,0,27.5,39.24,0,29.89,232.55,37.59,54.3,27.78,57.47
26.02.2002,10.52,10.4,22.08,5.51,0,7.03,45.66,0,0,11.61,0,11.47,0,11.43,3,15.31,145.25,4.88,16.89,0.64,22.12,0,15.54,18.36,0,16.5,0,16.34,6.34,33.66,16.4,0,5.16,0,0,23.33,0,0,0,19.12,13.65,0,0,14.97,13.01,64.36,46.57,42.71,21.93,8.65,5.37,25.13,4.21,0,11.81,5.8,41.68,16.1,4.09,7.38,8.43,0,8.87,0,0,11.59,29.36,6.58,8.13,18.79,43.21,14.84,32.58,0,6.6,0,73.33,45.25,12.5,361.72,13.43,23.28,12.45,14.85,6.82,22.19,0,28.43,33.68,0,28.25,220.32,35.59,53.76,24.47,53.77
05.03.2002,11.18,10.8,23.1,5.62,0,7.42,48.79,0,0,12.1,0,12.5,0,11.29,3.04,15.41,148.66,5.25,18.8,0.62,25.47,0,16.33,20.71,0,17.9,0,17.28,6.51,37.09,17,0,5.47,0,0,26.3,0,0,0,21.25,14.35,0,0,15.73,13.34,73.14,53.04,43.44,22.29,8.89,5.58,26.77,4.55,0,13.97,6.19,43.49,16.9,4.21,7.83,8.31,0,9.17,0,0,12.11,29.8,7.21,8.63,22.71,43.21,15.19,40.14,0,6.42,0,78.39,47.46,14.25,372.74,16.03,24.76,12.18,15.26,7.25,25.48,0,30.83,37.61,111.39,29.46,246.12,35.73,53.76,26.52,61.16
12.03.2002,10.94,11.25,23.84,5.65,0,7.26,56.48,0,0,13.06,0,11.67,0,11.43,3.26,15.7,159.77,5.29,20.47,0.66,30.33,0,15.14,20.61,0,18.4,0,18.51,6.73,37.44,16.33,0,6.08,0,0,25.7,0,0,0,24.01,16.1,0,0,15.67,13.27,67.05,53.47,44.65,23.1,9.65,5.94,27.06,4.75,0,14.52,6.47,39.5,18.4,4.35,8.5,8.14,0,9.68,0,0,12.67,29.5,7.76,8.86,25,42.21,16.94,40.53,0,6.53,0,79.34,47.24,15.91,370.54,19.92,25.23,11.63,16,7.36,27.61,0,29.96,37.93,127.15,29.38,246.12,36.52,53.76,26.36,63.85
19.03.2002,10.58,11.2,23.47,5.69,0,6.91,49.51,0,0,12.45,0,11.47,0,13.22,3.28,16.58,155.5,5.84,19.78,0.8,27.82,33.59,15.04,20.5,0,17.8,0,17.34,6.62,36.41,16.33,0,6.69,0,0,24.12,0,0,0,22.19,15.3,0,0,15.5,13.08,63.88,61.24,44.16,23.47,8.99,6.28,26.42,4.32,0,14.06,6.37,35.66,18.2,4.54,8.45,7.92,0,9.07,0,0,12.15,28.63,8.72,8.83,23.22,42.88,16.1,38.89,0,6.45,0,78.39,46.25,15.15,341.87,21.03,23.15,11.02,15.01,7.31,25.85,0,28.16,35.32,158.66,27.99,238.66,34.01,54.3,24.78,61.5
26.03.2002,10.1,11.61,24.3,6.12,0,7.15,49.99,0,0,12.93,0,11.47,0,14.21,3.62,16.29,157.21,6.26,25.16,0.93,38.71,35.74,15.64,24.77,0,19.9,0,18.01,7.33,41.56,16.2,0,6.79,0,0,25.5,0,0,0,23.56,15.4,0,0,16.14,13.08,65.1,65.98,45.13,24.57,9.47,6.55,27.65,4.89,0,14.98,6.55,38.05,18.8,6.15,9.04,8.23,0,9.38,0,0,12.96,28.78,9.23,9.37,25.37,42.54,16.87,40.92,0,6.55,0,84.71,48.67,16.67,352.89,25.38,26.04,11.29,15.34,7.62,27.1,0,29.96,40.22,169.53,29.55,258.01,35.09,53.76,25.89,63.52
02.04.2002,10.04,11.71,23.65,6.12,0,6.99,48.07,0,0,12.36,0,10.64,0,13.27,3.58,15.51,146.1,5.84,27.82,0.86,43.74,49.51,14.94,26.69,0,20.4,0,18.96,7.66,37.44,15.4,0,7.58,0,0,27.28,0,0,0,22.67,14.4,0,0,16.14,13.21,66.8,64.69,45.13,23.83,10.16,6.12,27.53,5.07,0,14.34,6.16,37.33,18.9,5.32,8.59,8.87,0,9.53,0,0,13.05,30.96,8.68,8.98,26.55,42.54,16.52,42.48,0,6.6,0,83.45,47.9,16.62,339.66,26.12,24.63,11.22,15.43,7.57,27.17,0,29.09,40.88,157.03,28.86,261.06,35.45,54.3,25.41,64.52
09.04.2002,9.98,12.62,23.28,6.27,0,7.07,45.42,0,0,12.05,0,10.51,0,13.18,3.91,15.6,137.56,6.44,24.52,0.98,38.54,51.35,14.65,24.45,0,21.9,0,18.4,8.7,33.73,14.87,0,8.59,0,0,25.11,0,0,0,22.01,14.55,0,0,16.38,13.86,64.12,60.37,42.23,23.47,11.53,6.76,26.65,5.3,0,12.86,5.98,36.6,19,4.92,8.45,9.44,0,9.99,0,0,12.58,30.45,9.44,9.18,25.59,42.21,16.24,40.53,0,6.73,0,75.55,45.47,16.81,306.58,24.83,23.35,11.36,15.34,7.68,26,0,29.43,39.24,145.62,29.03,240.01,36.16,53.76,22.89,61.5
16.04.2002,10.76,13.88,25.31,6.3,0,6.99,49.03,0,0,12.32,0,10.64,0,13.27,3.72,15.41,133.28,6.67,26.03,1.06,44.07,51.56,14.75,25.62,0,20.7,0,19.29,8.7,35.03,15.47,0,8.42,0,0,27.48,0,0,0,22.67,14.25,0,0,17.95,13.86,72.9,63.82,43.68,26.77,11.95,6.88,27.24,5.6,0,13.56,6.42,40.95,19.3,5.06,8.53,9.66,0,10.65,0,0,13.05,30.45,9.82,9.18,26.63,41.55,16.66,42.48,0,6.9,0,75.86,46.47,16.9,313.19,30.02,23.35,11.15,16.09,7.59,26.44,0,29.36,41.53,149.97,30.41,242.73,36.16,53.66,24.62,62.17
23.04.2002,10.58,13.93,25.96,7.17,0,7.19,48.07,0,0,13.11,0,11.33,0,14.96,4.01,15.8,143.54,7.96,25.33,1.41,44.07,51.77,14.94,24.34,0,22,0,18.29,10.83,34,16.33,0,9.72,0,0,25.7,28.42,0,0,22.23,14.65,0,0,19.94,15.68,64.85,59.08,42.23,28.23,14.35,8.88,28.46,5.91,0,13.16,6.68,39.14,20.6,5.54,9.86,10.62,0,13.15,0,0,13.52,31.54,11,10.26,26.63,42.21,17.64,43.64,0,7.36,0,74.6,47.35,17.52,333.04,25.01,22.34,11.56,18.07,7.79,27.1,0,28.89,41.53,152.14,31.36,224.06,38.31,54.84,24.78,63.18
30.04.2002,10.88,13.22,25.59,6.81,0,7.54,45.9,0,0,12.67,0,11.33,0,14.59,4.19,15.7,139.26,7.41,24.29,1.46,39.55,46.42,14.94,25.2,0,21.4,0,17.45,9.52,33.45,15.67,0,9.75,0,0,25.31,32.4,0,0,21.47,14.05,0,0,18.19,14.25,61.44,60.8,42.47,27.87,12.77,7.64,27.24,5.14,0,12.64,6.78,38.05,21,5.06,9.51,10.05,0,11.97,0,0,13,30.67,9.27,9.53,24.19,40.22,16.94,41.31,0,6.88,0,73.97,46.91,15.62,276.8,24.18,20.99,10.81,16.83,7.57,26.44,0,27.03,39.57,151.06,30.58,221.68,37.24,55.38,23.99,58.81
07.05.2002,11.9,13.12,27.16,6.41,0,6.64,40.86,0,0,12.27,0,12.09,0,13.93,4.05,15.41,133.28,6.44,25.1,1.1,34.19,43.34,14.45,24.02,0,20.2,0,15.72,8.7,29.26,15,0,9.82,0,0,22.74,42.2,0,0,21.39,13.2,0,0,17.9,13.34,59.49,53.9,40.06,29.33,11.88,7.64,25.95,4.69,0,12.08,7.56,35.88,23,4.52,9.15,10.9,0,11.72,0,10.8,13.24,29.94,8.94,8.83,20.49,42.54,15.75,38.11,0,6.9,0,66.7,45.92,14.58,265.77,22.05,20.66,10.26,15.84,7.57,22.04,0,24.97,40.55,155.95,29.2,204.03,35.45,54.84,23.83,55.11
14.05.2002,12.32,12.97,27.53,6.74,0,7.11,42.54,0,0,12.4,0,11.88,0,13.88,3.91,15.6,128.16,6.49,24.58,1.11,35.86,41.29,14.65,24.34,0,19.6,0,17.06,8.26,28.99,15.27,0,8.83,0,0,22.54,38.08,0,0,21.16,12.9,0,0,19.59,13.53,53.64,52.61,40.54,28.31,11.67,7.67,25.54,4.69,0,12.58,7.3,36.17,21,4.73,9.1,10.84,0,11.87,0,10.34,13.81,30.16,8.77,8.98,22.19,42.21,16.17,38.35,0,6.85,0,66.06,45.14,15.1,277.9,19.55,20.86,11.02,16.99,7.57,22.56,11.62,26.56,38.59,159.75,29.12,185.7,36.52,55.38,26.04,58.47
21.05.2002,13.22,12.92,24.11,6.2,0,6.44,39.42,0,0,11.48,0,10.85,0,11.34,3.44,15.31,129.87,5.43,20.59,0.94,32.68,36.98,13.95,22.21,0,17.5,0,15.83,7.55,26.03,14.87,0,7.98,0,0,21.55,34.67,0,0,20.01,11.25,0,0,18.6,13.01,56.32,46.57,40.54,28.23,10.64,6.79,22.85,4.16,0,11.75,7.35,29.43,19.2,4.49,8.3,9.55,0,11.26,0,9.74,13.24,29.14,7.76,7.97,21.74,42.21,14.84,36.08,0,6.68,0,64.17,44.26,14.06,267.98,19.18,21.47,11.22,16.17,7.22,22.41,10.88,26.23,37.93,149.43,28.68,177.55,35.09,53.76,25.57,58.14
28.05.2002,14.9,13.52,27.44,6.67,0,7.03,40.86,0,0,12.14,0,12.43,0,11.48,3.6,15.12,131.58,5.71,21.75,1.04,36.03,37.39,14,22.85,0,18.5,0,17.73,8.15,27.48,18.19,0,9.07,0,0,22.74,35.81,0,0,21.07,12.55,0,0,19.88,13.01,60.95,52.61,42.96,30.29,11.81,7.09,24.43,4.39,0,12.49,8.41,33.34,22.6,5.3,8.45,10.22,0,12.99,0,10.08,13.76,28.78,8.39,8.36,22.34,42.54,15.4,36.4,0,6.7,0,67.96,44.15,14.49,261.36,18.25,22.54,11.15,17.08,7.88,23.51,11.18,28.3,39.24,154.32,29.46,179.59,34.52,54.84,26.04,57.8
04.06.2002,12.56,13.52,29.1,6.67,0,6.76,43.98,0,0,12.18,0,12.22,0,11.76,3.6,15.31,127.3,5.52,21.57,1.1,33.18,35.54,12.52,21.14,0,18.3,0,17.06,7.99,27.07,18.06,0,9.04,0,0,23.72,33.11,0,0,21.79,13.1,0,0,18.77,13.08,58.27,51.32,41.51,28.97,11.88,7.03,23.67,4.34,0,11.9,8.64,30.01,21.6,5.13,8.74,10.73,0,12.74,0,10.01,13.95,29.5,8.13,8.28,20.34,42.88,15.54,33.75,0,6.68,0,65.75,46.91,13.26,252.54,18.81,21.87,11.5,17.08,7.71,23.43,11.18,28.3,39.57,146.71,29.38,170.42,34.59,55.92,24.62,54.78
11.06.2002,13.82,13.73,29.19,6.81,0,6.68,43.26,0,0,12.27,0,11.81,0,13.03,3.91,15.6,115.77,6.07,21.23,1.31,32.34,37.47,12.62,20.18,0,19.3,0,17.12,8.26,26.79,17.79,0,10.09,0,0,22.14,30.27,0,0,20.67,13.05,0,0,18.48,13.08,56.81,48.3,40.3,27.87,12.36,7.76,21.98,4.71,0,11.78,9.18,30.08,22.4,5.44,8.62,10.56,0,12.84,0,10.14,13.48,29.8,9.4,8.36,18.93,42.88,15.54,32.73,0,6.65,0,59.11,48.12,11.79,242.61,17.23,21.6,12.39,17.32,7.68,23.36,11.1,28.89,38.26,147.25,29.46,147.34,34.52,56.45,24.15,49.74
18.06.2002,13.82,13.37,31.87,6.67,0,6.8,47.83,0,0,13.02,0,11.88,0,13.18,4.01,15.9,123.89,6.99,24.23,1.27,34.69,36.48,12.82,18.79,0,19.5,0,17.06,8.81,28.1,17.53,0,9.51,0,0,22.14,29.13,0,0,20.67,13.05,0,0,18.6,13.21,48.27,46.57,40.54,27.87,12.98,8.1,21.45,4.82,0,12.02,8.85,27.47,27.7,5.75,9.15,10.78,0,14.32,0,10.01,13.67,29.43,9.69,8.71,19.53,42.54,16.31,33.75,0,6.78,0,57.85,47.57,12.55,247.03,14.45,22.07,11.84,19.3,7.57,24.24,11.51,29.29,36.3,145.62,28.77,152.77,35.37,57.53,24.62,50.75
