,OBER IN Equity,HEXW IN Equity,FORH IN Equity,TGBL IN Equity,TRCL IN Equity,NTCPH IN Equity,TI IN Equity,GFLC IN Equity,PEPL IN Equity,SI IN Equity,HWA IN Equity,WLSI IN Equity,IRB IN Equity,ADE IN Equity,RCAPT IN Equity,WHIRL IN Equity,AIAE IN Equity,INXW IN Equity,0CL IN Equity,VOLT IN Equity,GPPV IN Equity,APTY IN Equity,BIOS IN Equity,CIFC IN Equity,SPADV IN Equity,MPHL IN Equity,BOI IN Equity,RELI IN Equity,GRHF IN Equity,MACA IN Equity,IDBI IN Equity,SANL IN Equity,MRPL IN Equity,INFOE IN Equity,PI IN Equity,SJVN IN Equity,TTCH IN Equity,IPCA IN Equity,UNBK IN Equity,FB IN Equity,CRG IN Equity,RPWR IN Equity,TVSL IN Equity,BOOT IN Equity,SUEL IN Equity,PFIZ IN Equity,TCOM IN Equity,JUBI IN Equity,LTFH IN Equity,DITV IN Equity,SCUF IN Equity,CBOI IN Equity,JSW IN Equity,NBCC IN Equity,TMX IN Equity,MTCL IN Equity,3M IN Equity,GDSP IN Equity,WIL IN Equity,NLC IN Equity,EXID IN Equity,ATD IN Equity,MAX IN Equity,PLNG IN Equity,CRISIL IN Equity,AJP IN Equity,CBK IN Equity,KNPL IN Equity,ALPM IN Equity,SUNTV IN Equity,BYRCS IN Equity,MMFS IN Equity,RJEX IN Equity,WPL IN Equity,BRGR IN Equity,RCOM IN Equity,VED LN Equity,HNDL IN Equity,GILL IN Equity,PAG IN Equity,TPWR IN Equity,PIEL IN Equity,HAVL IN Equity,SUF IN Equity,AMRJ IN Equity,MRF IN Equity,BDE IN Equity,BJHI IN Equity,NHPC IN Equity,APHS IN Equity,SAIL IN Equity,DLFU IN Equity,SHTF IN Equity,PG IN Equity,IDFC IN Equity,LICHF IN Equity,CSTRL IN Equity,TATA IN Equity,JSTL IN Equity,UBBL IN Equity,UPLL IN Equity,PNB IN Equity,AL IN Equity,ABB IN Equity,RECL IN Equity,ACC IN Equity,IHFL IN Equity,BHFC IN Equity,ABNL IN Equity,CLGT IN Equity,SKB IN Equity,MRCO IN Equity,BHE IN Equity,HPCL IN Equity,BAF IN Equity,CAIR IN Equity,OINL IN Equity,TRP IN Equity,YES IN Equity,HMN IN Equity,VEDL IN Equity,BJFIN IN Equity,ESOIL IN Equity,CCRI IN Equity,PIDI IN Equity,GLXO IN Equity,TTAN IN Equity,KKC IN Equity,POWF IN Equity,DIVI IN Equity,GNP IN Equity,GRASIM IN Equity,ACEM IN Equity,GRASIM/F IN Equity,OFSS IN Equity,Z IN Equity,BRIT IN Equity,BOB IN Equity,GAIL IN Equity,MSS IN Equity,CDH IN Equity,SRCM IN Equity,NMDC IN Equity,ARBP IN Equity,SIEM IN Equity,HMCL IN Equity,GCPL IN Equity,UNSP IN Equity,IIB IN Equity,DABUR IN Equity,EIM IN Equity,BHEL IN Equity,TECHM IN Equity,CIPLA IN Equity,HZ IN Equity,IDEA IN Equity,NEST IN Equity,BPCL IN Equity,BJAUT IN Equity,PWGR IN Equity,ADSEZ IN Equity,MM IN Equity,BOS IN Equity,DRRD IN Equity,APNT IN Equity,BHIN IN Equity,UTCEM IN Equity,LPC IN Equity,NTPC IN Equity,IOCL IN Equity,TTMT IN Equity,KMB IN Equity,AXSB IN Equity,MSIL IN Equity,HCLT IN Equity,BHARTI IN Equity,WPRO IN Equity,LT IN Equity,ICICIBC IN Equity,SBIN IN Equity,HDFC IN Equity,HUVR IN Equity,ONGC IN Equity,SUNP IN Equity,COAL IN Equity,HDFCB IN Equity,INFO IN Equity,ITC IN Equity,RIL IN Equity,TCS IN Equity
07.01.2002,0,8.06,0,16.97,21.17,2.1,6.8,3.7,0,4.4,134.6,58.85,0,1.69,54.88,18.6,0,0,12.49,4.47,0,7.72,0,22.96,0,36.9,14.7,196.5,1.33,0,15.05,368.27,6.5,0,0,0,39.95,8.15,0,1.08,1.78,0,9.39,235.15,0,416.99,145.1,0,0,0,0,0,0,0,13.08,0,265,2.16,0,10.4,2.82,2.61,12.01,0,14.98,9.18,0,2.69,0,0,95,0,2.4,165.52,3.4,0,0,58.95,266.3,0,11.79,36.13,1.5,0,5,722.12,67,83.31,0,56.18,4.95,0,7.95,292.77,0,8.81,44.81,57.8,50.29,0,0.36,0,3.39,41.01,0,162.75,0,18.55,69.11,81.29,391.97,5.08,28.69,139.35,29.99,0,0,16.55,0,0,1.3,0,5.5,51.5,8.32,279.88,1.79,38.81,0,0,10.4,214.78,27.5,0,0,40.36,119,8,42.56,1.19,8.01,47.8,0,11.87,19.09,270.24,12.9,61.75,10.35,11.33,21.36,13.53,0,91.89,2.19,0,498.99,95.18,0,0,0,23.23,208.89,480.95,17.65,0,0,10.03,0,45,18.99,2.97,5.54,0,76.29,0,161.2,49.84,18.03,18.35,61.5,209.23,23.31,13.35,0,44.8,138.77,22.97,80.66,0
14.01.2002,0,7.34,0,16.86,20.97,2.08,7,3.69,0,4.29,135,62.42,0,1.61,55.62,18.5,0,0,14.49,4.47,0,7.54,0,22.49,0,38.68,15.1,203.75,1.25,0,14.55,358.37,6.15,0,0,0,39.25,7.99,0,1.1,1.71,0,10.91,238.2,0,407.56,145.66,0,0,0,0,0,0,0,14,0,260.05,2.15,0,11.55,2.73,2.52,10.64,0,17.77,8.27,0,2.76,0,0,101.1,0,2.59,161.55,2.92,0,0,60.98,262.4,0,12.2,35.64,1.62,0,4.93,725.6,76.8,94.22,0,53.03,4.95,0,8.39,292.77,0,8.78,44.08,59.77,50.29,0,0.35,0,3.46,41.2,0,168.71,0,20.39,68.82,77.58,384.91,5.01,39.36,154.3,31.55,0,0,17.4,0,0,1.24,0,5,58.48,8.22,287.83,1.78,39.62,0,0,10.43,214.07,29.04,0,0,40.07,118.93,7.85,42.36,1.21,8.06,47.7,0,12.22,18.82,293.31,14.21,58.75,10.2,11.38,22.28,14.85,0,95.28,2.34,0,499.09,107.53,0,0,0,25.09,220.15,484.7,18.06,0,0,10.99,0,45.17,22.42,4.01,5.65,0,65.69,0,142.35,51.58,17.77,20.41,63.69,206.39,23.53,14.9,0,46.84,118.82,24.34,82.06,0
21.01.2002,0,6.46,0,17.12,21.29,2.26,7.2,3.77,0,4.29,140,58.24,0,1.74,54.03,19.9,0,0,14.64,4.47,0,7.46,0,22.92,0,45.91,15.45,202.3,1.3,0,14.7,354.91,6.9,0,0,0,41.94,8,0,1.16,1.72,0,12.17,243.95,0,416.94,139.04,0,0,0,0,0,0,0,13.89,0,267.15,2.15,0,11.75,2.89,2.63,10.8,0,23.68,7.87,0,3.06,0,0,103.24,0,2.5,165.83,2.92,0,0,59.89,256.72,0,12.36,35.53,1.56,0,4.96,820.89,73.8,101.67,0,53.33,5,0,8.74,292.77,0,10.05,44.94,66.66,53.71,0,0.33,0,3.4,42.13,0,172.98,0,22.17,68.82,76.52,382.68,5.08,38.79,170.4,33.77,0,0,17.52,0,0,1.26,0,5,55.92,8.47,310.3,1.73,39.76,0,0,11.2,212.09,29.35,0,0,40.77,119.2,8,43.68,1.19,8.09,46.35,0,11.83,20.54,299.68,14.25,65.15,10.3,10.91,26.86,14.85,0,90.22,2.37,0,492.72,109.08,0,0,0,26.7,228.97,497.75,17.88,0,0,11.22,0,45.8,22.16,3.9,5.8,0,61.9,0,139.74,50.83,18.23,20.31,61.65,204.38,24.45,14.56,0,47.91,116.28,23.96,78.86,0
28.01.2002,0,0,0,15.76,21.49,2.18,7.3,3.86,0,4.41,135,56.41,0,1.67,53.64,20,0,0,13.86,4.19,0,7.69,0,22.45,0,52.03,16.2,200,1.27,0,14.55,352.78,7,0,0.76,0,40.59,8.47,0,1.15,1.8,0,12.74,250,0,407.46,135.21,0,0,0,0,0,0,0,14.03,0,250,2.15,0,12.35,2.93,2.76,10.44,0,23.15,7.48,0,3.06,0,0,115,0,2.46,158.9,2.84,0,0,60.39,261.85,0,10.76,36.88,1.5,0,5.3,783.93,78,94.76,0,52.75,5,0,8.83,292.77,0,10.2,44.5,56.74,48,0,0.34,0,3.52,43.58,0,159.98,0,21.46,67.8,74.45,385.4,5.49,36.07,170,35.15,0,0,20.36,0,0,1.19,0,4.8,66.65,8.54,323.92,1.76,37.4,0,0,11.81,207.99,26.99,0,0,39.44,116.35,7.96,44.53,0,7.82,45.95,0,11.66,19.85,279.03,13.82,58.25,10.35,10.78,31.07,14.85,0,88.66,2.33,0,493.46,107.35,0,0,0,26.58,229.63,470.45,18.18,0,0,10.56,0,46,22.15,3.44,5.96,0,57.24,0,134.04,49.76,18.71,20.49,62.78,211.19,23.46,14.71,0,45.98,111.69,22.91,79.14,0
04.02.2002,0,0,0,16.39,21.76,2.14,7.27,3.81,0,5.17,135,56.08,0,1.65,51.56,20.05,0,0,14.95,4.47,0,7.29,0,23.96,0,52.85,18.1,201.55,1.32,0,14.2,349.27,6.5,0,0.76,0,40.15,8.95,0,1.42,1.69,0,13.54,245,0,401.83,167.18,0,0,0,0,0,0,0,13.61,0,277.6,2.11,0,13.3,2.93,3.15,10.45,0,22.38,6.83,0,3.1,0,0,112.5,0,2.65,151.88,2.94,0,0,61.41,357.38,0,11.41,37.12,1.61,0,5.01,759.68,78.4,94.17,0,50.58,5,0,8.98,292.45,0,11.35,44.54,58.62,48,0,0.36,0,3.54,45.39,0,156.75,0,22.12,63.45,72.98,385.4,5.47,40.24,192.35,35.55,0,0,21.78,0,0,1.16,0,5.4,82.68,8.48,321.79,1.89,36.69,0,0,12.23,211.49,27.64,0,0,40.59,115.81,8.37,50.95,1.22,7.76,43.1,0,11.85,20.57,283.56,13.32,55.4,11.04,10.63,30.51,16.58,0,86.27,2.43,0,497.46,122.08,0,0,0,28.46,222.22,462.98,18.01,0,0,10.16,0,49.47,24.27,3.9,6.28,0,59.82,0,140.16,48.8,17.95,20.54,62.67,210.09,26.28,14.47,0,44.97,109.78,22.55,76.37,0
11.02.2002,0,0,0,17.2,21.74,2.39,7.36,3.83,0,5.37,140.3,54.44,0,1.69,57.15,20.5,0,0,19.51,4.47,0,7.3,0,24.78,0,58.67,23.25,214.85,1.36,0,16.35,350.12,7.65,0,0.69,0,42.58,9.33,0,1.71,1.85,0,15.29,247.5,0,439.68,167.43,0,0,0,0,0,0,0,15.05,0,273.9,2.08,0,17.4,3,3.03,12.96,0,23.28,6.55,0,3.98,0,0,105.1,0,2.5,157.47,2.96,0,0,61.8,360.99,0,12.41,38.88,1.59,0,5.1,805.8,76.7,96.57,0,51.18,5.2,0,9.23,297.98,0,12.38,46.24,60.44,50.29,0,0.33,0,3.85,47.35,0,166.82,0,21.54,64.52,74.19,396.02,5.69,43.31,234.6,35.77,0,0,20.98,0,0,1.23,0,5.2,87.07,8.48,341.95,2.2,37.93,0,0,12.94,227.53,29.6,0,0,45.72,116.76,9.68,53.84,1.41,7.77,44.25,0,11.96,24.15,292.03,14.11,54.1,12.82,10.32,40.36,17.13,0,85.41,2.93,0,498.25,147.73,0,0,0,31.25,235.06,474.98,19.55,0,0,10.12,0,60.33,27.88,4.05,7.05,0,68.55,22.5,142.89,52.56,19.92,23.13,62.69,229.01,28.33,14.24,0,45.69,110.58,23.09,77.82,0
18.02.2002,0,0,0,17.15,21.69,2.51,7.01,4.11,0,6.24,140,52.94,0,1.69,62.19,21,0,0,18.78,4.66,0,7.07,0,27.25,0,55.43,23.9,213.65,1.59,0,20.2,338.18,8,0,0,0,44.57,9.71,0,2.11,2.08,0,15.75,281.1,0,437.93,173.85,0,0,0,0,0,0,0,16.21,0,292.45,2.33,0,20.1,3.12,4.1,13.44,0,24.49,7.67,0,3.74,0,0,138.36,0,2.57,163.83,3.05,0,0,64.83,341.98,0,12.87,39.47,1.53,0,5.23,890.73,77.2,95.19,0,52.05,5.9,0,10.85,325.53,0,12.98,46.37,63.35,54.86,0,0.34,0,4.04,47.85,0,171.84,0,23.36,64.81,73.44,396.77,6.42,42.94,253.3,49.5,0,0,20.84,0,0,1.26,0,5.1,87.83,8.95,333.05,2.23,40.36,0,0,12.42,234.92,30.76,0,0,50.54,112.4,11.01,54.07,1.38,7.76,44.55,0,11.89,26.39,306.45,13,51.5,16.24,10.45,40.22,18.79,0,83.9,2.77,0,498.15,149.93,0,0,0,32.27,245.33,490.27,19.39,0,0,10.48,0,60.67,26.27,5.05,8.27,0,67.44,22.08,146.38,53.65,25.51,22.91,66.66,231.74,38.14,14.57,0,49.64,110.42,24.19,80.47,0
25.02.2002,0,0,0,17.35,21.79,2.39,7.02,3.9,0,5.53,134,57.07,0,1.64,59.77,26.95,0,0,18.04,4.38,0,8.35,0,26.33,0,58.34,23,222.15,1.59,0,18.8,336.24,8.55,0,0,0,43.98,10.22,0,2.23,2.5,0,18.05,294.05,0,429.73,168.07,0,0,0,0,0,0,0,17.67,0,279,2.61,0,18.8,3.33,4.36,13.94,0,23.27,7.05,0,3.47,0,0,132.98,0,0,176.82,2.99,0,0,67.04,339.41,0,12.56,39.41,1.54,0,5.13,889.28,82.9,96.58,0,64.13,5.85,0,10.4,328.53,0,14.34,46.34,66.1,56,0,0.36,0,4.5,57.86,0,161.17,0,23.9,65.68,71.2,397.8,6.11,51.1,258.45,41.55,0,0,30.01,0,0,1.25,0,5.45,89,9.24,324.3,2.69,40.26,0,0,12.37,222.8,30.08,0,0,49.83,113.01,9.84,48.4,1.21,7.76,41.7,0,12.09,29.19,338.5,13.24,52.9,16.14,10.4,48.54,17.26,0,85.08,3.01,0,502.84,144.93,0,0,0,29.72,233.28,508.77,19.9,0,0,12.94,0,57.65,26.79,5.42,8.88,0,64.36,21.33,144.46,50.19,28,22.81,66.24,229.58,38.84,15.18,0,48.71,110.93,23.5,79.45,0
04.03.2002,0,0,0,19.37,21.88,2.46,6.73,3.85,0,5.39,138,62.93,0,1.65,56.66,23.25,0,0,18.83,4.5,0,8.67,0,25.94,0,65.19,22.4,215.85,1.63,0,18.35,327.85,9.6,0,0,0,46.27,10.09,0,2.22,3.7,0,17.39,305.55,0,426.42,172.46,0,0,0,0,0,0,0,15.84,0,284.95,2.61,0,23.5,3.16,4.09,12.71,0,26.35,7.2,0,3.36,0,0,144.35,0,2.42,177.1,3.06,0,0,64.27,389.77,0,12.46,39.82,1.59,0,4.89,843.56,76.6,101.07,0,61.98,5.1,0,9.77,328.56,0,16.15,45.17,64.37,52.57,0,0.36,0,4.43,54.19,0,169.06,0,23.01,65.1,69.08,394.15,6.41,47.19,309.3,41.82,0,0,28.71,0,0,1.2,0,5.3,90.67,8.62,322.5,2.52,39.59,0,0,12.47,226.75,30.97,0,0,50.22,110.19,9.09,48.86,1.24,7.76,42.55,0,11.82,27.09,348.39,14.46,50.1,14.95,10.41,48.77,18.38,0,81.66,3.07,0,498.79,157.15,0,0,0,29.52,249.55,533.65,20.33,0,0,12.06,0,59.2,26.45,7.36,7.94,0,68.04,21.63,150.44,49.79,26.72,22.41,67.66,238.41,40.94,15.05,0,47.17,107.98,23.59,78.99,0
11.03.2002,0,0,0,17.68,21.99,2.24,7.23,3.9,0,5.45,138,61.67,0,1.63,54.68,23.1,0,0,21.83,4.47,0,7.63,0,30.2,0,67.61,22.3,213.2,1.59,0,17.65,324.25,9.35,0,0.83,0,43.33,9.63,0,2.87,3.51,0,17.19,301.55,0,416.32,176.94,0,0,0,0,0,0,0,15.64,0,282.45,2.61,0,21.15,3.27,3.88,15.04,0,26.68,6.68,0,3.31,0,0,141.69,0,2.42,175.13,2.87,0,0,63.96,371.25,0,11.5,43.75,1.62,0,4.93,866.02,74.25,103.52,0,63.35,5.1,0,9.33,326.18,0,15.52,45.3,59.74,45.71,0,0.31,0,4.5,53.63,0,160.77,0,22.21,64.61,68.26,381.94,6.2,42.94,296.7,41.77,0,0,30.02,0,0,1.18,0,5.15,89.55,8.22,321.27,2.36,36.69,0,0,12.45,224.47,29.34,0,0,49.83,107.57,9.24,46.82,1.12,7.76,41.7,0,11.8,25.83,327.46,14.51,45.8,15.6,9.98,43.6,17.03,0,81.49,3.01,0,501.81,152.6,0,0,0,30.14,246.91,529.63,20.44,0,0,11.88,0,58.4,25.73,7.18,7.8,0,72.39,21.68,157.05,48.31,25.92,21.87,65.9,229.92,40.4,15.02,0,46.75,125.53,23.15,75.27,0
