,OBER IN Equity,HEXW IN Equity,FORH IN Equity,TGBL IN Equity,TRCL IN Equity,NTCPH IN Equity,TI IN Equity,GFLC IN Equity,PEPL IN Equity,SI IN Equity,HWA IN Equity,WLSI IN Equity,IRB IN Equity,ADE IN Equity,RCAPT IN Equity,WHIRL IN Equity,AIAE IN Equity,INXW IN Equity,0CL IN Equity,VOLT IN Equity,GPPV IN Equity,APTY IN Equity,BIOS IN Equity,CIFC IN Equity,SPADV IN Equity,MPHL IN Equity,BOI IN Equity,RELI IN Equity,GRHF IN Equity,MACA IN Equity,IDBI IN Equity,SANL IN Equity,MRPL IN Equity,INFOE IN Equity,PI IN Equity,SJVN IN Equity,TTCH IN Equity,IPCA IN Equity,UNBK IN Equity,FB IN Equity,CRG IN Equity,RPWR IN Equity,TVSL IN Equity,BOOT IN Equity,SUEL IN Equity,PFIZ IN Equity,TCOM IN Equity,JUBI IN Equity,LTFH IN Equity,DITV IN Equity,SCUF IN Equity,CBOI IN Equity,JSW IN Equity,NBCC IN Equity,TMX IN Equity,MTCL IN Equity,3M IN Equity,GDSP IN Equity,WIL IN Equity,NLC IN Equity,EXID IN Equity,ATD IN Equity,MAX IN Equity,PLNG IN Equity,CRISIL IN Equity,AJP IN Equity,CBK IN Equity,KNPL IN Equity,ALPM IN Equity,SUNTV IN Equity,BYRCS IN Equity,MMFS IN Equity,RJEX IN Equity,WPL IN Equity,BRGR IN Equity,RCOM IN Equity,VED LN Equity,HNDL IN Equity,GILL IN Equity,PAG IN Equity,TPWR IN Equity,PIEL IN Equity,HAVL IN Equity,SUF IN Equity,AMRJ IN Equity,MRF IN Equity,BDE IN Equity,BJHI IN Equity,NHPC IN Equity,APHS IN Equity,SAIL IN Equity,DLFU IN Equity,SHTF IN Equity,PG IN Equity,IDFC IN Equity,LICHF IN Equity,CSTRL IN Equity,TATA IN Equity,JSTL IN Equity,UBBL IN Equity,UPLL IN Equity,PNB IN Equity,AL IN Equity,ABB IN Equity,RECL IN Equity,ACC IN Equity,IHFL IN Equity,BHFC IN Equity,ABNL IN Equity,CLGT IN Equity,SKB IN Equity,MRCO IN Equity,BHE IN Equity,HPCL IN Equity,BAF IN Equity,CAIR IN Equity,OINL IN Equity,TRP IN Equity,YES IN Equity,HMN IN Equity,VEDL IN Equity,BJFIN IN Equity,ESOIL IN Equity,CCRI IN Equity,PIDI IN Equity,GLXO IN Equity,TTAN IN Equity,KKC IN Equity,POWF IN Equity,DIVI IN Equity,GNP IN Equity,GRASIM IN Equity,ACEM IN Equity,GRASIM/F IN Equity,OFSS IN Equity,Z IN Equity,BRIT IN Equity,BOB IN Equity,GAIL IN Equity,MSS IN Equity,CDH IN Equity,SRCM IN Equity,NMDC IN Equity,ARBP IN Equity,SIEM IN Equity,HMCL IN Equity,GCPL IN Equity,UNSP IN Equity,IIB IN Equity,DABUR IN Equity,EIM IN Equity,BHEL IN Equity,TECHM IN Equity,CIPLA IN Equity,HZ IN Equity,IDEA IN Equity,NEST IN Equity,BPCL IN Equity,BJAUT IN Equity,PWGR IN Equity,ADSEZ IN Equity,MM IN Equity,BOS IN Equity,DRRD IN Equity,APNT IN Equity,BHIN IN Equity,UTCEM IN Equity,LPC IN Equity,NTPC IN Equity,IOCL IN Equity,TTMT IN Equity,KMB IN Equity,AXSB IN Equity,MSIL IN Equity,HCLT IN Equity,BHARTI IN Equity,WPRO IN Equity,LT IN Equity,ICICIBC IN Equity,SBIN IN Equity,HDFC IN Equity,HUVR IN Equity,ONGC IN Equity,SUNP IN Equity,COAL IN Equity,HDFCB IN Equity,INFO IN Equity,ITC IN Equity,RIL IN Equity,TCS IN Equity
03.01.2002,0,7.51,0,16.58,21.65,2.28,6.45,3.8,0,4.26,140,59.51,0,1.66,52.01,19.2,0,0,12.34,4.52,0,7.81,0,22.26,0,36.54,14.75,204.45,1.34,0,15.6,372.15,6.6,0,0.63,0,39.45,7.83,0,1.1,1.8,0,8.73,237,0,424.99,143.82,0,0,0,0,0,0,0,13.24,0,265.1,2.18,0,10.5,2.79,2.56,10.29,0,13.41,8.47,0,2.67,0,0,89.2,0,2.6,165.32,3.28,0,0,56.34,267.09,0,11.71,36.03,1.5,0,4.95,704.98,67.25,82.09,0,56.55,4.8,0,8.69,293.43,0,8.91,43.76,53.66,49.14,0,0.35,0,3.54,41.01,0,155.71,0,19.1,68.28,79.82,394.79,5.29,28.39,134.8,29.68,0,0,16.78,0,0,1.25,0,5.55,51.33,8.72,285.46,1.88,39.06,0,0,10.36,214.55,26.48,0,0,37.35,119.03,7.92,42.56,1.19,8.02,45.75,0,11.2,19.09,243.69,13.09,58.9,10.5,11.49,22.19,14.43,0,90.1,2.02,0,497.56,92.85,0,0,0,22.23,209.11,479.82,18.05,0,0,9.11,0,44.92,19.17,2.55,5.47,0,71.16,0,147.37,48.38,18.42,18.82,63.75,212.63,23.32,13.05,0,45.32,127.16,22.91,74.81,0
10.01.2002,0,7.42,0,16.72,20.44,2.29,6.9,3.88,0,4.21,130,61.06,0,1.61,53.39,18.35,0,0,12.88,4.47,0,7.18,0,22.45,0,35.02,15.05,199.85,1.25,0,14.5,358.18,6.15,0,0,0,38.85,7.8,0,1.06,1.66,0,9.58,240,0,411.16,139.63,0,0,0,0,0,0,0,12.74,0,270,2.21,0,10.25,2.78,2.5,10.67,0,16.21,8.05,0,2.61,0,0,99.41,0,2.63,163.33,3.13,0,0,60.73,257.31,0,11.66,35.36,1.53,0,4.85,707.17,68.15,86.97,0,52.6,4.85,0,8.49,292.77,0,8.59,44.21,60.94,48,0,0.35,0,3.24,42.03,0,166.58,0,18.26,68.14,79.24,385.94,5.37,32.75,148.7,31.33,0,0,16.3,0,0,1.24,0,5.2,53.33,8.37,282.2,1.76,38.74,0,0,10.06,211.87,28.09,0,0,39.82,117,7.81,42.53,1.2,7.99,44.55,0,11.7,18.99,275.14,13.98,58.1,10.2,11.14,20.8,13.89,0,95.19,2.25,0,498,97.55,0,0,0,22.68,210.17,480.7,17.85,0,0,9.36,0,44.88,20.43,3.38,5.38,0,66.39,0,141.12,49.65,18.54,19.08,63.81,206.3,23.32,13.94,0,45.11,125.93,23.9,81.74,0
17.01.2002,0,7.4,0,16.79,21.35,2.2,7,3.68,0,4.33,140,62.79,0,1.65,54.43,20.1,0,0,14.31,4.47,0,7.46,0,23.23,0,42.72,15.3,204.4,1.34,0,14.5,348.04,7.3,0,0,0,43.08,8.1,0,1.1,1.69,0,11.64,239.45,0,406.61,139.44,0,0,0,0,0,0,0,14.02,0,259.9,2.17,0,11.8,2.79,2.6,10.53,0,21.83,8.2,0,3.01,0,0,102,0,2.59,159.92,2.92,0,0,60.55,256.32,0,12.22,35.79,1.61,0,4.94,730.83,70,96.14,0,53.1,5.05,0,8.54,292.81,0,9,44.76,63.17,57.14,0,0.33,0,3.62,41.24,0,169.11,0,22.39,67.85,75.99,390.05,5.07,41,159.95,34.66,0,0,17.85,0,0,1.26,0,4.85,56.65,8.14,292.98,1.77,38.42,0,0,10.45,212.84,29.37,0,0,42.51,117,7.97,44.79,1.31,7.95,46.7,0,12.12,18.58,281.87,13.93,59.2,10.1,11.09,23.53,14.65,0,92.94,2.34,0,494.01,107.2,0,0,0,26.54,226.43,481.25,18.05,0,0,11.43,0,45,24.94,3.77,5.7,0,65.49,0,153.15,50.49,18.93,20.29,62.03,202.26,23.67,15.1,0,46.36,121.95,24.18,80.24,0
24.01.2002,0,6.37,0,16.18,21.66,2.16,7.3,3.85,0,4.33,129.8,57.25,0,1.69,52.8,20,0,0,14.39,4.3,0,7.31,0,23.23,0,55.26,15.5,206,1.3,0,14.55,350.79,6.75,0,0,0,41.24,8.09,0,1.15,1.87,0,12.65,250.5,0,413.2,137.5,0,0,0,0,0,0,0,14.36,0,265.95,2.08,0,12.25,2.96,2.66,10.57,0,22.76,7.4,0,3.06,0,0,112.1,0,2.42,163.92,2.91,0,0,60.3,254.1,0,11.46,35.56,1.55,0,5.22,780.75,79.2,93.98,0,53.73,5,0,8.2,296.65,0,9.97,44.37,58.83,49.14,0,0.34,0,3.83,43.42,0,163.85,0,23.37,67.75,75.34,383.67,5.43,36.54,170.75,35.55,0,0,19,0,0,1.24,0,4.85,66.33,8.57,321.84,1.73,37.47,0,0,12.77,212.35,28.27,0,0,38.85,116.12,7.84,44.46,0,7.86,46.75,0,11.63,19.96,303.98,13.82,57.75,10.3,10.82,28.71,14.65,0,89.01,2.19,0,494.89,104.18,0,0,0,27.36,227.16,495.13,18.07,0,0,10.58,0,45.93,23.24,3.69,6.02,0,60.05,0,138.68,49.16,18.56,19.51,62.03,211.29,23.65,14.5,0,46.89,114.26,23.9,78.95,0
31.01.2002,0,0,0,16.04,21.79,2.47,7.3,3.81,0,4.74,133.5,54.25,0,1.66,51.91,19.85,0,0,13.7,4.43,0,7.4,0,23.62,0,54.46,17.2,204.4,1.3,0,14.2,360.07,6.7,0,0.76,0,40.64,8.75,0,1.2,1.77,0,13.36,246.6,0,403.15,157.52,0,0,0,0,0,0,0,13.71,0,259.95,2.07,0,12.1,2.94,3.3,10.19,0,23.16,7.07,0,3.08,0,0,116.77,0,2.55,153.57,2.96,0,0,61.39,283.08,0,11.14,37.09,1.54,0,5.11,757.78,77.7,94.67,0,51.33,4.95,0,9.33,286.27,0,10.01,44.57,58.97,48,0,0.35,0,3.46,44.5,0,158.83,0,21.84,64.71,72.89,385.65,5.45,36.32,174.15,35.55,0,0,22.6,0,0,1.19,0,4.9,71.28,8.47,311.2,1.68,36.69,0,0,11.57,210.45,28.3,0,0,38.74,115,7.77,44.46,1.22,7.82,44.2,0,11.65,20.43,277.7,13.09,56.25,10.4,10.76,28.02,14.72,0,88.52,2.29,0,498.65,108,0,0,0,28.66,208.39,462.77,17.52,0,0,10.48,0,45.1,23.8,3.84,5.82,0,60.57,0,144.57,48.88,18.08,19.8,62.33,211.91,24.43,14.36,0,44.89,115.13,22.47,75.62,0
07.02.2002,0,0,0,15.85,22.12,2.21,6.84,3.86,0,4.75,134.7,55.52,0,1.64,53.19,20,0,0,16.63,4.47,0,7.21,0,24,0,57.83,20.8,205.1,1.39,0,14.9,355.86,7.5,0,0.69,0,41.29,9.01,0,1.57,1.69,0,15.12,249.6,0,436.46,165.38,0,0,0,0,0,0,0,14.11,0,275,2.06,0,17.35,2.96,3.03,10.5,0,22.94,6.07,0,3.42,0,0,111.01,0,2.7,155.35,2.96,0,0,61.95,352,0,11.75,38.61,1.5,0,4.98,804.65,72.6,99.87,0,50.95,5.35,0,9.33,293.56,0,11.84,46.34,58.62,48,0,0.34,0,3.37,45.19,0,164.89,0,21.77,64.18,73.68,390.34,5.62,40.44,247.9,35.11,0,0,20.99,0,0,1.19,0,5.1,83.75,8.45,337.07,1.92,35.7,0,0,12.96,225.3,28.81,0,0,43.03,113.24,8.99,52.27,1.31,7.72,44.1,0,12.21,21.85,281.13,13.95,52.05,12.03,10.16,34.63,17.01,0,85,2.72,0,484.62,161.45,0,0,0,29.29,227.16,466.1,18.21,0,0,10.13,0,65.37,26.12,3.75,6.39,0,66.59,0,143.27,50.96,18.19,23.3,62.71,214.31,29.24,14.17,0,45.02,108.55,22.61,77.19,0
14.02.2002,0,0,0,16.81,21.9,2.4,7.2,3.85,0,6.23,141.5,54.06,0,1.69,58.29,19.55,0,0,19.16,4.48,0,7.01,0,24.39,0,56.88,24.35,218.5,1.43,0,18,345.2,7.9,0,0.83,0,42.68,9.31,0,1.73,2.04,0,15.57,258.25,0,436.27,178.03,0,0,0,0,0,0,0,16.95,0,293.2,2.08,0,19.65,3.13,3.11,12.84,0,24.48,7.45,0,3.66,0,0,118.63,0,2.5,164.75,3.09,0,0,64.33,353.48,0,12.43,39.79,1.53,0,5.11,847.64,77,96.91,0,51.4,5.45,0,9.82,330.05,0,13.37,46.37,61.76,51.43,0,0.32,0,3.96,47.21,0,165.83,0,23.74,65.43,74.19,396.37,6.54,44.57,233.45,41.15,0,0,20.92,0,0,1.26,0,5.15,91.17,8.58,336.84,2.43,41,0,0,12.86,229.55,28.98,0,0,45.06,115.29,10.12,54.63,1.41,7.71,43.3,0,11.87,27.54,290.98,13.22,52.6,12.67,10.62,40.27,18.52,0,83.79,2.89,0,494.8,151.1,0,0,0,31.59,240.49,476.55,19.64,0,0,10.31,0,61.65,27,4.76,7.45,0,68.39,22.5,149.1,53.28,23.06,23.69,67.92,222.14,39.78,14.34,0,45.34,113.51,22.96,78.6,0
21.02.2002,0,0,0,16.58,21.91,2.2,7.06,4,0,5.58,136.3,50.97,0,1.66,59.37,21.35,0,0,18.15,4.44,0,7.92,0,26.02,0,57.86,23,211.15,1.56,0,18.9,332.17,7.75,0,0,0,43.53,9.89,0,2.1,1.98,0,16.92,294.4,0,430.58,171.61,0,0,0,0,0,0,0,16.57,0,276.5,2.31,0,21.2,3.16,4.56,13.89,0,24.2,7.37,0,3.64,0,0,132.92,0,2.5,176.62,3.05,0,0,65.54,341.88,0,12.24,38.2,1.52,0,5.13,887.49,77.55,95.66,0,62.73,5.2,0,10.8,327,0,12.8,45.95,60.68,51.43,0,0.34,0,4.66,52.25,0,165.48,0,22.99,64.52,71.39,396.22,6.08,48.89,240.95,43.95,0,0,21.73,0,0,1.21,0,5.15,90.23,9.15,322.69,2.28,39.27,0,0,12.06,223.39,30.38,0,0,47.44,111.65,9.83,51.18,1.33,7.63,41.65,0,12.02,27.62,316.16,13.34,53.8,14.61,10.5,45.82,16.99,0,84.99,2.82,0,511.98,143.93,0,0,0,29.93,242.09,489.65,19.94,0,0,11.73,0,59,26.21,5.7,8.54,0,63.72,21.23,141.72,50.39,25.45,23.04,64.99,231.07,38.14,14.74,0,47.22,108.33,23.86,79.19,0
28.02.2002,0,0,0,17.39,21.74,2.47,7.04,3.75,0,5.35,139,62.37,0,1.61,52.85,21.95,0,0,18.45,4.32,0,7.48,0,24.78,0,56.83,20.15,214.05,1.48,0,18.4,323.83,8.05,0,0,0,41.34,8.91,0,1.85,2.94,0,16.81,308,0,424.43,169.27,0,0,0,0,0,0,0,14.78,0,271,2.6,0,19.9,3.28,4.09,11.98,0,25.31,7.31,0,3.22,0,0,133.91,0,0,177.45,3.01,0,0,66.02,365.58,0,11.51,38.27,1.47,0,4.82,831.9,71.75,98.97,0,56.08,5.05,0,9.08,328.56,0,12.75,43.9,61.94,51.43,0,0.37,0,4.47,51.37,0,162.31,0,20.82,65.96,68.65,392.81,6.05,44.82,286.2,39.99,0,0,27.78,0,0,1.19,0,5.35,84.17,8.74,321.65,2.31,37.61,0,0,12.18,215.78,31.48,0,0,45.36,112.46,8.89,46.49,1.22,7.69,40,0,11.7,24.57,316.2,13.31,48.75,14.06,9.88,45.12,16.75,0,80.23,2.9,0,492.97,141.98,0,0,0,28.05,239.51,526.08,20.23,0,0,11.28,0,55.52,27.1,5.4,7.38,0,64.53,20.45,138.91,48.26,25.06,21.49,67.11,239.86,37.28,14.59,0,47,104.5,24.15,77.6,0
07.03.2002,0,0,0,18.2,21.88,2.36,7.2,3.82,0,5.59,136,61.9,0,1.68,56.9,23.15,0,0,21.43,4.47,0,7.89,0,25.75,0,62.96,23.1,218.35,1.61,0,17.65,329.99,8.5,0,0.83,0,44.97,9.96,0,2.74,3.58,0,17.5,301,0,421.53,174.65,0,0,0,0,0,0,0,15.88,0,279.95,2.61,0,22.15,3.21,3.87,12.62,0,24.85,7,0,3.39,0,0,145.73,0,2.42,174.3,2.96,0,0,67.09,385.23,0,11.89,43.82,1.55,0,5.01,862.09,76.55,106.83,0,63.83,5.05,0,9.33,327.91,0,16.08,45.66,60.85,46.86,0,0.34,0,4.46,52.86,0,164,0,22.65,65,69.01,391.23,6.23,43.34,316.7,42.66,0,0,31.39,0,0,1.17,0,5,89.58,8.42,337.36,2.39,37.68,0,0,12.48,225.67,29.49,0,0,49.12,111,9.48,47.64,1.19,7.73,42,0,11.85,26.64,346.37,14.52,47.8,16.88,10.13,41.38,17.71,0,82.01,3.14,0,512.91,162.13,0,0,0,30.93,252.5,515.78,20.57,0,0,12.08,0,60.02,24.66,7.52,8.13,0,72.8,22.43,161.72,49.52,26.5,21.8,66.87,242.4,40.33,15.05,0,47.55,122.36,23.41,78.78,0
