,OBER IN Equity,HEXW IN Equity,FORH IN Equity,TGBL IN Equity,TRCL IN Equity,NTCPH IN Equity,TI IN Equity,GFLC IN Equity,PEPL IN Equity,SI IN Equity,HWA IN Equity,WLSI IN Equity,IRB IN Equity,ADE IN Equity,RCAPT IN Equity,WHIRL IN Equity,AIAE IN Equity,INXW IN Equity,0CL IN Equity,VOLT IN Equity,GPPV IN Equity,APTY IN Equity,BIOS IN Equity,CIFC IN Equity,SPADV IN Equity,MPHL IN Equity,BOI IN Equity,RELI IN Equity,GRHF IN Equity,MACA IN Equity,IDBI IN Equity,SANL IN Equity,MRPL IN Equity,INFOE IN Equity,PI IN Equity,SJVN IN Equity,TTCH IN Equity,IPCA IN Equity,UNBK IN Equity,FB IN Equity,CRG IN Equity,RPWR IN Equity,TVSL IN Equity,BOOT IN Equity,SUEL IN Equity,PFIZ IN Equity,TCOM IN Equity,JUBI IN Equity,LTFH IN Equity,DITV IN Equity,SCUF IN Equity,CBOI IN Equity,JSW IN Equity,NBCC IN Equity,TMX IN Equity,MTCL IN Equity,3M IN Equity,GDSP IN Equity,WIL IN Equity,NLC IN Equity,EXID IN Equity,ATD IN Equity,MAX IN Equity,PLNG IN Equity,CRISIL IN Equity,AJP IN Equity,CBK IN Equity,KNPL IN Equity,ALPM IN Equity,SUNTV IN Equity,BYRCS IN Equity,MMFS IN Equity,RJEX IN Equity,WPL IN Equity,BRGR IN Equity,RCOM IN Equity,VED LN Equity,HNDL IN Equity,GILL IN Equity,PAG IN Equity,TPWR IN Equity,PIEL IN Equity,HAVL IN Equity,SUF IN Equity,AMRJ IN Equity,MRF IN Equity,BDE IN Equity,BJHI IN Equity,NHPC IN Equity,APHS IN Equity,SAIL IN Equity,DLFU IN Equity,SHTF IN Equity,PG IN Equity,IDFC IN Equity,LICHF IN Equity,CSTRL IN Equity,TATA IN Equity,JSTL IN Equity,UBBL IN Equity,UPLL IN Equity,PNB IN Equity,AL IN Equity,ABB IN Equity,RECL IN Equity,ACC IN Equity,IHFL IN Equity,BHFC IN Equity,ABNL IN Equity,CLGT IN Equity,SKB IN Equity,MRCO IN Equity,BHE IN Equity,HPCL IN Equity,BAF IN Equity,CAIR IN Equity,OINL IN Equity,TRP IN Equity,YES IN Equity,HMN IN Equity,VEDL IN Equity,BJFIN IN Equity,ESOIL IN Equity,CCRI IN Equity,PIDI IN Equity,GLXO IN Equity,TTAN IN Equity,KKC IN Equity,POWF IN Equity,DIVI IN Equity,GNP IN Equity,GRASIM IN Equity,ACEM IN Equity,GRASIM/F IN Equity,OFSS IN Equity,Z IN Equity,BRIT IN Equity,BOB IN Equity,GAIL IN Equity,MSS IN Equity,CDH IN Equity,SRCM IN Equity,NMDC IN Equity,ARBP IN Equity,SIEM IN Equity,HMCL IN Equity,GCPL IN Equity,UNSP IN Equity,IIB IN Equity,DABUR IN Equity,EIM IN Equity,BHEL IN Equity,TECHM IN Equity,CIPLA IN Equity,HZ IN Equity,IDEA IN Equity,NEST IN Equity,BPCL IN Equity,BJAUT IN Equity,PWGR IN Equity,ADSEZ IN Equity,MM IN Equity,BOS IN Equity,DRRD IN Equity,APNT IN Equity,BHIN IN Equity,UTCEM IN Equity,LPC IN Equity,NTPC IN Equity,IOCL IN Equity,TTMT IN Equity,KMB IN Equity,AXSB IN Equity,MSIL IN Equity,HCLT IN Equity,BHARTI IN Equity,WPRO IN Equity,LT IN Equity,ICICIBC IN Equity,SBIN IN Equity,HDFC IN Equity,HUVR IN Equity,ONGC IN Equity,SUNP IN Equity,COAL IN Equity,HDFCB IN Equity,INFO IN Equity,ITC IN Equity,RIL IN Equity,TCS IN Equity
02.01.2002,0,6.91,0,16.4,21.44,2.28,6.98,3.85,0,4.27,135,57.44,0,1.61,51.51,19.7,0,0,12.31,4.62,0,7.79,0,22.45,0,36.25,15.3,197.7,1.3,0,15.7,376.28,6.55,0,0.63,0,39,7.8,0,1.09,1.77,0,8.17,239.55,0,422.72,140.48,0,0,0,0,0,0,0,13.35,0,260,2.17,0,10.5,2.76,2.69,10.2,0,13.11,7.73,0,2.64,0,0,91.5,0,2.5,163.62,3.28,0,0,54.99,263.63,0,11.4,35.92,1.44,0,4.88,700.85,68.05,85.21,0,53.18,4.85,0,9.08,292.81,0,8.88,43.08,51.52,51.43,0,0.34,0,3.54,41,0,155.61,0,18.01,68.86,80.35,392.81,5.29,28,134.9,29.68,0,0,16.65,0,0,1.26,0,5.7,47.68,8.57,281.91,1.84,39.51,0,0,9.84,206.12,25.42,0,0,33.97,118.23,7.98,42.59,1.17,7.93,45,0.8,11.26,18.9,237.64,13.31,58.3,10.64,11.39,21.17,14.06,0,90.15,2.02,0,494.2,93.8,0,0,0,21.41,209.28,467.45,17.65,0,0,8.97,0,45.13,19.02,2.62,5.24,0,69.99,0,143.25,48.2,17.75,17.78,63.98,213.55,23.19,13.09,0,44.93,119.63,22.94,76.59,0
09.01.2002,0,7.53,0,16.74,20.92,2.16,6.95,3.73,0,4.25,130,60.63,0,1.6,52.7,18.9,0,0,12.75,4.47,0,7.46,0,22.45,0,35.03,15,200.4,1.25,0,14.6,360.07,6.2,0,0,0,38.9,7.65,0,1.08,1.64,0,9.23,238,0,411.44,139.13,0,0,0,0,0,0,0,12.58,0,263,2.19,0,10.2,2.76,2.48,11.03,0,15.55,8.53,0,2.67,0,0,97.53,0,2.53,162.38,3.18,0,0,59.79,257.01,0,11.6,35.33,1.55,0,4.92,702.14,67.4,87.56,0,55.05,4.85,0,8.25,295.38,0,8.66,44.06,59.36,50.29,0,0.35,0,3.25,42.02,0,164.05,0,17.25,68.86,80.79,390.34,5.02,30.11,145.05,31.11,0,0,16.6,0,0,1.24,0,5.3,51.7,8.27,281.25,1.75,38.77,0,0,10.27,211.94,28.06,0,0,38.56,118.35,7.8,42.56,1.2,8.02,46.95,0,11.78,19.02,273.17,13.31,57.3,10.4,11.24,20.76,13.95,0,94.04,2.2,0,500.62,97,0,0,0,22.42,211.85,485.15,17.39,0,0,9.23,0,44.88,19.31,3.34,5.4,0,72.83,0,153.16,49.06,18.35,19.29,63.33,206.39,23.29,13.9,0,44.96,131.16,23.5,82.85,0
16.01.2002,0,7.05,0,16.61,21.33,2.2,6.9,3.69,0,4.22,140,63.21,0,1.65,54.33,20.4,0,0,14.36,4.47,0,7.36,0,22.76,0,38.69,15.1,201.8,1.31,0,14.65,353.3,7.35,0,0,0,40.15,7.96,0,1.11,1.67,0,11.09,240,0,408.46,140.48,0,0,0,0,0,0,0,13.89,0,260,2.15,0,11.95,2.83,2.55,10.46,0,19.93,8.53,0,2.79,0,0,101.37,0,2.59,160.48,2.88,0,0,60.99,257.85,0,11.95,35.96,1.51,0,4.85,727.1,69.6,91.58,0,53.45,5.1,0,8.44,292.77,0,8.82,44.88,60.91,50.29,0,0.34,0,3.7,41.17,0,167.02,0,22.31,67.75,76.45,387.97,5.16,38.88,158.9,33.59,0,0,17.51,0,0,1.25,0,5,56.65,8.32,291.56,1.68,39.8,0,0,10.38,213.81,28.83,0,0,39.38,116.8,7.91,44.1,1.21,7.86,47.05,0,12.26,18.53,283.93,13.85,57.8,10.25,11.07,23.67,14.46,0,94.49,2.33,0,498.6,104.75,0,0,0,24.32,221.26,480.68,17.87,0,0,10.91,0,44.88,24,3.75,5.64,0,63.95,0,150.67,50.06,18.81,20.79,62.61,202.02,23.74,15.71,0,46.04,114.69,23.51,80.78,0
23.01.2002,0,6.5,0,16.54,21.52,2.1,7.25,3.8,0,4.45,129.8,58.05,0,1.69,53.44,20.15,0,0,14.5,4.42,0,7.48,0,23.23,0,55.36,15.45,203.55,1.27,0,14.6,352.49,7.15,0,0,0,43.08,7.86,0,1.16,1.82,0,12.6,252.1,0,416.84,137.1,0,0,0,0,0,0,0,14.58,0,255,2.12,0,11.8,2.93,2.59,10.26,0,25.21,7.48,0,3.14,0,0,103.8,0,2.5,165.08,2.81,0,0,58.9,255.43,0,12.11,35.57,1.51,0,5.54,777.61,78.1,96.92,0,57,4.95,0,8.83,297.56,0,10.21,44.57,60.79,50.29,0,0.34,0,3.77,43.24,0,168.81,0,22.79,67.75,75.05,381.84,5.15,37.75,174.45,35.15,0,0,18.18,0,0,1.29,0,4.9,65.4,8.28,314.98,1.72,37.36,0,0,11.29,216.6,29.67,0,0,38.75,116.88,7.93,44.13,0,7.98,50.05,0,11.77,20.49,311.21,13.98,64.3,10.45,10.83,27.05,14.6,0,90.18,2.26,0,498.5,105.03,0,0,0,28.18,227.16,500.3,17.92,0,0,10.71,0,45.83,23.55,3.81,5.83,0,61.46,0,138.24,49.91,18.48,19.79,61.52,207.11,24.85,14.58,0,48.63,114.97,24.06,79.41,0
30.01.2002,0,0,0,16.09,22.35,2.51,7.42,3.81,0,4.87,130,54.58,0,1.63,51.96,20,0,0,13.26,4.29,0,7.34,0,23.62,0,52.18,17,204.15,1.29,0,14,359.79,6.7,0,0.76,0,40.3,8.51,0,1.2,1.76,0,13.49,246,0,404,143.22,0,0,0,0,0,0,0,13.95,0,259,2.07,0,11.85,3,3.28,10.26,0,22.48,6.93,0,3.1,0,0,111.6,0,2.46,155.6,2.88,0,0,59.11,290.34,0,11.1,36.97,1.61,0,5.07,753.8,78.65,95.04,0,51.03,5,0,8.69,290.2,0,9.97,44.52,58.59,48,0,0.34,0,3.42,43.52,0,156.15,0,21.49,64.66,73.03,385.2,5.46,34.93,167.15,34.79,0,0,22.44,0,0,1.18,0,4.85,65.9,8.47,322.45,1.68,37.01,0,0,11.15,210.19,28.16,0,0,38,117,7.89,43.94,1.22,7.8,43.45,0,11.58,20.3,278.48,13.4,54.45,10.3,10.82,28.16,14.42,0,88.57,2.27,0,492.92,105.25,0,0,0,27.76,227.36,470.4,17.97,0,0,10.25,0,45,23,3.2,5.86,0,57.15,0,136.63,48.6,17.79,20.26,62.37,211.82,23.71,14.37,0,44.91,108.62,22.73,79.27,0
06.02.2002,0,0,0,16.11,21.67,2.3,7.21,3.9,0,4.85,135.8,55.1,0,1.65,51.32,20.1,0,0,17.5,4.47,0,7.28,0,24,0,55.43,20.7,214.15,1.34,0,15.15,356.38,7.9,0,0.69,0,42.09,8.98,0,1.44,1.68,0,14.96,245.7,0,445.75,174.1,0,0,0,0,0,0,0,14.27,0,272.3,2.09,0,16,2.89,3.1,10.71,0,23.41,6.27,0,3.2,0,0,113.6,0,2.7,155.27,2.97,0,0,62.36,368.49,0,12.09,38.89,1.5,0,5.08,778.5,74.1,96.25,0,53.55,5.5,0,9.42,287.57,0,12.26,46.24,59.21,49.14,0,0.35,0,3.48,46.05,0,166.68,0,21.82,65.1,74.36,390.34,5.45,44.41,225.4,35.24,0,0,21.62,0,0,1.17,0,4.95,88.9,8.47,347.53,1.86,35.7,0,0,12.97,220.22,30.29,0,0,45.49,114.4,8.98,56.5,1.21,7.77,44.25,0,12.42,22.57,279.99,14.08,54.8,12.23,10.23,35.41,17.99,0,83.86,2.78,0,494.6,146.78,0,0,0,29.93,228.05,466.4,18.4,0,0,10.44,0,70.8,25.6,3.87,6.83,0,65.67,0,153.93,51.17,18.26,22.5,62.75,213.21,30.7,14.13,0,45.16,116.18,22.64,73.54,0
13.02.2002,0,0,0,16.86,21.52,2.26,7.39,3.83,0,5.8,140.2,54.63,0,1.71,58.43,20,0,0,18.93,4.5,0,7.08,0,24.74,0,57.96,22.65,221.85,1.43,0,16.45,345.57,7.7,0,0.83,0,42.44,9.29,0,1.64,1.95,0,15.69,253.85,0,442,175.19,0,0,0,0,0,0,0,16.91,0,271.5,2.11,0,16.4,3.05,2.97,12.75,0,22.71,7.41,0,3.76,0,0,110,0,2.5,165.8,3.05,0,0,63.26,361.13,0,12.36,39.62,1.54,0,5.14,844.55,76,94.68,0,51.9,5.15,0,9.23,309.66,0,12.82,46.33,61.2,50.29,0,0.34,0,3.84,46.15,0,164.14,0,23.86,65.34,73.92,397.8,6.64,41.87,227.85,39.82,0,0,20.99,0,0,1.26,0,5.1,90.07,8.53,335.61,2.33,42.87,0,0,12.89,229.14,28.21,0,0,44.15,114.6,9.48,52.36,1.41,7.75,43.55,0,11.8,25.67,290.84,13.48,52.15,12.48,10.65,39.76,17.35,0,83.84,2.76,0,497.91,149.28,0,0,0,30.75,238.02,480.2,20.44,0,0,10.38,0,59.83,26.81,4.08,7.2,0,66.91,22.5,146.36,52.37,20.96,23.06,64.09,224.68,35.76,14.24,0,45.63,112.2,22.69,78.2,0
20.02.2002,0,0,0,16.46,21.7,2.3,7.05,4.02,0,5.76,135,50.87,0,1.64,57.84,20.4,0,0,18.16,4.47,0,7.07,0,25.94,0,53.95,22.45,212.3,1.48,0,18,335.39,7.8,0,0,0,43.08,9.42,0,2.05,1.96,0,17.28,297,0,431.96,170.02,0,0,0,0,0,0,0,15.59,0,279.95,2.19,0,19.8,3.15,4.22,13.36,0,23.84,7.58,0,3.71,0,0,132.62,0,2.5,166.78,3.05,0,0,64.97,321.64,0,12.21,38.54,1.56,0,5.11,883.36,77,96.79,0,52.28,5.35,0,10.99,326.8,0,12.49,46.27,60.56,51.43,0,0.33,0,4.27,48.9,0,165.29,0,21.96,65,71.42,395.63,6.07,46,245.05,42.61,0,0,21,0,0,1.24,0,5.15,86.92,9.02,322.74,2.28,38.21,0,0,11.94,225.18,30.65,0,0,47.11,113,9.7,51.48,1.34,7.72,43,0,12.1,28.02,309.24,13.34,52.65,14.46,10.38,44.89,17.09,0,84.98,2.75,0,508.42,141.2,0,0,0,29.18,241.97,486.1,19.76,0,0,12,0,59.08,26.08,4.75,7.85,0,62.93,20.7,142.06,50.63,24.81,22.68,65.92,230.4,38.84,14.68,0,47.16,108.07,23.53,80.1,0
27.02.2002,0,0,0,17.13,21.91,2.35,7,4,0,5.57,136,58.43,0,1.7,57.84,23.95,0,0,18.64,4.35,0,7.81,0,26.21,0,57.23,22.95,217.25,1.64,0,18.3,330.08,8.55,0,0,0,43.13,10.22,0,2.11,3.29,0,17.84,317.6,0,426.42,171.31,0,0,0,0,0,0,0,16.66,0,289.95,2.61,0,23.2,3.36,4.34,13.26,0,25.54,7.03,0,3.45,0,0,133.98,0,0,179.15,3.04,0,0,67.27,385.27,0,12.62,42.51,1.56,0,5.16,887.64,78,103.19,0,66.6,5.6,0,9.96,328.75,0,14.56,46.37,65.02,56,0,0.36,0,4.58,56.06,0,172.38,0,23.94,65.24,70.38,395.23,6.24,50.15,290.35,41.33,0,0,29.06,0,0,1.24,0,5.4,85.57,9.33,323.21,2.5,39.3,0,0,12.12,229.73,32.62,0,0,47.8,117.02,9.78,48.56,1.21,7.96,42.85,0,11.98,27.36,339.82,13.64,51.9,16.09,10.48,46.19,18.54,0,83.88,3.22,0,505.56,150,0,0,0,29.76,245.93,540.65,20.78,0,0,12.54,0,59.48,27.37,5.53,8.04,0,69.47,22.15,146.61,51.41,26.26,23.88,65.66,236.69,39.28,14.82,0,47.08,113.49,23.63,81.97,0
06.03.2002,0,0,0,18.06,21.51,2.34,7,3.82,0,5.62,138,61.38,0,1.63,55.62,23.25,0,0,21.96,4.47,0,7.98,0,25.55,0,60.87,22.6,212.95,1.61,0,17.85,330.89,8.6,0,0.83,0,45.57,10.04,0,2.92,3.82,0,17.34,301.6,0,418.88,175.09,0,0,0,0,0,0,0,15.43,0,280,2.6,0,22,3.2,3.89,12.85,0,25.41,6.95,0,3.46,0,0,151.8,0,2.42,175.08,3.04,0,0,63.38,392.78,0,11.85,43.36,1.58,0,4.93,861.99,76,106.59,0,61.38,5.05,0,9.77,327.19,0,15.98,45.75,59.91,48,0,0.35,0,4.34,53.49,0,158.68,0,22.18,64.61,68.72,394.84,6.24,43.31,319.35,42.22,0,0,31.89,0,0,1.16,0,4.8,88.3,8.32,326.29,2.36,38.46,0,0,12.37,226.15,28.74,0,0,48.85,110.84,9.3,47.22,1.25,7.71,41.7,0,11.8,25.54,346.23,14.43,48.9,16.49,10.62,40.92,17.58,0,81.81,3.07,0,510.5,163.53,0,0,0,30.78,252.35,509.38,20.82,0,0,12.08,0,59.63,23.99,8.11,8.02,0,70.85,22.6,158.24,48.75,27.08,21.72,66.2,236.64,40.86,15.06,0,47.04,116.4,23.03,77.56,0
13.03.2002,0,0,0,17.35,21.68,2.22,7,3.78,0,5.16,138,60.54,0,1.62,53.54,23.4,0,0,21.66,4.63,0,7.52,0,29.38,0,68.28,22.3,216.55,1.57,0,16.95,325.15,8.7,0,0.83,0,42.93,9.56,0,2.89,3.41,0,17.25,302.45,0,412.68,177.98,0,0,0,0,0,0,0,15.03,0,284.8,2.61,0,21,3.17,3.89,19.87,0,26.73,6.7,0,3.21,0,0,138.98,0,2.27,175.17,2.88,0,0,64.54,369.28,0,11.4,44.64,1.57,0,4.89,863.93,74.35,105.79,0,60.3,4.95,0,9.33,325.31,0,14.74,45.47,58.8,45.71,0,0.31,0,4.54,53.87,0,159.18,0,21.47,64.56,67.73,377.84,6.41,42.81,292.9,44.44,0,0,29.14,0,0,1.16,0,5.65,87.63,8.07,324.06,2.49,35.99,0,0,12.27,222.95,28.48,0,0,48.13,106.1,9.35,47.28,1.12,7.78,41.45,0,11.5,26.35,316.57,14.39,45.85,15.45,10.07,41.66,17.11,0,80.75,3.1,0,502.4,154.03,0,0,0,29.93,241.48,536.67,20.81,0,0,11.51,0,59.22,24.81,7.31,7.56,0,71.12,21,155.61,48.63,24.89,21.66,65.47,228.77,40.13,15.24,0,46.76,119.89,23.28,74.07,0
20.03.2002,0,0,0,17.37,21.65,2.2,7.39,3.9,0,5.57,149.25,60.96,0,1.61,52.65,23.2,0,0,21,4.9,0,7.42,0,31.09,0,68.06,22,214.25,1.57,0,16.4,366.7,8.3,0,0,0,43.13,9.42,0,2.82,3.49,0,17.4,298.6,0,442.48,180.12,0,0,0,0,0,0,0,14.76,0,312.15,2.71,0,20.05,3.18,3.7,22.48,0,31,6.48,0,3.51,0,0,132.5,0,2.16,177.97,2.92,0,0,67.39,370.81,0,11.2,42.31,1.59,0,5.4,881.36,79,105.46,0,66.4,4.95,0,8.49,334.67,0,14.84,43.58,58.74,45.71,0,0.3,0,4.14,53.43,0,157.25,0,21.42,66.11,67.59,375.52,6.48,43.34,293.05,43.5,0,0,28.3,0,0,1.22,0,6.3,84.12,9,326.81,2.56,38.49,0,0,12.35,217.01,27.91,0,0,53.4,106.72,9.67,49.12,1.15,7.7,41.05,0,11.18,25,330.9,14.45,52.15,15.94,9.48,39.07,17.03,0,81.55,3.21,0,500.18,157.28,0,0,0,28.78,239.58,529.25,20.88,0,0,11.57,0,65.02,24.56,6.74,7.43,0,69.59,20.25,149.3,47.99,24.75,21.8,67.41,227.23,41.28,15.4,0,46.91,115.61,23.19,76.69,0
27.03.2002,0,0,0,16.58,21.04,2.15,6.97,3.85,0,5.37,149,60.26,0,1.6,51.76,24.25,0,0,20.96,4.94,0,7.45,0,29.15,0,66.86,25,223.4,1.5,0,16.5,374.14,8.1,0,0.92,0,43.23,9.23,0,2.6,3.58,0,18.72,303.75,0,426.27,184.36,0,0,0,0,0,0,0,15.37,0,304.4,2.71,0,19.55,3.13,3.62,23.34,0,30.23,6.27,0,3.45,0,0,128.15,0,1.95,189.87,2.96,0,0,64.07,348.79,0,11,43.01,1.84,0,5.28,791.06,83.05,100.4,0,62.93,4.8,0,8.93,325.89,0,14.08,43.44,56.8,45.71,0,0.29,0,3.89,52.04,0,152.13,0,21.56,66.01,66.41,366.82,6.36,39.66,290.75,40.88,0,0,26.55,0,0,1.21,0,5.9,83.28,8.93,317.35,2.58,37.15,0,0,12.35,215.9,26.95,0,0,50.88,108.41,9.59,49.87,0,7.75,41.05,0,10.75,24.58,303.7,15.32,52.05,17.18,9.26,39.39,16.46,0,81.44,3.46,0,502.74,162,0,0,0,27.82,239.51,537.85,21.38,0,0,11.28,0,66.67,23.5,6.49,7.68,0,64.42,19.55,147.16,45.89,24.01,21.1,65.46,218.2,45.11,15.36,0,47.5,109,22.38,75.81,0
03.04.2002,0,0,0,16.61,21.33,2.36,6.87,3.95,0,5.48,147.5,49.51,0,1.78,51.51,27.25,0,0,20.69,4.72,0,7.43,0,27.56,0,66.29,26.6,219.2,1.58,0,15.95,392.43,7.65,0,0.92,0,43.58,9.27,0,2.62,3.6,0,18.59,305.55,0,429.12,185.9,0,0,0,0,0,0,0,19.02,0,304.4,2.66,0,23.15,3.13,3.79,26.2,0,33.29,6.33,0,3.45,0,0,127.59,0,2.15,193.9,2.91,0,0,62.03,390.21,0,11.02,44.7,1.83,0,5.32,784.63,83.15,107.83,0,66.9,4.9,0,8.49,322.64,0,15,42.94,58.24,42.29,0,0.31,0,4.08,51.98,0,154.76,0,24.41,71.33,80.33,375.52,6.6,49.07,296.45,41.99,0,0,28.31,0,0,1.19,0,5.95,93.88,8.77,345.21,2.83,36.76,0,0,11.55,214.78,27.97,0,0,51.87,108,9.94,56.04,1.24,8.17,42.05,0,11.14,25.98,329.66,14.83,50.35,15.4,9.08,41.7,18.82,0,83.06,3.61,0,507.93,161.8,0,0,0,28.23,233.97,565.05,20.88,0,0,12.91,0,73.75,23.81,8.33,7.71,0,62.2,18.15,143.63,45.91,25.44,21.76,65.55,209.27,57.61,15.97,0,45.65,104.21,22.27,75.34,0
10.04.2002,0,0,0,16.85,21.32,2.51,6.85,4.82,0,6.72,179.05,51.39,0,1.91,51.32,26.15,0,0,23.1,4.92,0,7.62,0,27.1,0,80.87,25.3,228.4,1.55,0,16.65,401.48,8.1,0,0,0,44.47,10.86,0,2.53,3.61,0,18.46,298,0,447.45,184.16,0,0,0,0,0,0,0,19.5,0,331,2.66,0,22.85,3.19,4.33,26.65,0,33.02,7.07,0,3.63,0,0,124.6,0,2.76,189.3,2.96,0,0,62.74,389.96,0,10.98,46.98,1.81,0,5.44,839.92,85.95,109.33,0,77.45,4.95,0,9.03,310.63,0,14.57,42.24,59.21,49.14,0,0.4,0,4.92,52.31,0,149.01,0,27.65,96.8,71.18,387.28,7.78,54.63,291.1,42.22,0,0,31.42,0,4.62,1.35,0,6,105.07,10.3,346.72,2.95,37.15,0,0,13.63,218.73,27.05,0,0,52.35,105.64,9.81,54.79,1.21,8.86,42.5,0,11.7,27.88,329.57,17.27,52.6,15.2,9.57,45.49,17.48,0,83.86,3.64,0,514.44,155.35,0,0,0,30.29,246.91,557.2,21.05,0,0,12.66,0,70.13,25.25,8.02,7.69,0,62.46,18.5,155.66,44.33,24.72,22.33,63.92,215.8,53.6,15.73,0,45.48,111.75,20.28,74.79,0
