,AT PM Equity,EEI PM Equity,PIP PM Equity,SSI PM Equity,RCB PM Equity,EW PM Equity,AUB PM Equity,WEB PM Equity,PLC PM Equity,MCP PM Equity,NIKL PM Equity,LPZ PM Equity,BEL PM Equity,PNB PM Equity,COSCO PM Equity,FPH PM Equity,FLI PM Equity,CEB PM Equity,ABS PM Equity,VLL PM Equity,MBT PM Equity,MWC PM Equity,DNL PM Equity,FGEN PM Equity,AGI PM Equity,DMC PM Equity,ICT PM Equity,MEG PM Equity,EDC PM Equity,SECB PM Equity,AP PM Equity,BPI PM Equity,MPI PM Equity,JFC PM Equity,GLO PM Equity,GTCAP PM Equity,AEV PM Equity,SM PM Equity,BDO PM Equity,AC PM Equity,SMPH PM Equity,URC PM Equity,JGS PM Equity,TEL PM Equity,ALI PM Equity
04.01.2002,2.9719,0.26,0,0,14.4681,0,0,1.5833,0.05,0,0,0.64,0.4806,63.9625,0.6399,20.9668,0.5454,0,24.5,0,29.2066,0,0,0,6.4297,0.0335,2.2,0.5456,0,9.153,0,24.3937,0,11.9908,479.9343,0,1.3806,0,0,112.4997,3.8692,3.671,1.5982,353.1475,3.8429
11.01.2002,2.8233,0.28,0,0,14.0426,0,0,1.5,0.05,0,0,0.56,0.4344,62.9784,0.6399,21.37,0.5826,0,24,0,28.3347,0,0,0,6.2929,0.0335,2.7,0.5379,0,8.7663,0,23.9802,0,11.9908,479.9343,0,1.2886,0,0,118.4208,3.7519,3.671,1.4983,359.3795,4.1443
18.01.2002,2.7243,0.31,0,0,11.4894,0,0,1.75,0.07,0,0,0.58,0.4159,63.4705,0.6891,22.1764,0.7902,0,28,0,29.4972,0,0,0,6.4297,0.0428,2.85,0.5994,0,9.0241,0,25.0139,0,12.4704,469.3475,0,1.4911,0,0,134.9997,3.9864,3.7127,1.5383,369.7662,4.3703
25.01.2002,2.6747,0.37,0,0,11.4894,0,0,2.0833,0.08,0,0,0.76,0.4344,68.8827,0.7876,24.9989,0.7189,0,31,0,29.0613,0,0,0,6.4297,0.0614,2.8,0.6916,0,9.2819,0,27.908,0,12.95,476.4053,0,1.6567,0,0,151.5786,4.045,3.8378,1.758,423.777,4.2196
01.02.2002,2.6747,0.37,0,0,11.0638,0,0,2,0.11,0,0,0.83,0.4251,71.8348,0.7876,24.9989,0.8212,0,35.5,0,30.2237,0,0,0,6.5665,0.0596,3.1,0.6686,0,9.6687,0,28.1147,0,13.4297,539.926,0,1.6199,0,0,149.2102,4.045,3.9212,1.8579,440.3957,4.8978
08.02.2002,2.0605,0.34,0,0,10.8511,0,0,1.8333,0.0775,0,0,0.75,0.4066,73.3108,0.7384,23.7893,0.6135,0,29.5,0,29.9331,0,0,0,0,0.0559,2.95,0.6378,0,9.6687,0,27.2878,0,13.6695,532.8682,0,1.6015,0,0,146.8418,3.8105,4.0881,1.778,419.6223,4.7471
15.02.2002,2.3775,0.36,0,0,11.0638,0,0,1.9167,0.1,0,0,0.85,0.4159,74.2949,0.7384,24.5957,0.6631,0,30.5,0,30.6596,0,0,0,6.5665,0.067,3.1,0.6686,0,9.6687,0,27.908,0,13.9093,564.6285,0,1.7672,0,0,156.3154,4.045,4.3384,1.9378,427.9317,5.0485
22.02.2002,0,0.36,0,0,11.4894,0,0,1.9167,0.1,0,0,0.9,0.4898,68.3906,0.7876,25.8053,0.7251,0,30,0,30.6596,0,0,0,6.5665,0.0614,2.8,0.6532,0,9.9265,0,27.4946,0,12.7102,564.6285,0,1.7304,0,0,153.947,4.045,4.3384,1.8978,407.1583,5.1238
01.03.2002,2.8233,0.34,0,0,11.0638,0,0,1.8333,0.0725,0,0,0.83,0.4713,65.9305,0.6891,26.6117,0.7127,0,32,0,30.8049,0,0,0,6.5665,0.0596,2.65,0.6378,0,9.7976,0,28.1147,0,12.95,561.0996,0,1.8408,0,0,158.6838,4.045,4.0881,1.8379,413.3903,5.1992
08.03.2002,2.3973,0.3,0,0,10.6383,0,0,1.75,0.07,0,0,0.81,0.4806,61.0104,0.7384,26.2085,0.6879,0,33,0,33.0572,0,0,0,0,0.0559,2.7,0.6686,0,9.9265,0,28.9416,0,12.95,564.6285,0,1.8961,0,0,161.0522,3.9864,4.0881,1.8978,427.9317,5.2745
15.03.2002,2.2785,0.3,0,0,10.6383,0,0,1.8333,0.06,0,0,0.78,0.4529,60.0263,0.6891,25.8053,0.6507,0,32.5,0,31.6041,0,0,0,0,0.054,2.5,0.6532,0,9.7976,0,27.0811,0,11.751,561.0996,0,1.8224,0,0,153.947,3.8105,4.0881,1.8579,419.6223,4.8978
