,AT PM Equity,EEI PM Equity,PIP PM Equity,SSI PM Equity,RCB PM Equity,EW PM Equity,AUB PM Equity,WEB PM Equity,PLC PM Equity,MCP PM Equity,NIKL PM Equity,LPZ PM Equity,BEL PM Equity,PNB PM Equity,COSCO PM Equity,FPH PM Equity,FLI PM Equity,CEB PM Equity,ABS PM Equity,VLL PM Equity,MBT PM Equity,MWC PM Equity,DNL PM Equity,FGEN PM Equity,AGI PM Equity,DMC PM Equity,ICT PM Equity,MEG PM Equity,EDC PM Equity,SECB PM Equity,AP PM Equity,BPI PM Equity,MPI PM Equity,JFC PM Equity,GLO PM Equity,GTCAP PM Equity,AEV PM Equity,SM PM Equity,BDO PM Equity,AC PM Equity,SMPH PM Equity,URC PM Equity,JGS PM Equity,TEL PM Equity,ALI PM Equity
07.01.2002,2.9224,0.26,0,0,14.4681,0,0,1.5,0.05,0,0,0.64,0.4898,63.9625,0.6399,20.9668,0.5454,0,24,0,29.2066,0,0,0,6.4297,0.0298,2.48,0.5379,0,9.0241,0,24.3937,0,11.9908,476.4053,0,1.4543,0,0,111.3155,3.8692,3.671,1.5782,359.3795,3.9182
14.01.2002,2.8233,0.28,0,0,11.9149,0,0,1.5,0.05,0,0,0.55,0.4159,62.9784,0.5907,20.9668,0.6012,0,24,0,28.48,0,0,0,6.2929,0.0326,2.7,0.5379,0,8.7663,0,23.9802,0,11.9908,483.4632,0,1.307,0,0,117.2366,3.8105,3.671,1.4983,355.2249,4.2196
21.01.2002,2.7243,0.33,0,0,11.9149,0,0,1.75,0.09,0,0,0.59,0.4159,64.9465,0.6891,23.7893,0.7623,0,28,0,29.2066,0,0,0,6.5665,0.0503,2.75,0.6071,0,8.7663,0,26.8744,0,12.4704,472.8764,0,1.4543,0,0,144.4733,3.9864,3.7127,1.5782,407.1583,4.295
28.01.2002,2.6747,0.35,0,0,11.2766,0,0,2,0.08,0,0,0.81,0.4344,64.9465,0.7876,23.7893,0.7003,0,31.5,0,28.7707,0,0,0,6.4297,0.0596,2.8,0.6763,0,9.153,0,26.6677,0,12.95,476.4053,0,1.6015,0,0,144.4733,4.045,3.7544,1.6581,419.6223,4.5964
04.02.2002,2.6252,0.36,0,0,11.4894,0,0,2,0.1,0,0,0.79,0.4066,73.8028,0.7876,24.5957,0.7685,0,35.5,0,30.2237,0,0,0,6.5665,0.0577,3.05,0.6609,0,9.6687,0,27.908,0,13.4297,550.5128,0,1.6015,0,0,149.2102,4.045,4.255,1.8379,440.3957,4.8978
11.02.2002,2.0803,0.34,0,0,10.4255,0,0,1.8333,0.08,0,0,0.79,0.4159,74.7869,0.7876,24.1925,0.6197,0,31.5,0,29.7878,0,0,0,6.5665,0.0577,3.05,0.6455,0,9.6687,0,27.4946,0,13.6695,539.926,0,1.6199,0,0,149.2102,3.8692,4.0881,1.8379,423.777,4.8224
18.02.2002,2.3775,0.35,0,0,11.2766,0,0,1.9167,0.1,0,0,0.93,0.4713,73.8028,0.7876,24.9989,0.7313,0,31.5,0,30.9502,0,0,0,6.5665,0.0707,3.1,0.684,0,9.7976,0,27.908,0,13.6695,564.6285,0,1.7856,0,0,165.7891,4.1623,4.3384,1.9178,423.777,5.2745
04.03.2002,2.8233,0.33,0,0,11.0638,0,0,1.8333,0.075,0,0,0.84,0.4991,64.9465,0.6891,27.0149,0.7313,0,32.5,0,31.0956,0,0,0,6.5665,0.0614,2.75,0.6378,0,9.9265,0,28.5282,0,12.95,564.6285,0,1.9513,0,0,165.7891,4.045,4.0881,1.8978,409.2357,5.2745
11.03.2002,2.3973,0.34,0,0,10.6383,0,0,1.75,0.07,0,0,0.76,0.4713,59.5343,0.6891,25.8053,0.6383,0,33,0,31.9674,0,0,0,0,0.054,2.48,0.6609,0,9.9265,0,28.5282,0,12.4704,564.6285,0,1.8776,0,0,158.6838,3.8692,4.0881,1.8779,432.0864,5.1992
18.03.2002,2.2785,0.3,0,0,10.6383,0,0,1.8333,0.07,0,0,0.77,0.4436,60.0263,0.6891,24.9989,0.7065,0,33.5,0,31.9674,0,0,0,0,0.0521,2.48,0.6455,0,9.7976,0,26.6677,0,11.9908,557.5707,0,1.804,0,0,156.3154,3.7519,4.0881,1.8579,444.5504,4.8978
25.03.2002,1.9813,0.3,0,0,11.0638,0,0,1.75,0.07,0,0,0.79,0.4713,66.9146,0.7384,24.5957,0.7251,0,35,0,31.9674,0,0,0,0,0.054,2.48,0.684,0,9.5398,0,27.908,0,12.4704,564.6285,0,1.8408,0,0,156.3154,3.8105,4.0881,1.8779,440.3957,5.1992
01.04.2002,1.9813,0.3,0,0,10.8511,0,0,1.75,0.07,0,0,0.78,0.5268,66.9146,0.6891,24.5957,0.7065,0,34,0,31.6041,0,0,0,0,0.0521,2.48,0.6686,0,10.1843,0,27.7013,0,12.4704,561.0996,0,1.8592,0,0,149.2102,3.8692,4.0464,1.8978,440.3957,5.1238
15.04.2002,1.585,0.28,0,0,10.4255,0,0,1.5,0.065,0,0,0.71,0.5545,55.1061,0.7876,24.1925,0.7747,0,34.5,0,30.1511,0,0,0,0,0.0503,2.95,0.6609,0,9.9265,0,27.908,0,12.7102,568.1575,0,1.8776,0,0,149.2102,3.6347,3.8378,1.758,448.7051,5.2745
22.04.2002,1.486,0.27,0,0,10.6383,0,0,1.5833,0.06,0,0,0.64,0.5638,54.1221,0.8368,23.7893,0.7902,0,34.5,0,29.4245,0,0,0,6.5665,0.0465,2.8,0.6455,0,9.6687,0,28.7349,0,12.4704,568.1575,0,1.9145,0,0,149.2102,3.6933,3.9212,1.798,398.849,5.5006
29.04.2002,1.486,0.27,0,0,10.4255,0,0,1.5833,0.05,0,0,0.58,0.4806,53.1381,0.9845,21.37,0.8212,0,28,0,27.6082,0,0,0,6.5665,0.0447,2.7,0.6302,0,9.4108,0,28.1147,0,12.95,564.6285,0,1.8776,0,0,134.9997,3.4588,3.8378,1.758,373.9209,4.9731
