,AT PM Equity,EEI PM Equity,PIP PM Equity,SSI PM Equity,RCB PM Equity,EW PM Equity,AUB PM Equity,WEB PM Equity,PLC PM Equity,MCP PM Equity,NIKL PM Equity,LPZ PM Equity,BEL PM Equity,PNB PM Equity,COSCO PM Equity,FPH PM Equity,FLI PM Equity,CEB PM Equity,ABS PM Equity,VLL PM Equity,MBT PM Equity,MWC PM Equity,DNL PM Equity,FGEN PM Equity,AGI PM Equity,DMC PM Equity,ICT PM Equity,MEG PM Equity,EDC PM Equity,SECB PM Equity,AP PM Equity,BPI PM Equity,MPI PM Equity,JFC PM Equity,GLO PM Equity,GTCAP PM Equity,AEV PM Equity,SM PM Equity,BDO PM Equity,AC PM Equity,SMPH PM Equity,URC PM Equity,JGS PM Equity,TEL PM Equity,ALI PM Equity
03.01.2002,2.9719,0.26,0,0,13.4043,0,0,1.4167,0.05,0,0,0.61,0.4806,63.4705,0.6399,20.5636,0.5268,0,24,0,29.0613,0,0,0,6.4297,0.0316,2.2,0.5379,0,9.0241,0,24.1869,0,12.2306,479.9343,0,1.3806,0,0,112.4997,3.7519,3.671,1.5982,348.9928,3.6922
10.01.2002,2.8233,0.27,0,0,13.617,0,0,1.5,0.05,0,0,0.56,0.4344,62.9784,0.6399,20.9668,0.5888,0,24,0,28.1894,0,0,0,6.2929,0.0298,2.75,0.5379,0,8.7663,0,23.9802,0,12.2306,479.9343,0,1.2886,0,0,114.8681,3.8105,3.671,1.4983,361.4569,4.0689
17.01.2002,2.6747,0.27,0,0,10.6383,0,0,1.6667,0.05,0,0,0.58,0.3974,61.9944,0.6399,22.1764,0.7251,0,26,0,28.916,0,0,0,6.4297,0.0372,2.8,0.5917,0,9.0241,0,24.3937,0,12.2306,476.4053,0,1.399,0,0,123.1576,3.9278,3.7127,1.4583,346.9155,4.295
24.01.2002,2.6747,0.37,0,0,11.0638,0,0,1.9167,0.1,0,0,0.71,0.4436,63.9625,0.7384,25.4021,0.7561,0,31.5,0,29.2066,0,0,0,6.4297,0.054,2.85,0.6532,0,8.8952,0,28.7349,0,12.95,476.4053,0,1.6936,0,0,151.5786,4.1037,3.8378,1.758,423.777,4.295
31.01.2002,2.6747,0.36,0,0,11.0638,0,0,2.0833,0.11,0,0,0.83,0.4344,69.8667,0.7876,24.9989,0.7561,0,34.5,0,29.7878,0,0,0,6.7033,0.0614,3.05,0.6763,0,9.4108,0,27.7013,0,12.95,525.8103,0,1.6199,0,0,146.8418,4.045,3.9212,1.8179,423.777,4.8224
07.02.2002,2.1001,0.34,0,0,11.0638,0,0,1.75,0.08,0,0,0.74,0.3974,73.8028,0.7876,22.9829,0.6012,0,32,0,29.7878,0,0,0,6.4297,0.0521,2.9,0.6378,0,9.6687,0,27.4946,0,13.6695,536.3971,0,1.6015,0,0,146.8418,3.8692,4.1715,1.778,411.313,4.7471
14.02.2002,2.3775,0.36,0,0,11.2766,0,0,1.8333,0.1,0,0,0.81,0.4159,75.7709,0.7876,24.5957,0.6445,0,30.5,0,30.369,0,0,0,6.5665,0.067,3.05,0.6609,0,9.6687,0,27.7013,0,13.9093,546.9839,0,1.7488,0,0,156.3154,3.9278,4.0881,1.8779,423.777,5.0485
21.02.2002,0,0.36,0,0,11.4894,0,0,1.9167,0.12,0,0,0.93,0.5268,70.8507,0.7876,26.6117,0.7437,0,31,0,31.2409,0,0,0,6.5665,0.0633,2.95,0.6532,0,9.9265,0,28.1147,0,12.95,575.2153,0,1.7672,0,0,163.4207,4.2795,4.3384,1.9178,432.0864,5.1992
28.02.2002,2.8233,0.34,0,0,11.0638,0,0,1.75,0.0775,0,0,0.84,0.4713,65.9305,0.6891,26.6117,0.7127,0,32,0,30.8049,0,0,0,6.5665,0.0596,2.7,0.6455,0,9.9265,0,28.1147,0,12.95,561.0996,0,1.8592,0,0,156.3154,3.9864,4.0881,1.9178,419.6223,5.1992
07.03.2002,2.3973,0.31,0,0,11.0638,0,0,1.6667,0.075,0,0,0.83,0.5083,61.9944,0.7384,26.6117,0.7127,0,33,0,31.9674,0,0,0,6.5665,0.0577,2.65,0.6763,0,9.9265,0,28.9416,0,12.95,564.6285,0,1.8961,0,0,163.4207,3.9864,4.0881,1.8978,427.9317,5.2745
