,AT PM Equity,EEI PM Equity,PIP PM Equity,SSI PM Equity,RCB PM Equity,EW PM Equity,AUB PM Equity,WEB PM Equity,PLC PM Equity,MCP PM Equity,NIKL PM Equity,LPZ PM Equity,BEL PM Equity,PNB PM Equity,COSCO PM Equity,FPH PM Equity,FLI PM Equity,CEB PM Equity,ABS PM Equity,VLL PM Equity,MBT PM Equity,MWC PM Equity,DNL PM Equity,FGEN PM Equity,AGI PM Equity,DMC PM Equity,ICT PM Equity,MEG PM Equity,EDC PM Equity,SECB PM Equity,AP PM Equity,BPI PM Equity,MPI PM Equity,JFC PM Equity,GLO PM Equity,GTCAP PM Equity,AEV PM Equity,SM PM Equity,BDO PM Equity,AC PM Equity,SMPH PM Equity,URC PM Equity,JGS PM Equity,TEL PM Equity,ALI PM Equity
08.01.2002,2.9224,0.26,0,0,14.4681,0,0,1.5,0.05,0,0,0.52,0.4806,64.9465,0.6399,20.1604,0.5268,0,24,0,29.0613,0,0,0,6.4297,0.0298,2.46,0.5379,0,8.8952,0,24.3937,0,11.751,479.9343,0,1.3806,0,0,112.4997,3.8105,3.671,1.5782,353.1475,3.9936
15.01.2002,2.8233,0.27,0,0,10.6383,0,0,1.5,0.05,0,0,0.51,0.3974,62.9784,0.5907,20.9668,0.6012,0,24,0,28.48,0,0,0,6.2929,0.0298,2.65,0.5379,0,8.7663,0,23.9802,0,12.2306,479.9343,0,1.3622,0,0,116.0524,3.8105,3.671,1.4384,342.7608,4.2196
22.01.2002,2.7243,0.36,0,0,11.0638,0,0,1.75,0.09,0,0,0.66,0.4066,63.9625,0.7384,23.3861,0.7375,0,28,0,28.6253,0,0,0,6.5665,0.0577,2.95,0.6148,0,8.8952,0,26.0475,0,12.4704,465.8185,0,1.4543,0,0,144.4733,3.8692,3.7544,1.5383,407.1583,4.2196
29.01.2002,2.6747,0.35,0,0,10.8511,0,0,2.0833,0.08,0,0,0.77,0.4251,65.4385,0.7876,24.1925,0.7003,0,31.5,0,28.6253,0,0,0,6.4297,0.0559,2.75,0.6378,0,8.8952,0,26.6677,0,12.95,476.4053,0,1.6015,0,0,142.1049,3.9864,3.7544,1.6581,419.6223,4.521
05.02.2002,2.4766,0.35,0,0,11.2766,0,0,2,0.0825,0,0,0.8,0.4066,75.7709,0.7384,24.5957,0.7375,0,35,0,29.9331,0,0,0,6.5665,0.0596,2.9,0.6532,0,9.7976,0,27.7013,0,13.6695,546.9839,0,1.6015,0,0,149.2102,3.9864,4.5887,1.8379,432.0864,4.8224
12.02.2002,2.3775,0.33,0,0,11.0638,0,0,1.9167,0.08,0,0,0.79,0.4251,74.7869,0.7876,24.1925,0.6321,0,31,0,30.5143,0,0,0,6.5665,0.0577,3,0.6609,0,9.6687,0,27.7013,0,13.9093,536.3971,0,1.6936,0,0,149.2102,3.9278,4.0881,1.8379,423.777,4.9731
19.02.2002,2.3775,0.38,0,0,11.7021,0,0,2,0.12,0,0,0.96,0.5176,72.3268,0.7876,27.0149,0.7375,0,32,0,31.2409,0,0,0,6.8401,0.067,3.2,0.6916,0,10.3133,0,28.7349,0,13.1899,571.6864,0,1.8224,0,0,170.5259,4.3382,4.3384,1.9977,427.9317,5.3499
26.02.2002,2.8233,0.34,0,0,11.4894,0,0,1.8333,0.07,0,0,0.84,0.4713,66.9146,0.7384,25.8053,0.7065,0,31,0,30.5143,0,0,0,0,0.0596,2.8,0.6378,0,10.0554,0,27.908,0,12.7102,575.2153,0,1.7304,0,0,156.3154,3.9278,4.3384,1.8978,413.3903,5.1992
05.03.2002,2.3973,0.33,0,0,11.0638,0,0,1.8333,0.075,0,0,0.82,0.4898,63.9625,0.6891,27.0149,0.7251,0,33,0,30.9502,0,0,0,6.5665,0.0596,2.7,0.6532,0,9.9265,0,28.7349,0,12.95,564.6285,0,1.9145,0,0,163.4207,3.9864,4.0881,1.8779,419.6223,5.2745
12.03.2002,2.3775,0.29,0,0,10.6383,0,0,1.6667,0.07,0,0,0.77,0.4621,59.5343,0.7384,25.4021,0.6631,0,33,0,31.9674,0,0,0,0,0.0521,2.55,0.6532,0,9.7976,0,28.1147,0,11.9908,561.0996,0,1.8224,0,0,153.947,3.7519,4.0881,1.8579,423.777,5.0485
