,2615 TT Equity,1802 TT Equity,2204 TT Equity,2606 TT Equity,3189 TT Equity,2609 TT Equity,2451 TT Equity,3682 TT Equity,5264 TT Equity,1434 TT Equity,3673 TT Equity,2603 TT Equity,2227 TT Equity,9933 TT Equity,1227 TT Equity,2915 TT Equity,2379 TT Equity,9945 TT Equity,2448 TT Equity,2542 TT Equity,5347 TT Equity,2498 TT Equity,2610 TT Equity,6121 TT Equity,8299 TT Equity,1722 TT Equity,2049 TT Equity,2356 TT Equity,2834 TT Equity,2353 TT Equity,2618 TT Equity,4958 TT Equity,9914 TT Equity,6239 TT Equity,3231 TT Equity,2385 TT Equity,6176 TT Equity,3702 TT Equity,3474 TT Equity,2347 TT Equity,1504 TT Equity,3658 TT Equity,5871 TT Equity,9910 TT Equity,2888 TT Equity,3034 TT Equity,2301 TT Equity,2395 TT Equity,9921 TT Equity,2801 TT Equity,1102 TT Equity,2324 TT Equity,2823 TT Equity,6505 TT Equity,2354 TT Equity,2105 TT Equity,2409 TT Equity,2207 TT Equity,1476 TT Equity,1402 TT Equity,2887 TT Equity,3481 TT Equity,2880 TT Equity,5880 TT Equity,2890 TT Equity,9904 TT Equity,4904 TT Equity,1101 TT Equity,2885 TT Equity,2325 TT Equity,2912 TT Equity,2883 TT Equity,2303 TT Equity,2892 TT Equity,2884 TT Equity,4938 TT Equity,2382 TT Equity,3045 TT Equity,2311 TT Equity,2357 TT Equity,2474 TT Equity,1326 TT Equity,2002 TT Equity,2886 TT Equity,1216 TT Equity,1303 TT Equity,2891 TT Equity,1301 TT Equity,2308 TT Equity,3008 TT Equity,2881 TT Equity,2454 TT Equity,2882 TT Equity,2412 TT Equity,2317 TT Equity,2330 TT Equity
04.01.2002,7.39,11.2,21.25,5.47,0,6.05,34.61,0,0,9.19,0,9,0,10.07,3.02,17.26,140.97,5.52,14.69,0.61,24.47,0,12.91,20.07,0,19.2,0,16.45,6.89,36.41,13.61,0,5.98,0,0,19.38,0,0,0,22.01,11.4,0,0,14.97,0,44.86,39.5,43.68,24.57,9.85,6.28,28.58,4.78,0,11.5,5.78,26.38,14.85,4.16,7.62,0,0,10.5,0,0,13.29,33.15,7.63,0,24.33,44.87,16.59,40.53,0,0,0,78.08,50.22,15.53,355.1,11.21,16.75,9.65,0,7.05,19.99,0,22.77,40.22,0,28.08,195.88,40.1,55.92,25.73,59.82
11.01.2002,7.75,11.3,21.71,5.58,0,6.64,35.33,0,0,11.52,0,8.93,0,10.26,3.2,16.68,134.14,5.48,16.54,0.64,29.16,0,14.7,20.82,0,19.8,0,16,7.06,40.19,14.47,0,7.1,0,0,20.96,0,0,0,20.94,11.65,0,0,16.14,0,43.4,44.42,42.71,23.83,10.02,6.19,27.47,5.5,0,11.62,5.8,28.85,15.4,4.16,7.74,0,0,10.19,0,0,12.91,33.51,7.54,0,23,43.21,16.24,36.32,0,0,0,86.61,49.78,14.49,355.1,12.6,18.1,9.61,0,7.25,21.24,0,22.9,39.9,0,28.25,194.86,36.52,54.3,27.78,58.81
18.01.2002,7.27,10.5,21.25,5.43,0,6.09,31.97,0,0,10.51,0,8.93,0,10.07,3.04,16.29,141.83,5.34,15.79,0.59,23.13,0,13.16,21.99,0,19.7,0,14.38,6.73,37.09,14.07,0,6.62,0,0,20.36,0,0,0,20.59,11.4,0,0,15.15,0,45.84,50.02,42.47,22.51,9.47,5.52,27.76,4.96,0,10.79,5.52,30.88,14.85,4.12,7.15,0,0,9.89,0,0,12.34,33,7.25,0,19.82,42.88,15.54,35.31,0,0,0,84.71,50.55,13.16,357.3,12.97,16.01,9.51,0,6.96,19.77,0,22.5,37.93,0,30.93,231.53,36.88,53.23,27.31,57.13
25.01.2002,7.99,10.7,22.17,5.58,0,6.6,40.62,0,0,11.13,0,9.55,0,11.25,3.04,16.09,147.81,5.06,16.37,0.55,25.3,0,14.15,24.88,0,19.4,0,19.79,6.95,39.84,15.34,0,6.62,0,0,24.91,0,0,0,22.23,12.5,0,0,15.26,0,57.78,53.04,47.3,23.17,9.92,5.58,30.69,5.23,0,12.73,6.01,38.05,15.2,4.12,7.65,0,0,10.24,0,0,13.43,32.71,7.33,0,21.15,43.21,15.89,37.41,0,6.63,0,89.46,51.43,14.58,379.36,15.29,18.44,10.26,0,7.48,21.82,0,24.97,41.53,0,31.88,241.37,38.67,55.38,28.88,61.84
01.02.2002,10.22,10.7,21.8,5.94,0,6.99,45.9,0,0,11.57,0,10.64,0,11.39,3.12,15.7,148.66,4.97,16.89,0.6,23.96,0,13.85,23.06,0,19.8,0,18.01,6.78,39.5,15.27,0,6.45,0,0,25.7,0,0,0,22.45,13.6,0,0,15.38,0,57.05,51.32,48.75,23.1,9.68,5.64,28.06,5.25,0,13.78,6.42,35.73,16,4.4,8.5,0,0,9.94,0,0,13.15,31.33,7.25,9.76,20.27,40.88,15.47,36.55,0,6.88,0,85.35,48.34,13.45,377.15,15.19,22.68,11.56,16.75,7.48,23.73,0,28.83,40.22,0,30.58,220.66,38.31,55.38,27.94,57.47
22.02.2002,10.34,10.29,22.08,5.69,0,7.19,49.75,0,0,11.57,0,11.33,0,11.86,3.04,15.41,147.81,4.79,18.74,0.73,22.79,0,15.54,19.11,0,17.2,0,16.45,6.56,35.38,16.27,0,5.47,0,0,23.33,0,0,0,20.01,14.2,0,0,15.38,13.47,61.44,48.3,47.3,22.22,8.99,5.4,27.35,4.53,0,11.93,5.91,38.78,16.2,4.07,7.59,8.43,0,9.27,0,0,11.82,30.6,6.87,8.67,18.86,43.21,15.05,32.73,0,6.68,0,78.08,47.13,12.74,368.33,13.34,21.4,12.59,15.43,7.02,22.19,0,27.9,37.28,0,28.94,221.68,35.8,53.76,25.89,54.78
01.03.2002,10.7,10.75,22.91,5.58,0,7.3,44.7,0,0,12.14,0,12.22,0,11.39,3,15.31,147.81,4.92,19.26,0.65,22.37,0,16.63,20.93,0,17.6,0,16.39,6.51,36.41,16.93,0,5.5,0,0,26.1,0,0,0,19.87,14.15,0,0,15.56,13.01,67.29,50.02,42.47,22.22,8.82,5.58,26.07,4.55,0,12.42,6.34,40.59,16.8,4.21,7.94,8.23,0,8.97,0,0,11.92,29.5,7.21,8.32,19.9,44.87,14.42,36.63,0,6.6,0,74.91,46.36,12.78,366.13,14.08,25.17,12.04,14.93,7.05,24.31,0,31.36,34.34,111.39,30.24,230.51,35.66,53.55,24.47,54.44
08.03.2002,10.82,11.71,23.28,5.62,0,7.38,55.04,0,0,12.36,0,12.36,0,11.34,3.1,15.21,152.94,5.11,18.97,0.62,29.66,0,15.74,19.43,0,18.4,0,18.68,6.51,37.78,16.6,0,6.05,0,0,25.7,0,0,0,20.99,14.4,0,0,15.56,13.21,67.53,50.02,44.89,23.03,9.03,5.79,26.71,4.64,0,14.49,6.42,39.14,18.8,4.19,8.62,8.2,0,9.43,0,0,12.3,29.72,7.42,8.75,26.18,42.54,16.03,40.14,0,6.42,0,75.55,47.02,16.15,359.51,18.99,25.37,11.5,15.51,7.28,27.32,0,30.63,38.91,111.39,28.94,237.64,35.45,54.3,25.25,61.5
15.03.2002,10.7,11.3,23.65,5.62,0,7.07,53.6,0,0,12.32,0,11.47,0,12.61,3.32,15.99,154.64,5.71,20.24,0.8,30,0,15.24,20.07,0,18,0,18.4,6.78,36.75,16.8,0,6.11,0,0,24.91,0,0,0,21.79,14.7,0,0,15.73,13.01,68.75,60.8,44.65,23.17,9.3,6.19,26.65,4.46,0,14.12,6.4,37.33,18,4.35,8.09,8,0,9.22,0,0,12.2,29.14,7.92,8.79,23.52,42.54,16.31,38.42,0,6.53,0,77.76,46.91,15.34,352.89,21.58,23.55,11.29,15.51,7.31,26.36,0,29.36,35.97,154.86,28.51,248.16,35.02,53.76,25.41,60.83
22.03.2002,10.46,11.61,24.11,6.05,0,7.07,47.59,0,0,12.58,0,11.4,0,13.36,3.32,16.19,155.5,5.8,22.56,0.81,33.85,33.59,15.24,22.53,0,19,0,17.78,6.73,42.59,16.4,0,6.49,0,0,26.1,0,0,0,23.79,15.2,0,0,16.02,13.08,63.88,64.25,46.82,23.47,9.34,6.31,27.35,4.73,0,15.17,6.55,36.17,18.7,5.54,8.45,8.17,0,9.27,0,0,12.67,29.14,8.98,9.14,26.4,42.88,17.08,40.53,0,6.55,0,82.18,48.78,16.95,346.28,25.57,26.18,11.5,15.26,7.48,27.02,0,30.29,38.91,167.36,29.38,243.07,34.59,53.76,25.57,63.85
29.03.2002,10.1,11.51,23.47,5.94,0,7.03,49.51,0,0,12.14,0,11.33,0,13.18,3.52,15.7,149.52,6.12,25.22,0.86,41.22,43.55,15.24,24.02,0,19.1,0,18.23,7.27,37.44,15.73,0,6.93,0,0,25.31,0,0,0,22.45,14.3,0,0,15.91,13.27,64.12,64.25,44.4,23.61,10.13,6.15,27,4.84,0,14.12,6.19,36.6,18.6,5.3,8.39,8.54,0,9.63,0,0,12.82,30.67,8.6,9.06,26.18,42.54,16.73,40.92,0,6.63,0,83.45,48.34,16.76,339.66,26.87,24.63,11.15,15.43,7.65,26.22,0,28.3,38.59,158.12,29.29,257.67,35.8,54.3,25.41,64.86
12.04.2002,10.04,13.47,24.3,6.2,0,6.95,49.51,0,0,12.14,0,10.27,0,13.08,3.72,15.31,139.26,6.3,27.3,0.96,43.74,53.82,14.25,26.26,0,21,0,19.18,8.09,36.41,14.94,0,8.15,0,0,27.68,0,0,0,22.45,14.15,0,0,16.49,13.66,71.43,65.98,42.96,25.59,11.47,6.67,27.24,5.37,0,13.63,6.06,39.14,19.5,4.99,8.39,9.44,0,9.99,0,0,12.77,30.74,9.65,9.1,25.44,41.55,16.66,41.7,0,6.83,0,77.44,47.02,16.57,313.19,29.27,23.21,11.29,15.76,7.51,26.44,0,29.43,40.55,157.58,29.89,248.16,35.8,53.76,24.47,61.84
19.04.2002,10.82,14.08,26.42,6.92,0,7.38,46.39,0,0,12.8,0,11.61,0,14.4,3.83,15.41,140.97,7.09,26.2,1.23,44.24,51.35,15.54,24.13,0,21.9,0,18.51,10.17,34.28,17,0,9.24,0,0,26.1,28.42,0,0,22.67,15.2,0,0,19.88,15.68,66.31,62.1,41.99,28.82,13.73,7.94,27.59,5.96,0,13.23,6.6,38.78,21.4,5.35,9.15,11.01,0,12.94,0,0,13.48,32.2,10.71,10.38,28.18,41.88,18.69,44.03,0,7.69,0,77.76,48.56,18.23,330.84,26.49,23.21,11.97,17.9,8.05,27.46,0,29.63,41.86,149.43,32.31,237.3,39.38,55.92,24.78,63.52
26.04.2002,11.78,14.03,25.41,7.36,0,7.5,45.66,0,0,13.55,0,12.36,0,14.4,4.62,15.9,142.68,7.96,26.08,1.5,43.74,46.01,15.34,24.24,0,23,0,18.12,10.12,33.66,16.33,0,9.85,0,0,25.7,28.42,0,0,21.92,14.9,0,0,19.36,15.1,65.83,59.94,41.03,27.5,13.25,8.1,28.23,5.55,0,13.26,6.96,39.14,21.4,5.25,10.16,10.45,0,12.89,0,0,13.24,30.52,10.2,10.11,26.4,41.55,17.43,42.48,0,6.98,0,76.5,47.46,16.86,303.27,24.09,21.73,11.36,17.57,7.85,27.46,0,28.43,39.9,149.97,31.1,215.57,38.31,54.84,24.15,61.84
03.05.2002,11.3,13.07,27.62,6.63,0,7.26,43.26,0,0,12.54,0,11.61,0,14.31,3.97,15.51,134.99,6.9,24.46,1.26,35.86,46.01,14.75,24.66,0,21,0,15.78,9.46,32.15,15.6,0,10.53,0,0,23.92,36.94,0,0,22.14,13.55,0,0,19.36,14.25,61.19,58.22,40.78,30.07,13.39,7.85,26.65,5.09,0,12.3,7.45,36.6,22.5,4.92,9.51,10.9,0,12.94,0,10.8,13.95,30.09,9.23,9.64,22.26,41.55,16.73,40.92,0,7.13,0,68.91,45.14,15.72,263.57,23.62,20.86,10.47,16.91,8.11,24.02,0,25.57,41.2,155.4,30.84,212.86,36.88,55.38,24.15,57.13
10.05.2002,13.34,13.17,27.44,6.92,0,7.23,40.62,0,0,12.45,0,12.5,0,14.59,4.09,15.41,131.58,6.07,24.99,1.18,36.03,44.37,15.04,24.77,0,20.8,0,17.12,8.97,30.36,15.14,0,10.09,0,0,22.74,40.92,0,0,21.21,13.35,0,0,20.29,13.6,56.07,53.47,40.78,30.43,12.36,7.7,26.01,4.82,0,12.61,7.74,37.33,22.5,4.75,9.27,11.01,0,12.38,0,10.94,14.09,30.6,8.94,9.02,21.6,42.21,16.17,38.81,0,7.01,0,65.43,46.25,14.91,282.31,22.05,20.99,11.09,17.16,7.62,22.34,11.62,26.5,39.57,165.18,29.29,199.96,35.37,55.38,24.94,58.14
17.05.2002,13.46,13.07,27.07,6.74,0,7.11,41.82,0,0,12.4,0,12.36,0,13.08,3.68,15.51,137.56,6.07,23.71,1.09,36.03,38.62,14.84,24.34,0,19.9,0,16.78,8.53,29.33,15.27,0,9.17,0,0,22.34,35.52,0,0,21.21,12.95,0,0,20.06,13.53,57.78,52.61,41.03,29.33,11.95,7.64,25.54,4.78,0,12.42,8,33.92,21.5,4.73,9.57,10.84,0,11.82,0,10.54,14.14,30.16,8.72,8.9,22.93,42.21,16.1,37.96,0,6.9,0,66.06,44.92,15.39,279.01,20.57,22.61,11.09,17.08,7.59,23.29,11.62,27.7,39.24,157.58,29.63,179.93,36.16,54.3,26.04,60.15
24.05.2002,14.48,13.27,27.44,6.67,0,7.19,41.1,0,0,12.23,0,12.22,0,11.53,3.58,15.21,135.85,5.84,22.38,1,36.36,37.39,16.13,21.57,0,18.7,0,17.62,8.04,28.1,16.73,0,9.07,0,0,22.93,37.23,0,0,21.21,12.8,0,0,20.18,13.34,61.44,51.75,42.71,30.36,11.6,7.22,24.49,4.57,0,12.49,8.07,32.25,21.4,4.83,8.71,10.39,0,12.18,0,10.34,13.86,29.36,8.39,8.44,23.08,41.88,15.33,36.79,0,6.75,0,67.33,44.7,14.58,266.88,18.9,22.81,11.77,17.08,7.71,23.8,11.21,29.23,40.22,155.4,29.98,185.02,35.52,54.84,26.99,58.81
31.05.2002,13.94,13.88,29.47,6.81,0,6.76,42.3,0,0,12.18,0,12.22,0,12.05,3.64,15.21,133.28,5.66,21.11,1.1,34.19,35.33,12.22,21.46,0,18.9,0,17.45,8.37,26.93,17.53,0,9.55,0,0,23.72,34.53,0,0,21.34,13.75,0,0,20.47,13.4,58.03,54.34,41.75,30.8,12.43,7.28,24.14,4.57,0,12.15,9.26,32.33,22.8,5.32,8.56,11.07,0,13.3,0,10.54,14.66,30.45,8.43,8.51,22.04,43.21,16.03,35.31,0,6.83,0,65.12,47.02,13.12,249.23,19.64,22.34,11.36,17.65,7.88,23.8,11.74,28.96,39.24,148.34,30.15,166.35,34.44,57.53,24.47,57.47
07.06.2002,13.16,13.98,29.56,6.78,0,6.76,43.74,0,0,12.23,0,11.81,0,12.05,3.81,15.21,122.6,5.71,20.94,1.16,33.01,36.98,12.67,20.82,0,18.8,0,17,7.93,26.38,18.86,0,9.85,0,0,22.14,32.26,0,0,20.76,13,0,0,18.6,13.14,58.03,50.02,40.54,28.16,12.02,7.94,22.33,4.34,0,11.9,9.1,29.57,22.3,5.44,8.68,10.67,0,12.99,0,10.14,13.62,30.52,8.81,8.32,19.3,42.88,15.54,31.88,0,6.63,0,63.22,49.23,12.5,250.33,17.97,21.87,12.32,16.99,7.51,23.43,11.1,28.63,39.24,145.62,29.81,156.5,34.37,56.99,24.47,50.41
14.06.2002,13.82,13.98,33.07,6.88,0,6.72,46.39,0,0,12.58,0,11.95,0,13.08,4.03,15.7,124.74,6.53,24.23,1.38,34.52,35.99,12.82,19.75,0,19.7,0,17,9.08,27.2,17.66,0,9.78,0,0,22.93,27.57,0,0,21.34,13.35,0,0,19.01,13.34,54.61,49.16,41.27,28.16,13.32,8.31,21.28,4.91,0,11.96,8.82,29.07,25.3,5.75,9.1,10.78,0,14.12,0,10.54,13.81,30.01,9.69,8.75,19.67,42.88,16.24,33.75,0,6.96,0,57.21,48.56,12.5,245.92,15.47,22.54,12.18,19.06,7.65,24.17,11.96,28.83,36.95,147.25,29.03,151.75,36.16,57.53,24.47,50.75
21.06.2002,12.98,12.62,34,6.63,0,6.68,45.66,0,0,13.46,0,11.61,0,13.18,4.29,16.19,117.05,7.78,22.85,1.25,33.52,35.99,12.87,18.04,0,19.3,0,16.45,8.81,27.68,17.59,0,9.48,0,0,20.36,29.56,0,0,18.9,12.7,0,0,18.89,13.14,46.57,44.11,39.58,27.21,12.56,8.37,19.76,4.78,0,11.71,9.16,25.8,28.5,5.75,9.33,10.73,0,14.52,0,9.91,13.29,29.58,10.16,8.55,18.49,41.88,16.87,32.03,0,6.78,0,56.58,47.9,11.51,231.59,14.45,22.54,12.52,19.63,7.62,23.58,11.62,28.83,34.34,134.21,27.47,157.52,36.16,56.99,24.47,51.01
