,2615 TT Equity,1802 TT Equity,2204 TT Equity,2606 TT Equity,3189 TT Equity,2609 TT Equity,2451 TT Equity,3682 TT Equity,5264 TT Equity,1434 TT Equity,3673 TT Equity,2603 TT Equity,2227 TT Equity,9933 TT Equity,1227 TT Equity,2915 TT Equity,2379 TT Equity,9945 TT Equity,2448 TT Equity,2542 TT Equity,5347 TT Equity,2498 TT Equity,2610 TT Equity,6121 TT Equity,8299 TT Equity,1722 TT Equity,2049 TT Equity,2356 TT Equity,2834 TT Equity,2353 TT Equity,2618 TT Equity,4958 TT Equity,9914 TT Equity,6239 TT Equity,3231 TT Equity,2385 TT Equity,6176 TT Equity,3702 TT Equity,3474 TT Equity,2347 TT Equity,1504 TT Equity,3658 TT Equity,5871 TT Equity,9910 TT Equity,2888 TT Equity,3034 TT Equity,2301 TT Equity,2395 TT Equity,9921 TT Equity,2801 TT Equity,1102 TT Equity,2324 TT Equity,2823 TT Equity,6505 TT Equity,2354 TT Equity,2105 TT Equity,2409 TT Equity,2207 TT Equity,1476 TT Equity,1402 TT Equity,2887 TT Equity,3481 TT Equity,2880 TT Equity,5880 TT Equity,2890 TT Equity,9904 TT Equity,4904 TT Equity,1101 TT Equity,2885 TT Equity,2325 TT Equity,2912 TT Equity,2883 TT Equity,2303 TT Equity,2892 TT Equity,2884 TT Equity,4938 TT Equity,2382 TT Equity,3045 TT Equity,2311 TT Equity,2357 TT Equity,2474 TT Equity,1326 TT Equity,2002 TT Equity,2886 TT Equity,1216 TT Equity,1303 TT Equity,2891 TT Equity,1301 TT Equity,2308 TT Equity,3008 TT Equity,2881 TT Equity,2454 TT Equity,2882 TT Equity,2412 TT Equity,2317 TT Equity,2330 TT Equity
02.01.2002,7.51,11.2,21.16,5.8,0,6.25,30.52,0,0,9.54,0,8.93,0,9.88,3,17.26,143.54,5.71,13.88,0.58,24.8,0,13.16,20.82,0,18,0,16.28,6.95,35.03,12.75,0,6.05,0,0,20.17,0,0,0,20.94,11.25,0,0,15.44,0,45.1,39.85,42.47,24.79,9.96,6.22,27.59,4.87,0,11.47,6.11,27.11,14.8,4.19,7.77,0,0,10.5,0,0,13.86,34.17,7.33,0,23,46.86,16.45,38.89,0,0,0,74.91,50.33,15.34,359.51,11.77,16.89,9.48,0,7.34,20.94,0,22.84,38.59,0,26.18,202.67,39.74,56.45,25.73,57.8
09.01.2002,7.45,11.25,21.62,5.51,0,6.25,37.73,0,0,10.82,0,9.06,0,10.12,3.1,16.97,139.26,5.43,14.86,0.62,27.32,0,13.36,23.28,0,21.2,0,17.62,7.11,40.19,14.67,0,6.66,0,0,21.15,0,0,0,22.67,11.4,0,0,16.38,0,47.79,46.14,46.33,23.47,9.85,6.31,30.39,5,0,12.33,5.98,27.98,15.4,4.21,8.18,0,0,10.34,0,0,13.38,33.58,7.59,0,25.22,44.54,16.59,39.36,0,0,0,89.77,51.21,15.77,381.57,13.06,18.44,9.55,0,7.22,22.12,0,23.44,43.49,0,28.08,202.33,37.59,54.84,29.04,61.5
16.01.2002,7.3,10.5,21.06,5.4,0,6.09,32.45,0,0,10.82,0,8.76,0,9.98,3.02,16.97,140.12,5.25,14.92,0.55,25.3,0,13.56,21.78,0,19,0,14.77,6.73,36.41,15.4,0,6.56,0,0,19.97,0,0,0,20.45,11.25,0,0,15.03,0,43.88,47.87,42.47,22.37,9.61,5.79,28.52,4.91,0,10.82,5.55,29.86,14.85,4.12,7.29,0,0,9.83,0,0,12.3,33.44,7.04,0,20.63,43.87,15.54,33.51,0,0,0,85.35,50.66,13.68,352.89,12.69,16.69,9.51,0,6.96,19.85,0,23.3,37.28,0,29.46,222.02,35.45,52.9,27.62,57.13
23.01.2002,7.36,10.65,21.9,5.4,0,6.13,37.49,0,0,11.17,0,9,0,10.35,2.98,16.38,149.52,5.06,16.77,0.55,24.21,0,13.81,24.13,0,19,0,17.56,6.73,37.78,14.74,0,6.66,0,0,21.95,0,0,0,21.16,12.45,0,0,15.26,0,56.07,51.75,46.58,22.59,9.54,5.61,29.22,5.21,0,12.12,5.57,35.23,15,4.12,7.38,0,0,9.94,0,0,12.77,32.78,7.17,0,21.45,43.21,15.68,37.72,0,6.63,0,86.61,50.99,14.39,374.95,13.99,17.9,9.89,0,7.48,20.58,0,22.77,41.86,0,30.84,237.64,36.16,54.3,29.04,59.48
30.01.2002,8.98,10.45,21.71,5.65,0,6.44,42.54,0,0,11.35,0,9.51,0,11.25,3,15.8,146.1,4.88,16.77,0.56,25.14,0,13.51,23.6,0,18.9,0,18.12,6.78,41.56,14.74,0,6.52,0,0,27.09,0,0,0,21.65,11.95,0,0,15.32,0,54.86,52.18,49.23,22.59,9.51,5.4,28.58,5.19,0,13.19,6.29,36.6,15.4,4.16,7.83,0,0,9.73,0,0,13.15,29.5,7.12,9.76,19.82,39.88,15.47,35.07,0,6.75,0,87.24,48.9,13.49,372.74,15.29,21.2,10.74,16.75,7.16,22.92,0,27.1,41.86,0,30.76,231.53,37.59,53.76,27.78,58.47
06.02.2002,10.22,10.45,21.99,5.69,0,6.91,46.87,0,0,12.32,0,10.3,0,11.39,3.08,15.7,161.48,4.88,19.66,0.58,24.38,0,13.71,22.63,0,18.8,0,19.01,6.73,38.81,15.27,0,5.77,0,0,26.49,0,0,0,22.23,15.1,0,0,15.21,0,60.95,56.49,49.47,22.73,9.58,5.58,29.22,5.05,0,13.53,6.34,41.68,16.1,4.21,8.18,0,0,9.89,0,0,12.96,31.33,7.17,9.56,20.19,40.88,15.19,35.23,0,6.93,0,85.98,48.01,13.16,397,14.91,23.42,12.18,16.83,7.42,23.8,0,29.16,40.22,0,31.19,241.03,37.24,54.3,29.04,58.14
20.02.2002,10.82,10.24,21.9,5.65,0,6.72,54.08,0,0,12.01,0,11.4,0,11.95,3.02,15.51,151.23,4.88,20.88,0.64,25.3,0,14.25,21.14,0,18.5,0,16.61,6.67,35.72,16.27,0,5.71,0,0,24.71,0,0,0,20.94,14.55,0,0,15.38,14.05,60.46,49.59,47.78,22.22,9.34,5.46,27.12,4.62,0,12.52,5.96,40.59,16.2,4.19,7.56,8.48,0,9.43,0,0,12.25,30.96,7.04,9.02,19.75,40.55,14.98,32.5,0,6.85,0,76.81,48.01,12.78,372.74,14.08,21.47,11.43,15.76,7.05,22.78,0,27.5,37.93,0,29.29,232.55,36.16,54.3,26.83,55.11
27.02.2002,10.52,10.45,22.73,5.58,0,7.15,48.07,0,0,11.88,0,12.15,0,11.48,3,15.31,153.79,4.88,18.04,0.65,23.46,0,15.83,19.65,0,17.2,0,17,6.51,35.72,16.73,0,5.43,0,0,24.91,0,0,0,20.05,14,0,0,15.5,13.01,68.75,49.59,43.92,22.22,8.86,5.37,26.89,4.46,0,12.49,6.19,43.13,16.5,4.14,7.68,8.28,0,9.17,0,0,12.06,29.8,6.74,8.24,19.9,42.88,14.84,34.84,0,6.65,0,76.5,46.36,13.3,374.95,14.36,23.89,12.59,15.18,6.99,23.36,0,29.36,34.99,0,29.38,231.19,36.52,53.55,25.25,55.11
06.03.2002,10.7,10.75,23.28,5.58,0,7.5,52.15,0,0,12.4,0,12.43,0,11.29,3.12,15.31,152.08,5.2,19.2,0.62,27.15,0,15.93,21.14,0,17.8,0,18.45,6.51,38.47,16.86,0,5.5,0,0,26.3,0,0,0,21.56,14.7,0,0,15.79,13.14,72.9,53.47,46.33,22.37,9.06,5.64,28.58,4.69,0,14.71,6.32,43.85,17.5,4.21,8.03,8.43,0,9.33,0,0,12.53,30.09,7.33,8.71,24.26,42.88,15.47,41.31,0,6.45,0,78.71,48.34,15.25,370.54,17.14,25.7,11.91,15.59,7.28,27.24,0,32.29,39.9,111.39,29.46,246.12,35.45,54.3,26.99,63.52
13.03.2002,11.12,12.01,23.84,5.8,0,7.23,58.16,0,0,13.28,0,11.33,0,12,3.48,15.99,156.35,5.61,21.86,0.7,29.33,0,15.54,20.07,0,19.2,0,18.01,6.67,36.75,16.6,0,6.32,0,0,25.11,0,0,0,22.67,15.5,0,0,16.14,13.08,69.24,55.2,44.89,23.32,9.41,6.34,26.77,4.62,0,14.61,6.63,37.33,18.9,4.49,8.77,8.03,0,9.43,0,0,12.82,29.21,8.26,8.83,23.96,41.88,16.52,40.14,0,6.58,0,78.39,47.13,15.58,363.92,21.21,25.64,11.63,15.67,7.68,27.61,0,30.16,36.95,135.84,29.12,248.5,35.8,54.3,25.89,63.18
