Date;A2A.MI;ANIM.MI;ATL.MI;AZM.MI;BMED.MI;BMPS.MI;BP.MI;BPE.MI;BZU.MI;CNHI.MI;CPR.MI;ENEL.MI;ENI.MI;EXO.MI;FBK.MI;FCA.MI;FNC.MI;G.MI;ISP.MI;IT.MI;LUX.MI;MB.MI;MONC.MI;MS.MI;PMI.MI;PRY.MI;PST.MI;RACE.SW;SFER.MI;SPM.MI;SRG.MI;STM.MI;TEN.MI;TIT.MI;TRN.MI;UBI.MI;UCG.MI;UNI.MI;US.MI;YNAP.MI
07.01.2000;3,86;0,00;0,00;0,00;11,10;0,04;6,56;12,11;10,88;0,00;0,00;0,00;0,00;9,41;0,00;8,87;0,00;30,02;3,61;0,00;0,00;9,52;0,00;2,45;14,27;0,00;0,00;0,00;0,00;0,46;0,00;126,90;0,00;15,83;0,00;0,00;2,86;0,67;0,15;0,00
14.01.2000;3,95;0,00;0,00;0,00;11,09;0,04;6,37;11,73;10,20;0,00;0,00;0,00;0,00;9,33;0,00;8,45;0,00;30,85;3,51;0,00;0,00;9,39;0,00;2,55;16,30;0,00;0,00;0,00;0,00;0,43;0,00;152,00;0,00;13,43;0,00;0,00;2,67;0,66;0,14;0,00
21.01.2000;3,78;0,00;0,00;0,00;11,68;0,04;6,53;13,62;10,09;0,00;0,00;0,00;0,00;8,68;0,00;7,97;0,00;30,25;3,41;0,00;0,00;8,96;0,00;2,49;16,08;0,00;0,00;0,00;0,00;0,45;0,00;166,40;0,00;14,87;0,00;0,00;2,55;0,70;0,15;0,00
28.01.2000;4,37;0,00;0,00;0,00;11,43;0,04;6,57;14,22;9,98;0,00;0,00;0,00;0,00;8,19;0,00;8,06;0,00;29,10;3,15;0,00;0,00;8,46;0,00;2,24;16,65;0,00;0,00;0,00;0,00;0,44;0,00;173,00;0,00;13,09;0,00;0,00;2,50;0,72;0,15;0,00
04.02.2000;4,71;0,00;0,00;0,00;12,04;0,04;6,56;14,54;9,84;0,00;0,00;0,00;0,00;7,80;0,00;8,51;0,00;28,99;3,25;0,00;0,00;9,30;0,00;2,17;19,00;0,00;0,00;0,00;0,00;0,43;0,00;207,00;0,00;13,02;0,00;0,00;2,43;0,69;0,14;0,00
11.02.2000;5,73;0,00;0,00;0,00;12,18;0,04;6,61;16,66;8,81;0,00;0,00;0,00;0,00;8,33;0,00;8,48;0,00;29,80;3,44;0,00;0,00;9,99;0,00;2,36;19,96;0,00;0,00;0,00;0,00;0,42;0,00;213,50;0,00;15,58;0,00;0,00;2,52;0,67;0,14;0,00
18.02.2000;5,95;0,00;0,00;0,00;13,66;0,04;6,54;15,14;8,70;0,00;0,00;0,00;0,00;9,00;0,00;9,22;0,00;30,10;3,36;0,00;0,00;9,38;0,00;2,16;22,00;0,00;0,00;0,00;0,00;0,48;0,00;194,40;0,00;15,80;0,00;0,00;2,36;0,66;0,14;0,00
25.02.2000;5,92;0,00;0,00;0,00;15,89;0,04;6,43;14,96;8,62;0,00;0,00;0,00;0,00;11,19;0,00;8,67;0,00;29,10;3,35;0,00;0,00;8,96;0,00;2,22;25,71;0,00;0,00;0,00;0,00;0,48;0,00;207,00;0,00;17,24;0,00;0,00;2,32;0,70;0,14;0,00
03.03.2000;6,35;0,00;0,00;0,00;17,31;0,04;6,41;13,62;8,58;0,00;0,00;0,00;0,00;11,00;0,00;8,92;0,00;28,08;3,83;0,00;0,00;9,43;0,00;2,30;23,80;0,00;0,00;0,00;0,00;0,58;0,00;218,00;0,00;19,00;0,00;0,00;2,49;0,68;0,14;0,00
10.03.2000;7,08;0,00;0,00;0,00;19,18;0,04;6,43;14,22;8,36;0,00;0,00;0,00;0,00;13,00;0,00;9,84;0,00;28,84;3,93;0,00;0,00;9,20;0,00;2,16;25,99;0,00;0,00;0,00;0,00;0,62;0,00;221,10;0,00;18,00;0,00;0,00;2,57;0,68;0,13;0,00
