Date;ABE.MC;ACS.MC;ACX.MC;AENA.MC;AMS.MC;ANA.MC;BBVA.MC;BKIA.MC;BKT.MC;CABK.MC;DIA.MC;ELE.MC;ENG.MC;FCC.MC;FER.MC;GAM.MC;GAS.MC;GRF.MC;IAG.MC;IBE.MC;IDR.MC;ITX.MC;MAP.MC;MRL.MC;MTS.MC;OHL.MC;POP.MC;REE.MC;REP.MC;SAB.MC;SAN.MC;SCYR.MC;TEF.MC;TL5.MC;TRE.MC;ADS.DE;ALV.DE;BAS.DE;BAYN.DE;BEI.DE;BMW.DE;CBK.DE;CON.DE;DAI.DE;DB1.DE;DBK.DE;DPW.DE;DTE.DE;EOAN.DE;FME.DE;FRE.DE;HEI.DE;HEN3.DE;IFX.DE;LHA.DE;LIN.DE;MRK.DE;MUV2.DE;PSM.DE;RWE.DE;SAP.DE;SIE.DE;TKA.DE;VNA.DE;VOW3.DE;A2A.MI;ANIM.MI;ATL.MI;AZM.MI;BMED.MI;BMPS.MI;BP.MI;BPE.MI;BZU.MI;CNHI.MI;CPR.MI;ENEL.MI;ENI.MI;EXO.MI;FBK.MI;FCA.MI;FNC.MI;G.MI;ISP.MI;IT.MI;LUX.MI;MB.MI;MONC.MI;MS.MI;PMI.MI;PRY.MI;PST.MI;RACE.SW;SFER.MI;SPM.MI;SRG.MI;STM.MI;TEN.MI;TIT.MI;TRN.MI;UBI.MI;UCG.MI;UNI.MI;US.MI;GZE1R.RG;LSC1R.RG;LTT1R.RG;OLF1R.RG;RKB1R.RG;RAR1R.RG;RER1R.RG;RJR1R.RG;SAF1R.RG;SMA1R.RG;SCM1R.RG;TMA1R.RG;TKB1R.RG;VSS1R.RG;VEF1R.RG;RRR1R.RG;LJM1R.RG;BRV1R.RG;LOK1R.RG;DPK1R.RG;GRD1R.RG;GRZ1R.RG;KA11R.RG;KCM1R.RG;AALB.AS;ABN.AS;AGN.AS;AH.AS;AKZA.AS;ASML.AS;ATC.AS;BOKA.AS;DSM.AS;GTO.AS;HEIA.AS;INGA.AS;KPN.AS;MT.AS;NN.AS;PHIA.AS;RAND.AS;RDSA.AS;REN.AS;SBMO.AS;TNTE.AS;UL.AS;UNA.AS;VPK.AS;WKL.AS;ASCO.AT;AEGN.AT;ALPHA.AT;IATR.AT;EYDAP.AT;OTOEL.AT;BOC.AT;CENTR.AT;EEE.AT;SOLK.AT;CRETA.AT;EUROB.AT;ELLAKTOR.AT;ANEMOS.AT;ELTON.AT;EUPIC.AT;EUROC.AT;KYRM.AT;FLEXO.AT;FFGRP.AT;FOYRK.AT;GEKTERNA.AT;GRIV.AT;XAKO.AT;EXAE.AT;ELPE.AT;HTO.AT;HYGEIA.AT;IASO.AT;IKTIN.AT;INTRK.AT;INLOT.AT;AVAX.AT;BELA.AT;KLEM.AT;KORRES.AT;KRI.AT;LAMDA.AT;LYK.AT;MIG.AT;MLS.AT;MOH.AT;MYTIL.AT;ETE.AT;OPAP.AT;PETRO.AT;TPEIR.AT;PPA.AT;PPC.AT;QUEST.AT;KAMP.AT;SAR.AT;OLYMP.AT;TENERGY.AT;OLTH.AT;EYAPS.AT;PLAT.AT;TITK.AT;VIO.AT;AVG1L.VS;APG1L.VS;SAB1L.VS;GRG1L.VS;GUB1L.VS;IVL1L.VS;KNF1L.VS;LNA1L.VS;LNS1L.VS;PTR1L.VS;PZV1L.VS;RSU1L.VS;TEO1L.VS;UTR1L.VS;VLP1L.VS;VBL1L.VS;VDG1L.VS;ZMP1L.VS;ALTR.LS;BCP.LS;BPI.LS;COR.LS;CTT.LS;EDP.LS;EDPR.LS;EGL.LS;GALP.LS;JMT.LS;MPIO.LS;NOS.LS;PHR.LS;PTI.LS;RENE.LS;SEM.LS;SON.LS;SONC.LS;AMEAS.HE;CGCBV.HE;ELI1V.HE;FUM1V.HE;HUH1V.HE;KCR1V.HE;KESBV.HE
07.01.2000;17,43;0,00;41,10;0,00;0,00;52,40;13,29;0,00;67,68;0,00;0,00;19,31;0,00;13,84;0,00;0,00;0,00;0,00;0,00;106,40;0,00;0,00;0,00;0,00;0,00;5,16;0,00;6,00;21,56;0,00;11,66;7,45;25,11;0,00;0,00;72,00;341,90;50,22;44,15;21,33;27,65;29,29;18,42;73,00;0,00;73,98;0,00;64,74;49,50;26,00;47,17;49,35;0,00;0,00;24,05;57,57;29,75;282,99;0,00;0,00;41,26;114,01;33,55;0,00;0,00;3,86;0,00;0,00;0,00;11,10;0,04;6,56;12,11;10,88;0,00;0,00;0,00;0,00;9,41;0,00;8,87;0,00;30,02;3,61;0,00;0,00;9,52;0,00;2,45;14,27;0,00;0,00;0,00;0,00;0,46;0,00;126,90;0,00;15,83;0,00;0,00;2,86;0,67;0,15;1,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,43;0,00;0,00;0,00;0,00;0,15;0,46;0,00;0,00;0,00;0,39;20,90;0,00;6,66;0,00;44,30;122,60;0,00;0,00;31,90;0,00;0,00;0,00;54,05;0,00;0,00;0,00;48,00;0,00;12,55;0,00;0,00;43,71;0,00;24,00;0,00;0,00;0,00;68,39;49,36;9,37;24,70;0,00;72,00;0,00;14,96;0,00;0,40;37,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,36;0,00;15,37;23,08;0,00;0,00;0,00;43,02;101,15;44,06;0,00;24,68;0,00;0,00;0,00;36,95;0,00;0,00;0,00;32,27;3,85;0,00;0,00;11,77;0,00;0,00;24,93;0,00;0,00;0,00;0,00;0,00;0,00;13,35;51,94;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,95;4,04;9,35;0,00;16,42;0,00;0,00;0,00;23,60;0,00;0,00;10,60;7,25;0,00;17,48;0,00;0,00;23,00;0,00;32,10;4,83;33,51;9,25;0,00
14.01.2000;17,38;0,00;40,20;0,00;0,00;48,92;12,60;0,00;90,71;0,00;0,00;18,74;0,00;13,38;0,00;0,00;0,00;0,00;0,00;101,12;0,00;0,00;0,00;0,00;0,00;5,15;0,00;6,08;20,94;0,00;11,26;6,56;24,74;0,00;0,00;67,35;374,99;47,87;43,95;21,33;27,40;29,17;18,18;75,30;0,00;73,19;0,00;71,30;49,00;25,83;47,67;51,25;0,00;0,00;22,87;55,30;30,10;286,51;0,00;0,00;41,25;131,50;30,80;0,00;0,00;3,95;0,00;0,00;0,00;11,09;0,04;6,37;11,73;10,20;0,00;0,00;0,00;0,00;9,33;0,00;8,45;0,00;30,85;3,51;0,00;0,00;9,39;0,00;2,55;16,30;0,00;0,00;0,00;0,00;0,43;0,00;152,00;0,00;13,43;0,00;0,00;2,67;0,66;0,14;1,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,44;0,00;0,00;0,00;0,00;0,14;0,43;0,00;0,00;0,00;0,38;21,35;0,00;6,66;0,00;41,40;125,50;0,00;0,00;34,00;0,00;0,00;0,00;53,99;0,00;0,00;0,00;42,65;0,00;12,39;0,00;0,00;43,70;0,00;22,20;0,00;0,00;0,00;67,99;47,26;7,27;27,21;0,00;71,00;0,00;15,24;0,00;0,40;38,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,90;0,00;14,62;23,37;0,00;0,00;0,00;42,42;80,92;43,96;0,00;25,46;0,00;0,00;0,00;35,77;0,00;0,00;0,00;30,67;3,77;0,00;0,00;11,62;0,00;0,00;28,74;0,00;0,00;0,00;0,00;0,00;0,00;12,06;49,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,12;4,29;9,38;0,00;16,20;0,00;0,00;0,00;23,65;0,00;0,00;12,18;7,85;0,00;17,19;0,00;0,00;23,80;0,00;35,39;4,81;32,70;8,88;0,00
21.01.2000;16,92;0,00;39,75;0,00;0,00;47,30;13,29;0,00;98,18;0,00;0,00;19,21;0,00;12,41;0,00;0,00;0,00;0,00;0,00;97,20;0,00;0,00;0,00;0,00;0,00;4,63;0,00;5,98;21,82;0,00;10,29;6,19;22,59;0,00;0,00;65,55;317,50;47,18;44,50;21,88;26,20;28,86;17,02;71,09;0,00;71,81;0,00;66,85;45,00;26,68;48,00;50,18;0,00;0,00;21,50;51,05;31,00;290,00;0,00;0,00;45,02;132,76;29,00;0,00;0,00;3,78;0,00;0,00;0,00;11,68;0,04;6,53;13,62;10,09;0,00;0,00;0,00;0,00;8,68;0,00;7,97;0,00;30,25;3,41;0,00;0,00;8,96;0,00;2,49;16,08;0,00;0,00;0,00;0,00;0,45;0,00;166,40;0,00;14,87;0,00;0,00;2,55;0,70;0,15;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,44;0,00;0,00;0,00;0,00;0,15;0,40;0,00;0,00;0,00;0,37;20,50;0,00;6,29;0,00;48,70;135,60;0,00;0,00;32,79;0,00;0,00;0,00;55,57;0,00;0,00;0,00;40,00;0,00;12,40;0,00;0,00;45,80;0,00;24,90;0,00;0,00;0,00;65,73;45,23;8,44;25,51;0,00;70,00;0,00;15,08;0,00;0,40;35,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,82;0,00;13,61;22,77;0,00;0,00;0,00;40,71;78,91;45,91;0,00;25,35;0,00;0,00;0,00;36,17;0,00;0,00;0,00;29,55;3,81;0,00;0,00;11,44;0,00;0,00;26,24;0,00;0,00;0,00;0,00;0,00;0,00;11,81;50,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,09;4,00;9,17;0,00;16,36;0,00;0,00;0,00;23,19;0,00;0,00;11,70;7,62;0,00;17,10;0,00;0,00;26,85;0,00;38,49;4,45;33,75;9,50;0,00
28.01.2000;18,64;0,00;38,30;0,00;0,00;47,00;12,60;0,00;99,20;0,00;0,00;18,69;0,00;10,74;0,00;0,00;0,00;0,00;0,00;95,20;0,00;0,00;0,00;0,00;0,00;4,70;0,00;5,95;20,55;0,00;10,38;5,70;24,17;0,00;0,00;62,00;340,10;44,05;40,90;22,67;24,25;26,33;16,39;68,15;0,00;68,35;0,00;71,90;41,80;27,84;50,67;50,01;0,00;0,00;21,60;48,42;31,40;283,50;0,00;0,00;48,25;146,42;27,43;0,00;0,00;4,37;0,00;0,00;0,00;11,43;0,04;6,57;14,22;9,98;0,00;0,00;0,00;0,00;8,19;0,00;8,06;0,00;29,10;3,15;0,00;0,00;8,46;0,00;2,24;16,65;0,00;0,00;0,00;0,00;0,44;0,00;173,00;0,00;13,09;0,00;0,00;2,50;0,72;0,15;2,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,45;0,00;0,00;0,00;0,00;0,15;0,37;0,00;0,00;0,00;0,37;19,40;0,00;5,99;0,00;47,93;145,60;0,00;0,00;33,50;0,00;0,00;0,00;53,17;0,00;0,00;0,00;37,70;0,00;11,93;0,00;0,00;42,67;0,00;23,70;0,00;0,00;0,00;63,93;46,04;9,37;28,33;0,00;69,00;0,00;15,15;0,00;0,40;38,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,93;0,00;12,47;23,76;0,00;0,00;0,00;43,67;101,15;44,05;0,00;24,68;0,00;0,00;0,00;36,12;0,00;0,00;0,00;29,35;3,83;0,00;0,00;11,61;0,00;0,00;27,77;0,00;0,00;0,00;0,00;0,00;0,00;10,89;52,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,10;3,88;9,34;0,00;16,28;0,00;0,00;0,00;22,64;0,00;0,00;12,60;7,57;0,00;17,39;0,00;0,00;26,10;0,00;38,00;4,35;34,11;8,58;0,00
04.02.2000;17,88;0,00;39,15;0,00;0,00;46,94;11,93;0,00;97,44;0,00;0,00;19,30;0,00;12,84;0,00;0,00;0,00;0,00;0,00;97,84;0,00;0,00;0,00;0,00;0,00;4,38;0,00;5,82;20,53;0,00;10,74;6,08;25,35;0,00;0,00;57,40;369,40;41,75;42,55;21,33;25,70;26,51;15,52;67,82;0,00;72,15;0,00;85,40;44,59;30,33;56,50;43,31;0,00;0,00;19,75;48,50;31,40;294,75;0,00;0,00;48,42;156,50;28,00;0,00;0,00;4,71;0,00;0,00;0,00;12,04;0,04;6,56;14,54;9,84;0,00;0,00;0,00;0,00;7,80;0,00;8,51;0,00;28,99;3,25;0,00;0,00;9,30;0,00;2,17;19,00;0,00;0,00;0,00;0,00;0,43;0,00;207,00;0,00;13,02;0,00;0,00;2,43;0,69;0,14;2,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,43;0,00;0,00;0,00;0,00;0,14;0,38;0,00;0,00;0,00;0,37;21,90;0,00;5,82;0,00;45,60;130,90;0,00;0,00;39,34;0,00;0,00;0,00;72,45;0,00;0,00;0,00;38,10;0,00;11,97;0,00;0,00;44,50;0,00;23,75;0,00;0,00;0,00;68,39;20,98;7,27;25,67;0,00;68,00;0,00;15,48;0,00;0,40;38,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,66;0,00;13,29;28,55;0,00;0,00;0,00;45,81;80,92;43,96;0,00;25,46;0,00;0,00;0,00;38,08;0,00;0,00;0,00;31,83;4,30;0,00;0,00;12,24;0,00;0,00;27,35;0,00;0,00;0,00;0,00;0,00;0,00;10,33;51,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,06;3,92;9,43;0,00;16,99;0,00;0,00;0,00;22,40;0,00;0,00;13,35;7,65;0,00;17,07;0,00;0,00;24,40;0,00;42,50;4,40;33,70;8,75;0,00
11.02.2000;17,16;0,00;38,26;0,00;0,00;45,39;13,08;0,00;100,96;0,00;0,00;19,00;0,00;12,63;0,00;0,00;0,00;0,00;0,00;96,00;0,00;0,00;0,00;0,00;0,00;4,72;0,00;5,62;21,40;0,00;10,23;5,56;26,19;0,00;0,00;53,05;347,00;43,20;44,50;22,67;25,85;29,49;16,05;65,97;0,00;74,63;0,00;89,10;47,99;26,47;54,17;41,93;0,00;0,00;20,15;45,50;31,00;287,75;0,00;0,00;48,08;166,19;26,75;0,00;0,00;5,73;0,00;0,00;0,00;12,18;0,04;6,61;16,66;8,81;0,00;0,00;0,00;0,00;8,33;0,00;8,48;0,00;29,80;3,44;0,00;0,00;9,99;0,00;2,36;19,96;0,00;0,00;0,00;0,00;0,42;0,00;213,50;0,00;15,58;0,00;0,00;2,52;0,67;0,14;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,44;0,00;0,00;0,00;0,00;0,13;0,36;0,00;0,00;0,00;0,37;21,35;0,00;5,63;0,00;44,30;132,00;0,00;0,00;37,60;0,00;0,00;0,00;73,45;0,00;0,00;0,00;37,95;0,00;14,06;0,00;0,00;44,33;0,00;23,70;0,00;0,00;0,00;71,67;20,74;8,44;24,20;0,00;67,00;0,00;12,57;0,00;0,39;36,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,49;0,00;13,71;28,47;0,00;0,00;0,00;43,80;78,91;45,91;0,00;24,70;0,00;0,00;0,00;36,95;0,00;0,00;0,00;29,19;4,23;0,00;0,00;12,06;0,00;0,00;25,41;0,00;0,00;0,00;0,00;0,00;0,00;12,32;48,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,04;3,88;9,35;0,00;17,30;0,00;0,00;0,00;22,00;0,00;0,00;14,86;7,58;0,00;17,10;0,00;0,00;26,75;0,00;41,50;4,44;33,90;8,75;0,00
18.02.2000;17,16;0,00;36,46;0,00;0,00;43,29;12,93;0,00;97,30;0,00;0,00;19,16;0,00;12,63;0,00;0,00;0,00;0,00;0,00;97,44;0,00;0,00;0,00;0,00;0,00;4,19;0,00;5,76;21,06;0,00;11,15;5,96;28,52;0,00;0,00;54,50;335,80;47,00;43,90;22,67;25,20;31,69;15,86;65,00;0,00;70,10;0,00;89,00;48,00;28,02;54,17;39,87;0,00;0,00;21,45;46,99;27,20;271,70;0,00;0,00;52,64;155,07;26,70;0,00;0,00;5,95;0,00;0,00;0,00;13,66;0,04;6,54;15,14;8,70;0,00;0,00;0,00;0,00;9,00;0,00;9,22;0,00;30,10;3,36;0,00;0,00;9,38;0,00;2,16;22,00;0,00;0,00;0,00;0,00;0,48;0,00;194,40;0,00;15,80;0,00;0,00;2,36;0,66;0,14;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,43;0,00;0,00;0,00;0,00;0,14;0,36;0,00;0,00;0,00;0,37;22,50;0,00;5,59;0,00;41,40;140,30;0,00;0,00;34,00;0,00;0,00;0,00;66,63;0,00;0,00;0,00;37,30;0,00;14,72;0,00;0,00;44,47;0,00;23,70;0,00;0,00;0,00;70,56;21,58;9,37;24,38;0,00;66,00;0,00;12,50;0,00;0,39;34,01;0,00;0,00;0,00;0,00;57,38;0,00;0,00;0,00;0,00;0,00;7,45;0,00;13,01;30,28;0,00;0,00;0,00;48,13;101,15;43,49;0,00;26,29;0,00;0,00;0,00;35,77;0,00;0,00;0,00;27,82;4,21;0,00;0,00;12,22;0,00;0,00;26,98;0,00;0,00;0,00;0,00;0,00;0,00;10,03;49,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,01;3,84;9,99;0,00;18,17;0,00;0,00;0,00;21,80;0,00;0,00;14,44;7,50;0,00;17,10;0,00;0,00;26,50;0,00;49,49;4,30;33,80;8,50;0,00
25.02.2000;18,06;0,00;36,72;0,00;0,00;45,10;13,63;0,00;102,49;0,00;0,00;22,05;0,00;12,84;0,00;0,00;0,00;0,00;0,00;102,40;0,00;0,00;0,00;0,00;0,00;4,83;0,00;9,23;19,58;0,00;11,20;6,22;30,31;0,00;0,00;50,20;341,90;46,90;42,70;23,93;26,90;31,14;16,25;65,80;0,00;77,70;0,00;90,00;48,40;24,43;48,67;39,87;0,00;0,00;23,33;41,50;27,01;265,50;0,00;0,00;54,25;182,18;25,00;0,00;0,00;5,92;0,00;0,00;0,00;15,89;0,04;6,43;14,96;8,62;0,00;0,00;0,00;0,00;11,19;0,00;8,67;0,00;29,10;3,35;0,00;0,00;8,96;0,00;2,22;25,71;0,00;0,00;0,00;0,00;0,48;0,00;207,00;0,00;17,24;0,00;0,00;2,32;0,70;0,14;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,42;0,00;0,00;0,00;0,00;0,13;0,35;0,00;0,00;0,00;0,37;22,10;0,00;5,78;0,00;38,50;138,50;0,00;0,00;30,38;0,00;0,00;0,00;78,79;0,00;0,00;0,00;43,60;0,00;10,90;0,00;0,00;45,00;0,00;24,70;0,00;0,00;0,00;70,32;19,79;9,06;27,21;0,00;65,00;0,00;12,29;0,00;0,38;29,36;0,00;0,00;0,00;0,00;56,52;0,00;0,00;0,00;0,00;0,00;7,35;0,00;12,66;31,42;0,00;0,00;0,00;50,04;107,68;45,98;0,00;27,35;0,00;0,00;0,00;36,68;0,00;0,00;0,00;24,70;4,08;0,00;0,00;12,17;0,00;0,00;24,34;0,00;0,00;0,00;0,00;0,00;0,00;9,53;50,97;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,96;3,81;9,42;0,00;19,89;0,00;0,00;0,00;21,10;0,00;0,00;15,26;7,56;0,00;17,12;0,00;0,00;28,50;0,00;48,00;4,45;32,10;8,38;0,00
03.03.2000;16,75;0,00;38,48;0,00;0,00;44,24;14,91;0,00;92,03;0,00;0,00;22,09;0,00;14,83;0,00;0,00;0,00;0,00;0,00;111,20;0,00;0,00;0,00;0,00;0,00;5,47;0,00;10,52;19,65;0,00;11,27;7,07;29,12;0,00;0,00;54,71;374,99;46,25;42,85;22,93;26,90;30,29;16,25;65,95;0,00;75,73;0,00;102,90;43,32;24,75;46,33;39,43;0,00;0,00;23,20;41,02;29,70;278,00;0,00;0,00;54,43;184,63;24,24;0,00;0,00;6,35;0,00;0,00;0,00;17,31;0,04;6,41;13,62;8,58;0,00;0,00;0,00;0,00;11,00;0,00;8,92;0,00;28,08;3,83;0,00;0,00;9,43;0,00;2,30;23,80;0,00;0,00;0,00;0,00;0,58;0,00;218,00;0,00;19,00;0,00;0,00;2,49;0,68;0,14;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,41;0,00;0,00;0,00;0,00;0,12;0,35;0,00;0,00;0,00;0,38;22,35;0,00;5,56;0,00;41,13;141,70;0,00;0,00;32,50;0,00;0,00;0,00;87,91;0,00;0,00;0,00;41,50;0,00;10,30;0,00;0,00;42,37;0,00;24,95;0,00;0,00;0,00;69,37;16,72;9,54;25,51;0,00;64,00;0,00;10,33;0,00;0,36;25,30;0,00;0,00;0,00;0,00;51,85;0,00;0,00;0,00;0,00;0,00;6,24;0,00;12,76;31,40;0,00;0,00;0,00;48,53;101,85;42,75;0,00;26,37;0,00;0,00;0,00;36,19;0,00;0,00;0,00;22,26;4,08;0,00;0,00;11,69;0,00;0,00;23,10;0,00;0,00;0,00;0,00;0,00;0,00;8,18;45,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,97;3,73;9,90;0,00;20,10;0,00;0,00;0,00;20,60;0,00;0,00;16,83;7,77;0,00;17,17;0,00;0,00;27,20;0,00;53,49;4,44;33,00;8,19;0,00
10.03.2000;17,58;0,00;39,21;0,00;0,00;44,20;15,27;0,00;90,71;0,00;0,00;21,23;0,00;17,66;0,00;0,00;0,00;0,00;0,00;104,72;0,00;0,00;0,00;0,00;0,00;6,24;0,00;10,63;21,45;0,00;11,53;6,53;28,80;0,00;0,00;51,00;357,50;46,65;41,70;20,95;25,70;35,22;16,33;63,00;0,00;65,06;0,00;97,75;48,25;26,30;54,67;37,12;0,00;0,00;22,30;40,30;34,00;308,50;0,00;0,00;54,77;180,72;23,38;0,00;0,00;7,08;0,00;0,00;0,00;19,18;0,04;6,43;14,22;8,36;0,00;0,00;0,00;0,00;13,00;0,00;9,84;0,00;28,84;3,93;0,00;0,00;9,20;0,00;2,16;25,99;0,00;0,00;0,00;0,00;0,62;0,00;221,10;0,00;18,00;0,00;0,00;2,57;0,68;0,13;2,05;0,00;1,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,40;0,00;0,00;0,00;0,00;0,12;0,33;0,00;0,00;0,00;0,36;21,85;0,00;5,35;0,00;39,60;132,95;0,00;0,00;32,45;0,00;0,00;0,00;89,70;0,00;0,00;0,00;37,50;0,00;9,74;0,00;0,00;44,00;0,00;24,60;0,00;0,00;0,00;67,94;16,32;12,91;22,06;0,00;63,00;0,00;10,03;0,00;0,35;27,89;0,00;0,00;0,00;0,00;51,74;0,00;0,00;0,00;0,00;0,00;6,39;0,00;13,38;29,38;0,00;0,00;0,00;47,52;96,67;38,99;0,00;25,76;0,00;0,00;0,00;38,08;0,00;0,00;0,00;25,45;4,02;0,00;43,66;11,58;0,00;0,00;22,34;0,00;0,00;0,00;0,00;0,00;0,00;9,13;42,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,95;3,61;10,05;0,00;19,65;0,00;0,00;0,00;19,47;0,00;0,00;15,30;7,60;0,00;17,10;0,00;0,00;29,80;0,00;57,50;4,46;33,10;8,25;0,00
