Date,AMEAS.HE,CGCBV.HE,ELI1V.HE,FUM1V.HE,HUH1V.HE,KCR1V.HE,KESBV.HE,KNEBV.HE,KRA1V.HE,MEO1V.HE,NDA1V.HE,NESTE.HE,NOKIA.HE,NRE1V.HE,ORNBV.HE,OTE1V.HE,OUT1V.HE,SAMAS.HE,STERV.HE,TELIA1.HE,TIE1V.HE,UPM1V.HE,VALMT.HE,WRT1V.HE,YTY1V.HE
07.01.2000,23.00001,0,32.10,4.83,33.51,9.25,0,0,7.61364,12.2862,0,0,44.475,38.00,0,0,1.2675,35.80,0,0,54.00,37.80,0,0,8.34356
14.01.2000,23.79999,0,35.39,4.81,32.70,8.875,0,0,7.55681,11.3648,0,0,45.80,38.50,0,0,1.26201,37.60,0,0,62.10,38.30,0,0,8.30494
21.01.2000,26.85,0,38.49,4.45,33.75,9.50,0,0,7.38636,11.5183,0,0,47.40,38.80,0,0,1.30868,36.45,0,0,62.00,35.20,0,0,8.18906
28.01.2000,26.10,0,38.00,4.35,34.11,8.575,0,0,7.21591,12.1327,0,0,51.0125,40.25,0,0,1.18971,35.50,0,0,56.00,32.40,0,0,8.8071
04.02.2000,24.39999,0,42.50,4.40,33.70,8.75,0,0,7.21591,11.5183,0,0,48.05,37.00,0,0,1.12565,35.50,0,0,61.66,30.49,0,0,8.49808
11.02.2000,26.75001,0,41.50,4.44,33.90,8.75,0,0,6.81819,10.1745,0,0,50.975,39.00,0,0,1.10277,34.46,0,0,66.00,29.30,0,0,9.15476
18.02.2000,26.49999,0,49.49,4.30,33.80,8.50,0,0,7.05681,10.3281,0,0,53.10,39.11,0,0,1.04328,31.20,0,0,67.00,28.00,0,0,9.232
25.02.2000,28.50,0,48.00,4.45,32.10,8.375,0,0,6.93181,9.13789,0,0,53.9875,39.00,0,0,1.00668,33.25,0,0,69.00,25.24,0,0,8.5367
03.03.2000,27.20001,0,53.49,4.44,33.00,8.1875,0,0,6.98864,9.21468,0,0,49.125,38.45,0,0,1.07074,34.05,0,0,80.50,29.20,0,0,8.88436
10.03.2000,29.79999,0,57.50,4.46,33.10,8.25,0,0,6.82955,10.6583,0,0,56.05,38.00,0,0,1.23455,34.01,0,0,76.49,26.99,0,0,8.8071
17.03.2000,27.99999,0,52.01,4.54,35.70,8.05,0,0,6.42045,10.8272,0,0,53.90,37.00,0,0,1.18971,37.37,0,0,70.90,29.50,0,0,8.49808
24.03.2000,27.45,0,49.59,4.34,35.00,8.25,0,0,6.56819,11.4799,0,0,55.05,37.30,0,0,1.0982,38.50,0,0,69.00,27.90,0,0,8.6526
31.03.2000,27.99999,0,43.75,4.30,35.00,8.55,0,0,6.47727,11.7487,0,0,51.15,36.50,0,0,1.12565,40.00,0,0,62.70,27.80,0,0,8.5367
07.04.2000,28.50,0,43.50,4.04,33.51,9.4875,0,0,6.18181,11.3648,0,0,54.95,36.00,0,0,1.12565,40.00,0,0,61.85,27.68,0,0,8.49808
14.04.2000,29.00001,0,36.50,4.02,32.70,9.125,0,0,6.19319,10.8656,0,0,58.25,36.00,0,0,1.18971,38.80,0,0,46.55,28.30,0,0,8.3513
21.04.2000,29.49999,0,40.50,4.05,34.00,9.0375,0,0,6.13636,10.8272,0,0,61.70,36.40,0,0,1.18056,40.00,0,0,52.10,30.85,0,0,8.49808
28.04.2000,30.60,0,39.00,4.27,33.95,8.9975,0,0,6.25,11.4799,0,0,57.20,34.50,0,0,1.18971,42.00,0,0,52.00,31.00,0,0,8.49808
05.05.2000,27.99999,0,39.80,4.15,32.50,8.875,12.45,0,6.07955,11.2112,0,0,61.75,34.10,0,0,1.18971,41.80,16.70,0,50.20,32.30,0,19.00,8.42856
12.05.2000,28.25001,0,38.20,3.99,32.50,7.875,12.15,0,6.27272,11.288,0,0,54.39,33.00,0,0,1.09728,44.05,16.90,0,50.70,28.05,0,19.30,8.26632
19.05.2000,27.99999,0,35.50,4.00,32.00,8.275,12.40,0,6.57955,10.4433,0,0,55.80,31.00,0,0,1.08904,49.00,15.45,0,43.45,27.86,0,18.80,8.76848
26.05.2000,30.27,0,30.90,4.00,32.00,8.445,12.30,0,6.47727,10.3742,5.70,0,60.30,31.75,0,0,1.06159,45.05,15.40,0,39.00,27.20,0,18.10,9.42514
02.06.2000,29.00001,0,39.10,4.17,34.10,8.25,12.26,0,6.17045,10.2513,5.89,0,60.31,30.70,0,0,1.04328,44.65,15.00,0,45.00,25.00,0,18.00,10.42946
09.06.2000,27.99999,0,38.70,4.04,33.00,8.25,12.00,0,5.90909,9.82899,6.03,0,61.12,28.60,0,0,0.9838,45.40,13.80,0,46.30,26.65,0,17.50,10.81574
16.06.2000,28.80,0,47.60,4.10,33.80,8.75,12.92,0,6.13636,9.67541,5.45,0,48.90,29.00,0,0,0.91516,43.00,13.50,0,37.75,26.00,0,19.00,10.66122
23.06.2000,27.80001,0,46.85,4.15,33.50,8.30,13.90,0,5.79545,9.17628,5.63,0,53.65,28.00,0,0,0.94719,42.20,10.55,0,40.50,28.39,0,20.30,10.27496
30.06.2000,28.77999,0,48.00,4.08,34.20,9.00,13.30,0,5.85227,9.3529,5.54,0,58.94,27.90,0,0,0.97922,42.50,10.10,0,34.95,29.90,0,21.60,10.50672
07.07.2000,28.50,0,48.59,4.08,33.50,9.10,13.41,0,5.80681,9.17628,5.20,0,58.49,29.50,0,0,0.99753,45.00,9.30,0,35.51,27.90,0,23.00,10.50672
14.07.2000,29.49999,0,53.50,3.80,33.25,8.125,13.70,0,5.84091,8.86913,5.04,0,57.15,29.45,0,0,0.97922,46.00,11.29,0,38.50,28.31,0,22.50,10.81574
21.07.2000,26.49999,0,51.50,3.75,33.00,8.25,14.69,0,5.79545,8.63876,5.20,0,42.80,28.90,0,0,0.9838,45.60,10.70,0,42.50,28.00,0,23.70,10.42946
28.07.2000,27.00,0,45.20,4.02,32.50,8.40,14.80,0,5.79545,9.21468,5.44,0,44.80,33.50,0,0,0.97007,43.40,10.45,0,40.90,29.10,0,19.80,10.66122
04.08.2000,26.90001,0,42.95,3.88,33.00,8.775,14.00,0,6.22728,9.21468,5.62,0,43.85,33.00,0,0,1.00668,42.50,11.30,0,30.32,29.50,0,17.75,10.73848
11.08.2000,26.70,0,44.25,3.98,32.50,8.525,11.92,0,6.13636,9.98257,6.27,0,46.15,31.30,0,0,1.04328,45.20,10.98,0,32.75,29.46,0,18.00,10.72304
18.08.2000,24.99999,0,46.00,4.00,32.00,8.75,11.35,0,6.81819,10.4049,6.58,0,49.37,31.00,0,0,1.04328,45.10,10.35,0,34.20,29.45,0,17.30,10.58398
25.08.2000,25.11,0,44.25,4.01,32.80,8.75,11.65,0,6.80681,10.6737,6.95,0,51.25,32.60,0,0,1.01583,46.00,11.00,0,32.41,30.55,0,17.30,10.1977
01.09.2000,26.70,0,43.80,3.80,32.60,8.75,12.00,0,6.94319,10.3665,6.90,0,51.92,32.50,0,0,0.90601,46.50,11.83,0,38.90,29.90,0,18.00,10.50672
08.09.2000,25.59999,0,42.40,3.87,32.02,7.625,11.80,0,6.81819,8.98431,6.60,0,48.70,29.50,0,0,0.87856,49.30,12.43,0,34.06,28.50,0,19.40,10.1668
15.09.2000,25.74999,0,42.51,3.85,32.75,7.5875,11.50,0,6.19319,8.83073,6.87,0,45.18,29.40,0,0,0.80077,52.50,12.63,0,33.75,28.97,0,19.50,10.3522
22.09.2000,26.00001,0,40.75,3.86,32.70,7.995,11.00,0,6.59091,8.94592,6.91,0,46.07,28.50,0,0,0.70925,49.50,10.30,0,32.50,28.20,0,19.35,9.88868
29.09.2000,25.80,0,40.49,3.79,30.20,7.50,10.71,0,6.70455,7.75569,7.00,0,37.15,27.00,0,0,0.69095,55.40,10.10,0,32.00,28.10,0,19.50,9.42514
06.10.2000,26.00001,0,36.90,3.68,29.50,7.50,10.80,0,6.70455,7.60211,6.87,0,43.67,28.00,0,0,0.7184,52.25,9.70,0,32.00,28.45,0,18.75,9.27064
13.10.2000,25.59999,0,29.50,3.77,28.80,7.125,10.90,0,6.20455,7.29495,6.97,0,45.63,23.00,0,0,0.73213,47.89,9.05,0,30.75,31.50,0,18.75,9.11612
20.10.2000,30.6999,0,33.80,3.90,31.00,7.125,10.60,0,6.23864,7.94766,7.14,0,50.39,22.40,0,0,0.77789,49.50,8.80,0,22.00,32.30,0,18.30,9.34788
27.10.2000,31.4001,0,34.00,3.94,29.30,7.025,10.71,0,6.13636,8.25482,7.10,0,47.95,21.82,0,0,0.80534,49.90,9.15,0,19.20,31.20,0,18.20,9.27064
03.11.2000,29.49999,0,34.01,4.10,30.00,6.975,11.05,0,6.30681,8.17803,7.60,0,47.60,20.51,0,0,0.7788,48.66,10.15,0,24.87,31.30,0,18.15,8.96934
10.11.2000,31.2501,0,27.50,4.35,31.00,6.875,11.65,0,6.02273,8.13963,7.49,0,47.20,20.00,0,0,0.79619,51.50,11.04,0,23.50,32.30,0,18.00,9.41742
17.11.2000,29.94999,0,25.00,4.29,28.00,6.8125,11.28,0,6.02273,8.25482,7.28,0,48.15,17.80,0,0,0.81907,55.30,11.26,0,25.70,33.10,0,18.80,9.73416
24.11.2000,29.00001,0,26.50,4.22,27.50,6.625,11.40,0,6.11364,7.98606,7.45,0,56.40,17.60,0,0,0.78704,55.60,11.50,0,24.39,33.50,0,18.70,10.08182
01.12.2000,27.50001,0,24.40,4.30,27.51,6.50,11.05,0,6.13636,8.43911,7.70,0,54.49,23.60,0,0,0.71383,56.50,9.67,0,22.95,33.90,0,17.90,10.15906
08.12.2000,27.00,0,24.25,4.25,26.60,6.50,10.85,0,5.90909,8.56197,8.00,0,45.39,18.80,0,0,0.72298,55.75,10.15,0,29.20,35.40,0,17.97,10.69986
15.12.2000,27.99999,0,23.60,4.35,26.60,6.75,10.85,0,5.78409,9.13789,8.09,0,47.58,17.90,0,0,0.7367,56.50,10.15,0,31.00,36.55,0,18.40,10.50672
