Date;ADS.DE;ALV.DE;BAS.DE;BAYN.DE;BEI.DE;BMW.DE;CBK.DE;CON.DE;DAI.DE;DB1.DE;DBK.DE;DPW.DE;DTE.DE;EOAN.DE;FME.DE;FRE.DE;HEI.DE;HEN3.DE;IFX.DE;LHA.DE;LIN.DE;MRK.DE;MUV2.DE;PSM.DE;RWE.DE;SAP.DE;SIE.DE;TKA.DE;VNA.DE;VOW3.DE
07.01.2000;72,00;341,90;50,22;44,15;21,33;27,65;29,29;18,42;73,00;0,00;73,98;0,00;64,74;49,50;26,00;47,17;49,35;0,00;0,00;24,05;57,57;29,75;282,99;0,00;0,00;41,26;114,01;33,55;0,00;0,00
14.01.2000;67,35;374,99;47,87;43,95;21,33;27,40;29,17;18,18;75,30;0,00;73,19;0,00;71,30;49,00;25,83;47,67;51,25;0,00;0,00;22,87;55,30;30,10;286,51;0,00;0,00;41,25;131,50;30,80;0,00;0,00
21.01.2000;65,55;317,50;47,18;44,50;21,88;26,20;28,86;17,02;71,09;0,00;71,81;0,00;66,85;45,00;26,68;48,00;50,18;0,00;0,00;21,50;51,05;31,00;290,00;0,00;0,00;45,02;132,76;29,00;0,00;0,00
28.01.2000;62,00;340,10;44,05;40,90;22,67;24,25;26,33;16,39;68,15;0,00;68,35;0,00;71,90;41,80;27,84;50,67;50,01;0,00;0,00;21,60;48,42;31,40;283,50;0,00;0,00;48,25;146,42;27,43;0,00;0,00
04.02.2000;57,40;369,40;41,75;42,55;21,33;25,70;26,51;15,52;67,82;0,00;72,15;0,00;85,40;44,59;30,33;56,50;43,31;0,00;0,00;19,75;48,50;31,40;294,75;0,00;0,00;48,42;156,50;28,00;0,00;0,00
11.02.2000;53,05;347,00;43,20;44,50;22,67;25,85;29,49;16,05;65,97;0,00;74,63;0,00;89,10;47,99;26,47;54,17;41,93;0,00;0,00;20,15;45,50;31,00;287,75;0,00;0,00;48,08;166,19;26,75;0,00;0,00
18.02.2000;54,50;335,80;47,00;43,90;22,67;25,20;31,69;15,86;65,00;0,00;70,10;0,00;89,00;48,00;28,02;54,17;39,87;0,00;0,00;21,45;46,99;27,20;271,70;0,00;0,00;52,64;155,07;26,70;0,00;0,00
25.02.2000;50,20;341,90;46,90;42,70;23,93;26,90;31,14;16,25;65,80;0,00;77,70;0,00;90,00;48,40;24,43;48,67;39,87;0,00;0,00;23,33;41,50;27,01;265,50;0,00;0,00;54,25;182,18;25,00;0,00;0,00
03.03.2000;54,71;374,99;46,25;42,85;22,93;26,90;30,29;16,25;65,95;0,00;75,73;0,00;102,90;43,32;24,75;46,33;39,43;0,00;0,00;23,20;41,02;29,70;278,00;0,00;0,00;54,43;184,63;24,24;0,00;0,00
10.03.2000;51,00;357,50;46,65;41,70;20,95;25,70;35,22;16,33;63,00;0,00;65,06;0,00;97,75;48,25;26,30;54,67;37,12;0,00;0,00;22,30;40,30;34,00;308,50;0,00;0,00;54,77;180,72;23,38;0,00;0,00
