Date;adidas ;Allianz;BASF;Bayer;Beiersdorf;BMW;Commerzbank;Continental;Daimler;Deutsche Bank ;Deutsche Börse;Deutsche Lufthansa; Deutsche Post;Deutsche Telekom;EON;Fresenius;Fresenius Medical Care;HeidelbergCement;Henkel vz;Infineon Technologies; Linde;Merck;Münchener Rückversicherungs-Gesellschaft;ProSiebenSat1 Media;RWE;SAP;Siemens;thyssenkrupp;Volkswagen vz;Vonovia
30.12.2015;89,91;163,55;70,72;115,8;84,16;97,63;9,572;224,55;77,58;22,525;81,39;14,565;25,955;16,69;8,931;65,97;77,73;75,62;103,2;13,505;133,9;89,57;184,55;46,765;11,71;73,38;89,88;18,34;133,75;28,55
29.12.2015;91,51;165;71,52;117,9;84,9;98,56;9,684;227,5;78,38;22,725;81,56;14,735;26,305;16,97;8,924;66,48;78,74;75,99;104,35;13,625;134,8;90,13;186,6;47,3;11,62;74,12;90,85;18,39;135,35;28,745
28.12.2015;89,09;161,5;70,31;115,5;83,04;97,35;9,634;222,85;77,3;22,18;78,8;14,57;25,935;16,545;8,847;64,99;77,13;74,6;102,35;13,305;131,55;88,09;182,45;46,505;11,66;72,86;89,14;18,335;133,15;28,095
23.12.2015;90,18;163;70,95;116,1;83,37;98,55;9,661;225,5;77,84;22,315;79,08;14,48;26,045;16,615;8,951;64,79;77,11;75,52;102,85;13,475;132,55;88,91;184,2;46,845;11,985;73;89,64;18,795;135,05;28,17
22.12.2015;88,07;160,3;68,99;113,4;82,1;96,35;9,427;220,95;76,37;21,555;77,94;14,37;25,625;16,215;8,485;62,97;74,72;73,33;100,5;13,335;130,55;87,47;182,8;46,33;11,305;71,75;87,51;17,61;132,1;27,64
21.12.2015;87,47;160,7;68,95;114,2;81,56;95,5;9,368;221,7;75,5;21,525;77,9;14,48;25,9;16,31;8,568;63,43;75,02;72,08;100,8;13,605;128,5;86,75;185;46,48;11,395;71,82;88,02;17,37;130,45;27,875
18.12.2015;89,03;161,95;70,22;115,85;82,68;96,71;9,479;221,1;76,79;21,75;79,87;14,105;25,755;16,49;8,405;64,86;76,95;72,53;102;13,55;131,85;87,93;186,25;46,835;11,16;72,28;89,03;17,495;130;28,165
17.12.2015;91,05;163,15;71,38;118,6;84,83;98,72;9,538;223,15;78,56;21,875;78,25;14,14;26,01;16,705;8,596;65,63;78,5;72,41;102,95;13,535;132,7;89,01;185,8;47,815;11,18;72,93;90,07;17,28;130,85;28,245
16.12.2015;89,17;160,15;70,22;114;83,86;95,49;9,327;219,4;76,09;21,43;75,53;13,855;25,355;16,175;8,312;63,66;75,97;71,63;100,7;13,08;131,3;87,63;181,45;47,425;11,03;71,18;88,21;17,29;125,5;27,76
15.12.2015;88,81;159,2;70,05;113,4;84,56;94,69;9,336;218;75,5;21,4;75,23;13,78;25,31;16,25;8,199;63,17;76,18;72,14;100,75;13,485;131,2;88,32;181,8;47,2;10,665;71,63;88,2;17,29;125,4;27,535
14.12.2015;85,93;155,7;68,01;109,85;81,35;91,9;8,972;211,35;72,95;20,77;73,84;13,115;24,18;15,48;7,837;61,95;73,86;70,05;98,06;13;128,05;85,8;179,65;46,095;10,275;69,4;86,25;16,825;123,25;26,55
11.12.2015;86,55;158,35;68,86;112,1;82,1;94,11;9,17;214,2;74,63;21,24;74,74;13,325;24,5;15,885;8,162;63,26;75,32;70,8;100,05;13,3;130,35;86,89;183,25;46,68;10,735;70,55;87,75;17,23;128,55;27,275
10.12.2015;87,6;161,95;70,5;114,7;83,17;97,27;9,451;221,7;77,24;22,225;76,85;13,65;25,02;16,235;8,489;64,32;76,5;72,87;103,3;13,435;134,05;88,85;185,2;47,28;10,98;71,86;89,61;17,84;133,25;27,925
09.12.2015;88,41;161,35;70,72;113,6;83,14;97,14;9,495;222,35;77,09;22,33;77,2;13,515;24,895;16,27;8,565;64,2;75,96;72,8;102,85;13,505;133,15;89,1;185,15;47,29;11,01;71,71;90,46;17,695;131,75;27,925
08.12.2015;91,2;162,9;71,2;116;84,63;97,2;9,504;223,05;77,53;22,495;78,84;13,7;25,295;16,31;8,425;65,15;76,9;72,4;104,7;13,65;135,75;90,82;186,1;48,055;10,78;72,4;90,77;17,67;124,05;28,38
07.12.2015;92,81;165,05;72,69;118,5;85,95;99,99;9,824;226,9;79,73;23,16;80,73;13,95;25,86;16,6;8,802;66;77,09;73,42;106,4;13,88;138,1;91,91;188,2;49,125;11,35;72,85;92,98;18,35;127,1;28,93
04.12.2015;90,91;162,35;72,36;116,45;83,72;98,17;9,968;223,55;78,61;23,2;79,54;13,855;25,565;16,19;8,749;64,69;75,75;72,14;104,65;13,945;137,7;92,49;186,3;49,07;11,655;71,76;92,09;18,325;126,9;27,985
03.12.2015;90,5;162,55;72,87;117,7;84,73;98,34;9,967;221,2;78,42;23,435;78,62;13,52;25,705;16,47;8,929;65,7;75,84;71,8;104,15;13,58;136,95;93,74;186,2;49,04;12,18;72,44;91,9;18,625;125,65;28,005
02.12.2015;93,41;167,4;76,17;123,85;88,53;102,65;10,2;226,6;82,84;24,135;81,17;13,725;26,42;17,29;8,957;68,57;78,11;74,58;108,2;14,03;137,5;96,73;190,65;49,995;12,47;74,75;95,89;19,255;126,95;28,97
01.12.2015;92,91;167,55;76,77;124,85;88,05;103,3;10,38;226,35;83,21;24,46;79,82;13,73;27,12;17,305;9,029;68,77;78,25;75,43;108,05;13,9;141,55;96,17;190,7;49,935;12,695;74,73;96,94;19,765;130,15;29,595
30.11.2015;91,59;167,65;78,34;126,3;88,14;103,3;10,42;228,7;84,73;24,305;81,19;13,565;27,665;17,455;8,996;69,49;78,2;75,36;107,5;14,03;165,25;96,94;190,75;49,7;10,89;74,59;98,14;20,145;131,55;29,335
27.11.2015;89,47;167,3;77,88;125,8;88,81;101,5;10,335;225,55;82,45;23,995;80,85;13,375;27,555;17,48;9,004;69,59;78,91;74,74;108,5;13,6;168,3;96,39;188,95;49,595;10,87;74,54;96,87;19,835;123,85;30,295
26.11.2015;90,32;167,6;78,62;126,85;88,7;100,85;10,435;224,15;82;24,23;80,62;13,39;27,545;17,455;9,235;69,75;78,52;75,09;109,15;13,125;169,25;96,46;188,65;49,16;11,255;74,74;97,2;19,985;124,6;30,16
25.11.2015;89,8;168;78;124,65;89,13;99,5;10,375;221,2;79,48;24,02;80,5;13,26;27,22;17,355;9,045;69,15;77,56;74,44;106,9;11,63;167,05;95,37;189,05;49,135;10,905;74,41;95,94;19,56;120,35;29,85
