Date,ASCO.AT,AEGN.AT,ALPHA.AT,IATR.AT,EYDAP.AT,OTOEL.AT,BOC.AT,CENTR.AT,EEE.AT,SOLK.AT,CRETA.AT,EUROB.AT,ELLAKTOR.AT,ANEMOS.AT,ELTON.AT,EUPIC.AT,EUROC.AT,KYRM.AT,FLEXO.AT,FFGRP.AT,FOYRK.AT,GEKTERNA.AT,GRIV.AT,XAKO.AT,EXAE.AT,ELPE.AT,HTO.AT,HYGEIA.AT,IASO.AT,IKTIN.AT,INTRK.AT,INLOT.AT,AVAX.AT,BELA.AT,KLEM.AT,KORRES.AT,KRI.AT,LAMDA.AT,LYK.AT,MIG.AT,MLS.AT,MOH.AT,MYTIL.AT,ETE.AT,OPAP.AT,PETRO.AT,TPEIR.AT,PPA.AT,PPC.AT,QUEST.AT,KAMP.AT,SAR.AT,OLYMP.AT,TENERGY.AT,OLTH.AT,EYAPS.AT,PLAT.AT,TITK.AT,VIO.AT
07.01.2000,0,0,68.39,49.3562,9.3703,24.70,0,72,0,14.9578,0,0.401,37.88,0,0,0,0,0,0,0,0,0,0,9.35806,0,15.3679,23.0782,0,0,0,43.0169,101.14706,44.06,0,24.67809,0,0,0,36.9529,0,0,0,32.27011,3.846,0,0,11.77,0,0,24.9347,0,0,0,0,0,0,13.3516,51.9372,0
14.01.2000,0,0,67.992,47.2588,7.27274,27.2090,0,71,0,15.2443,0,0.401,38.03,0,0,0,0,0,0,0,0,0,0,8.89878,0,14.6238,23.3725,0,0,0,42.424,80.92429,43.9607,0,25.45748,0,0,0,35.7720,0,0,0,30.66991,3.769,0,0,11.622,0,0,28.736,0,0,0,0,0,0,12.0581,49.6306,0
21.01.2000,0,0,65.733,45.2344,8.44449,25.506,0,70,0,15.0781,0,0.401,35.99,0,0,0,0,0,0,0,0,0,0,8.8207,0,13.6145,22.768,0,0,0,40.7109,78.91237,45.9123,0,25.35499,0,0,0,36.16737,0,0,0,29.55305,3.808,0,0,11.439,0,0,26.236,0,0,0,0,0,0,11.8139,50.391,0
28.01.2000,0,0,63.928,46.0426,9.3702,28.3285,0,69,0,15.1495,0,0.397,38.11,0,0,0,0,0,0,0,0,0,0,8.92632,0,12.466,23.7639,0,0,0,43.6662,101.14705,44.05,0,24.67808,0,0,0,36.11783,0,0,0,29.34842,3.829,0,0,11.606,0,0,27.774,0,0,0,0,0,0,10.8877,52.3994,0
04.02.2000,0,0,68.394,20.9804,7.27273,25.6673,0,68,0,15.4798,0,0.404,38.84,0,0,0,0,0,0,0,0,0,0,8.65665,0,13.2887,28.5549,0,0,0,45.8081,80.92428,43.9606,0,25.45747,0,0,0,38.0818,0,0,0,31.83113,4.296,0,0,12.237,0,0,27.3525,0,0,0,0,0,0,10.3333,51.4138,0
11.02.2000,0,0,71.672,20.7366,8.44448,24.1952,0,67,0,12.5708,0,0.393,36.68,0,0,0,0,0,0,0,0,0,0,7.49156,0,13.7127,28.4679,0,0,0,43.7957,78.91236,45.9122,0,24.69794,0,0,0,36.9528,0,0,0,29.18714,4.231,0,0,12.057,0,0,25.4112,0,0,0,0,0,0,12.3211,48.2756,0
18.02.2000,0,0,70.556,21.5831,9.3701,24.3834,0,66,0,12.5002,0,0.388,34.01,0,0,0,0,57.38381,0,0,0,0,0,7.44915,0,13.0082,30.2762,0,0,0,48.1272,101.14704,43.4918,0,26.28883,0,0,0,35.7719,0,0,0,27.81828,4.207,0,0,12.22,0,0,26.9788,0,0,0,0,0,0,10.0308,49.4612,0
25.02.2000,0,0,70.317,19.7866,9.06223,27.2089,0,65,0,12.2917,0,0.384,29.36,0,0,0,0,56.52007,0,0,0,0,0,7.34503,0,12.6599,31.4188,0,0,0,50.0362,107.682,45.9846,0,27.35259,0,0,0,36.6829,0,0,0,24.70328,4.083,0,0,12.174,0,0,24.3435,0,0,0,0,0,0,9.52735,50.9656,0
03.03.2000,0,0,69.372,16.7218,9.54072,25.505,0,64,0,10.333,0,0.363,25.30,0,0,0,0,51.84673,0,0,0,0,0,6.23879,0,12.7563,31.4039,0,0,0,48.5306,101.85192,42.7462,0,26.3703,0,0,0,36.1875,0,0,0,22.25568,4.082,0,0,11.687,0,0,23.0955,0,0,0,0,0,0,8.17776,45.1412,0
10.03.2000,0,0,67.937,16.3241,12.9113,22.0554,0,63,0,10.0283,0,0.351,27.89,0,0,0,0,51.73846,0,0,0,0,0,6.38572,0,13.3752,29.3803,0,0,0,47.5182,96.66696,38.9902,0,25.76479,0,0,0,38.0817,0,0,0,25.45301,4.018,0,43.6576,11.578,0,0,22.3351,0,0,0,0,0,0,9.13237,42.7214,0
17.03.2000,0,0,65.158,15.4021,13.5151,22.6861,0,62,0,8.9808,0,0.342,29.53,0,0,0,0,55.0566,0,0,0,0,0,6.28656,0,12.8831,29.1277,0,0,0,46.4906,94.12584,40.741,0,23.38418,0,0,0,39.1052,0,0,0,26.28385,4.034,0,49.175,11.696,0,0,20.9552,0,0,0,0,0,0,6.94466,41.611,0
24.03.2000,0,0,65.807,15.0941,11.0038,21.1604,0,61,0,8.51847,0,0.343,28.68,0,0,0,0,50.07233,0,0,0,0,0,6.65039,0,12.4277,29.3663,0,0,0,45.133,95.41632,37.4054,0,19.78117,0,0,0,35.51,0,0,0,24.95765,4.229,0,48.981,12.327,0,0,20.9226,0,0,0,0,0,0,8.19304,42.7418,0
31.03.2000,0,0,63.913,14.9177,9.20319,17.1473,0,60,0,8.47324,0,0.346,29.31,0,0,0,0,49.02459,0,0,0,0,0,6.38477,0,13.5395,29.2386,0,0,0,43.1121,85.62528,30.6182,0,18.58756,0,0,0,34.1732,0,0,0,22.82404,4.213,0,53.452,11.918,0,0,18.677,0,0,0,0,0,0,6.51394,44.3056,0
07.04.2000,0,0,67.271,13.6663,10.1693,17.8117,0,59,0,8.31604,0,0.332,30.79,0,0,0,0,39.05712,0,0,0,0,0,6.3339,0,13.9234,27.9884,0,0,0,42.6234,86.30184,31.78,0,18.4705,0,0,0,35.526,0,0,0,21.99728,3.938,0,64.014,11.125,0,0,17.5859,0,0,0,0,0,0,6.78947,44.233,0
14.04.2000,0,0,58.183,11.9135,9.04222,17.0693,0,58,0,6.99918,0,0.315,26.68,0,0,0,0,34.70458,0,0,0,0,0,5.70358,0,13.4129,25.5842,0,0,0,39.7315,70.04448,29.87,0,18.53143,0,0,0,35.6931,0,0,0,19.80619,3.812,0,58.4624,10.833,0,0,14.6834,0,0,0,0,0,0,6.99464,44.08,0
21.04.2000,0,0,58.458,11.3744,7.67851,16.0801,0,57,0,7.24372,0,0.299,28.15,0,0,0,0,29.96271,0,0,0,0,0,5.53755,0,12.3156,24.934,0,0,0,39.5112,24.43468,31.0574,0,16.40945,0,0,0,33.5625,0,0,0,19.27666,2.713,0,50.1934,10.538,0,0,14.5174,0,0,0,0,0,0,5.58709,44.5998,0
28.04.2000,0,0,55.046,13.0465,8.67449,16.768,0,56,0,7.44665,0,0.284,31.43,0,0,0,0,28.2755,0,0,0,0,0,5.48074,0,11.799,26.0633,0,0,0,42.8927,17.80824,32.2342,0,17.00466,0,0,0,32.3458,0,0,0,19.83787,2.742,0,50.6602,10.463,0,0,14.8933,0,0,0,0,0,0,6.20032,44.68,0
05.05.2000,0,0,55.447,14.8737,8.73985,14.7215,0,55,0,9.44882,0,0.299,32.94,0,0,0,0,25.90355,0,0,0,0,0,6.43831,0,12.1868,26.5878,0,0,0,43.3245,22.06152,25.5058,0,10.69236,0,0,0,34.3728,0,0,0,22.41487,2.763,0,46.4686,10.478,0,0,17.4967,0,0,0,0,0,0,6.08377,46.499,0
12.05.2000,0,0,57.348,16.3145,8.88115,13.4623,0,54,0,10.4656,0,0.326,33.30,0,0,0,0,25.77891,0,0,0,0,0,6.78409,0,12.1313,27.0176,0,0,0,45.2767,25.96644,26.0038,0,10.88054,0,0,0,34.3107,0,0,0,24.85025,2.897,0,40.0422,11.686,0,0,18.942,0,0,0,0,0,0,7.05137,46.6128,0
19.05.2000,0,0,61.255,15.0782,10.2797,13.6541,0,53,0,9.91912,0,0.298,30.09,0,0,0,0,26.94857,0,0,0,0,0,6.14956,0,12.4326,27.0226,0,0,0,42.7956,20.0222,26.7276,0,10.6636,0,0,0,33.2344,0,0,0,22.46955,2.82,0,33.3976,11.066,0,0,16.7635,0,0,0,0,0,0,7.74701,43.1652,0
