Date,ABE.MC,ACS.MC,ACX.MC,AENA.MC,AMS.MC,ANA.MC,BBVA.MC,BKIA.MC,BKT.MC,CABK.MC,DIA.MC,ELE.MC,ENG.MC,FCC.MC,FER.MC,GAM.MC,GAS.MC,GRF.MC,IAG.MC,IBE.MC,IDR.MC,ITX.MC,MAP.MC,MRL.MC,MTS.MC,OHL.MC,POP.MC,REE.MC,REP.MC,SAB.MC,SAN.MC,SCYR.MC,TEF.MC,TL5.MC,TRE.MC
07.01.2000,17.42997,0,41.10,0,0,52.40,13.29363,0,67.68442,0,0,19.31,0,13.8403,0,0,0,0,0,106.40,0,0,0,0,0,5.15609,0,6.00,21.563,0,11.663,7.44563,25.1123,0,0
14.01.2000,17.37749,0,40.20,0,0,48.92,12.6031,0,90.71381,0,0,18.74,0,13.3837,0,0,0,0,0,101.12,0,0,0,0,0,5.14671,0,6.08,20.937,0,11.26118,6.55807,24.7366,0,0
21.01.2000,16.91555,0,39.75,0,0,47.30,13.29363,0,98.1758,0,0,19.21,0,12.4135,0,0,0,0,0,97.20,0,0,0,0,0,4.63111,0,5.98,21.82,0,10.29269,6.19318,22.5912,0,0
28.01.2000,18.63754,0,38.30,0,0,47.00,12.6031,0,99.20014,0,0,18.69,0,10.737,0,0,0,0,0,95.20,0,0,0,0,0,4.69673,0,5.95,20.547,0,10.37511,5.7001,24.1731,0,0
04.02.2000,17.88145,0,39.15,0,0,46.94,11.93212,0,97.44469,0,0,19.30,0,12.8415,0,0,0,0,0,97.84,0,0,0,0,0,4.37799,0,5.82,20.526,0,10.7357,6.0847,25.3496,0,0
11.02.2000,17.15699,0,38.26,0,0,45.39,13.07965,0,100.95636,0,0,19.00,0,12.6275,0,0,0,0,0,96.00,0,0,0,0,0,4.72485,0,5.62,21.399,0,10.23088,5.56203,26.19,0,0
18.02.2000,17.15699,0,36.46,0,0,43.29,12.93379,0,97.29847,0,0,19.16,0,12.6275,0,0,0,0,0,97.44,0,0,0,0,0,4.19049,0,5.76,21.06,0,11.14788,5.9565,28.5232,0,0
25.02.2000,18.06005,0,36.72,0,0,45.10,13.63393,0,102.49247,0,0,22.05,0,12.8415,0,0,0,0,0,102.40,0,0,0,0,0,4.82797,0,9.23,19.582,0,11.19935,6.22277,30.3127,0,0
03.03.2000,16.74753,0,38.48,0,0,44.24,14.90788,0,92.03059,0,0,22.09,0,14.832,0,0,0,0,0,111.20,0,0,0,0,0,5.46545,0,10.52,19.654,0,11.27143,7.07088,29.1164,0,0
10.03.2000,17.57705,0,39.21,0,0,44.20,15.26772,0,90.71381,0,0,21.23,0,17.6571,0,0,0,0,0,104.72,0,0,0,0,0,6.24355,0,10.63,21.45,0,11.52899,6.52848,28.8001,0,0
17.03.2000,17.72401,0,45.05,0,0,46.10,14.83015,0,91.81125,0,0,23.94,0,16.3516,0,0,0,0,0,118.24,0,0,0,0,0,5.41858,0,10.65,20.906,0,12.21935,6.63696,31.1432,0,0
24.03.2000,17.27254,0,44.80,0,0,45.00,14.61617,0,100.15136,0,0,23.63,0,15.6738,0,0,0,0,0,112.48,0,0,0,0,0,6.18731,0,10.40,20.496,0,11.87935,6.90323,30.1644,0,0
31.03.2000,17.04145,0,41.30,0,0,47.15,14.93704,0,96.42036,0,0,23.97,0,15.9093,0,0,0,0,0,109.04,0,0,0,0,0,6.25293,0,10.28,22.62,0,11.57021,6.90323,27.9795,0,0
07.04.2000,16.82095,0,42.90,0,0,46.34,14.9176,0,96.20103,0,0,23.70,0,16.5585,0,0,0,0,0,105.84,0,0,0,0,0,6.07481,0,10.09,22.682,0,11.41569,6.70599,27.7323,0,0
14.04.2000,16.80,0,43.80,0,0,45.51,14.93704,0,84.8618,0,0,23.60,0,16.7297,0,0,0,0,0,105.20,0,0,0,0,0,6.09356,0,10.06,23.01,0,11.64239,6.59752,25.8044,0,0
21.04.2000,17.20947,0,43.70,0,0,45.40,15.44273,0,79.88714,0,0,23.38,0,16.3302,0,0,0,0,0,108.56,0,0,0,0,0,6.10293,0,10.28,23.544,0,11.36422,6.59752,25.1123,0,0
28.04.2000,16.95744,0,43.80,0,0,44.50,15.01487,0,76.3022,0,0,23.86,0,16.0876,0,0,0,0,0,112.88,0,0,0,0,0,6.14043,0,10.10,23.195,0,11.81752,7.33715,24.7366,0,0
05.05.2000,16.88401,0,43.30,0,0,44.18,14.87873,0,82.66691,0,0,23.72,0,16.9937,0,0,0,0,0,110.88,0,0,0,0,0,6.16856,0,10.50,22.99,0,11.48788,7.27798,24.4202,0,0
12.05.2000,16.30653,0,44.73,0,0,42.43,14.58702,0,79.59469,0,0,22.75,0,16.5585,0,0,67.08,0,0,108.64,0,0,0,0,0,5.87794,0,10.52,23.605,0,11.04483,7.00185,23.7282,0,0
19.05.2000,16.69505,0,43.20,0,0,36.28,14.15906,0,74.61964,0,0,23.39,0,15.7024,0,0,64.14,0,0,107.76,0,0,0,0,0,5.93419,0,10.50,23.893,0,10.57093,7.00185,25.8538,0,0
