Дата,Аптечная сеть 36.6. 02,Газпром. 13,ГИДРОМАШСЕРВИС. 02,Кокс. БО-02,Кубаньэнерго. 01,ЛЕНТА. 03,Лукойл. 03,Лукойл. 04,Лукойл. БО-01,Лукойл. БО-18,Лукойл. БО-19,Лукойл. БО-20,Микояновский мясокомбинат. БО-01,Мираторг Финанс. БО-03,ММК. БО-02,ННК-Актив (бывш. НК Альянс). БО-01,ОГК-2. 01,ОКЕЙ. БО-05,РусГидро. 09,СОЛЛЕРС. 02,ТГК-2. БО-02,ТМК. 03,УК ГидроОГК. 01,ЧТПЗ. 01,Энел Россия (бывш. Энел ОГК-5). БО-15
15.01.2010,97.19,116.9,0,0,0,0,105.5,104.28,169.24,178.79,178.32,178.77,0,0,108.49,0,102.72,0,0,133.17,0,139.46,103.23,106.01,0
22.01.2010,101.3,119.24,0,0,99.61,0,106.63,106.7,171.36,181.03,181.23,180.34,0,0,111.12,0,104.4,0,0,96.95,0,141.31,104.94,108.31,0
29.01.2010,107.07,121.8,0,0,100.45,0,108.53,106.63,173.83,182.85,182.47,183.38,0,0,112.61,0,105.87,0,0,98.45,0,142.95,105.4,110.33,0
05.02.2010,107.21,124.32,0,0,100.53,0,111.09,107.91,175.85,186.21,186.21,186.21,0,0,114.64,0,107.34,0,0,99.64,0,145,108.03,110.72,0
12.02.2010,107.7,126.86,0,0,101.88,0,111.3,109.21,112.77,188.83,188.81,188.79,0,0,116.44,0,108.84,0,0,102.26,0,145,109.97,113.79,0
19.02.2010,114.81,129.39,0,0,102.59,0,113.35,111.8,112.77,191.34,190.23,191.32,0,0,119.54,0,110.44,0,0,104.05,0,101.18,111.3,115.65,0
26.02.2010,118.43,131.98,0,0,103.77,0,114.77,112.81,118.39,193.86,193.83,193.86,0,0,120.85,0,111.93,0,0,105.77,0,103.4,112.66,118.29,0
05.03.2010,120.96,135.93,0,0,104.02,0,115.63,116.02,121.79,196.33,196.31,196.32,0,0,124.5,0,113.45,0,0,108.4,0,106.11,114.83,120.53,0
12.03.2010,93.6,139.12,0,0,104.98,0,117.84,117.65,124.35,198.99,199.02,198.96,0,0,126.52,0,115.05,0,0,110.64,0,108.14,116.58,122.57,0
19.03.2010,98.27,141.69,0,0,106.24,0,120.26,119.3,127.87,201.4,201.4,201.42,0,0,128.62,0,116.84,0,0,112.11,0,110.02,118.62,124.51,0
26.03.2010,101.17,144.18,0,0,106.99,0,119.73,121.44,129.61,203.32,203.51,203.83,0,0,130.31,0,118.28,0,0,113.13,0,111.58,120.04,126.33,0
02.04.2010,106.34,146.79,0,0,107.74,0,121.88,123.51,130.42,206.35,206.29,206.28,0,0,132.39,0,119.83,0,0,114.81,0,113.62,121.83,128.12,0
09.04.2010,109.79,149.27,0,0,108.49,0,123.94,123.89,135.35,208.78,208.44,208.37,0,0,134.43,0,121.09,0,0,116.55,0,114.83,123.49,129.92,0
16.04.2010,112.58,151.73,0,0,109.7,0,124.31,126.34,137.54,210.9,211.23,211.16,0,0,135.79,0,122.7,0,0,117.62,0,117.28,124.99,131.99,0
23.04.2010,113.32,153.83,0,0,109.46,0,126.96,127.79,138.97,213.88,213.72,213.84,0,0,137.62,0,124.1,0,0,119.14,0,118.26,126.22,133.55,0
30.04.2010,119.51,156.4,0,0,110.72,0,127.23,129.53,141.93,215.64,216.07,216.03,0,0,139.82,0,125.6,0,0,120.87,0,120.8,127.85,135.35,0
07.05.2010,120.94,158.13,0,0,110.98,0,128.05,127.68,142.69,218.57,218.57,218.57,0,0,139.71,0,127.09,0,0,122.2,0,122.68,127.74,135.96,0
14.05.2010,125.26,160.89,0,0,112.39,0,130.28,130.49,146.97,220.86,220.86,221.06,0,0,142.59,0,128.57,0,0,123.54,0,125,130.87,139.07,0
21.05.2010,126.42,162.41,0,0,113.17,0,132.01,130.1,148.81,223.61,223.64,223.64,0,0,144.91,0,130.06,0,0,125.11,0,126.49,132.56,140.85,0
28.05.2010,129.65,165.65,0,0,113.93,0,133.18,132.73,151.94,226.05,226.05,225.99,0,0,146.27,0,131.47,0,0,127.03,0,128.27,134.55,142.67,0
04.06.2010,134.01,168.31,0,0,114.77,0,134.84,135.62,154.23,228.44,228.44,228.44,0,0,149.08,0,132.84,0,0,128.48,0,130.15,135.98,144.3,0
11.06.2010,96.77,171.29,0,0,115.52,0,100.97,100.03,157.4,230.9,230.88,230.91,0,0,150.6,0,134.31,0,0,129.99,0,132.37,137.71,146.14,0
18.06.2010,99.89,173.84,0,0,116.12,0,103.82,101.23,159.55,233.49,233.46,233.46,0,0,104.27,0,135.86,0,0,131.48,0,134.36,139.93,0,0
25.06.2010,103.74,176.92,0,0,116.82,0,104.64,102.91,162.72,0,0,0,0,0,106.51,0,137.22,0,0,133.05,0,136.49,141.83,0,101.07
02.07.2010,107.12,113.65,0,0,117.68,0,106.29,104.45,165.37,0,0,0,0,0,108.25,0,138.7,0,0,134.38,0,138.42,103.39,0,102.35
09.07.2010,110.21,116.13,0,0,118.28,0,107.57,105.98,168.08,0,0,0,0,0,110.31,0,0,0,0,135.91,0,140.31,103.72,0,104.01
16.07.2010,113.68,118.62,0,0,119.03,0,109.23,107.38,170.59,0,0,0,0,0,112.14,0,0,0,0,137.4,0,142.21,105.56,0,105.78
23.07.2010,120.3,121.19,0,0,0,0,110.16,109.17,172.82,0,0,0,0,0,111.72,0,0,0,0,100.9,0,143.96,107.19,0,107.18
30.07.2010,123.55,123.77,0,0,0,0,111.52,109.66,175.38,0,0,0,0,0,116,0,0,0,0,103.23,0,146.03,108.47,0,108.51
06.08.2010,126.9,126.37,0,0,0,0,112.84,112.51,178.27,0,0,0,0,0,118.1,0,0,0,0,105.61,0,147.92,110.16,0,110.25
13.08.2010,133.47,128.8,0,0,0,0,113.45,113.48,114.06,0,0,0,0,0,119.91,0,0,0,0,108.03,0,149.76,112.08,0,111.7
20.08.2010,135.88,131.19,0,0,0,0,114.8,114.9,116.7,0,0,0,0,0,121.62,0,0,0,0,110.8,0,102.32,113.64,0,113.18
27.08.2010,138.67,133.44,0,0,0,0,116.47,116.4,119.27,0,0,0,0,0,123.44,0,0,0,0,113.11,0,104.03,114.87,0,114.36
03.09.2010,141.46,136.12,0,0,0,0,118.01,117.72,121.84,0,0,0,0,0,125.4,0,0,0,0,115.57,0,106.14,115.21,0,116.15
10.09.2010,100.65,138.57,0,0,0,0,118.91,119.18,124.15,0,0,0,0,0,127.16,0,0,0,0,118.47,0,107.9,117.65,0,118.34
17.09.2010,105.01,140.9,0,0,0,0,120.2,120.67,126.93,0,0,0,0,0,128.77,0,0,0,0,120.63,0,109.87,119.06,0,118.72
24.09.2010,108.38,143.3,0,0,0,0,122.02,122.5,129.03,0,0,0,0,0,130.56,0,0,0,0,123.36,0,111.7,120.4,0,120.12
01.10.2010,111.85,145.71,0,0,0,0,123.38,124.23,132.19,0,0,0,0,0,132.44,0,0,0,0,125.72,0,113.29,122.15,0,121.75
08.10.2010,115.3,148.14,0,0,0,0,124.82,125.43,134.22,0,0,0,0,0,134.25,0,0,0,0,128.21,0,115.18,123.54,0,122.89
15.10.2010,118.91,150.51,0,0,0,0,125.95,126.85,136.5,0,0,0,0,0,136.11,0,0,0,0,130.55,0,116.94,125.26,0,124.88
22.10.2010,122.68,152.72,0,0,0,0,127.55,128.91,139,0,0,0,0,0,137.81,0,0,0,0,132.97,0,118.85,126.8,0,126.22
29.10.2010,125.66,154.91,0,0,0,0,128.87,129.98,141.06,0,0,0,0,0,139.45,0,0,0,0,135.38,0,120.6,128.25,0,127.79
05.11.2010,128.32,156.67,0,0,0,0,129.56,131.33,143.36,0,0,0,0,0,140.66,0,0,0,0,137.27,0,121.94,129.43,0,128.54
12.11.2010,132.7,159.68,0,0,0,0,131.28,133.33,145.95,0,0,0,0,0,143.2,0,0,0,0,140.52,0,124.31,131.08,0,130.34
19.11.2010,136.46,161.91,0,0,0,0,132.9,134.17,148.16,0,0,0,0,0,144.64,0,0,0,0,142.69,0,126.17,132.64,0,131.87
26.11.2010,139.83,164.1,0,0,0,0,134.22,135.43,150.22,0,0,0,0,0,146.15,0,0,0,0,144.68,0,127.96,134.2,0,133.41
03.12.2010,143.02,166.4,0,0,0,0,135.17,136.63,152.73,0,0,0,0,0,147.98,0,0,0,0,146.7,0,129.65,135.67,0,134.28
10.12.2010,101.59,168.23,0,0,0,0,101.09,99.83,155.44,0,0,0,0,0,149.79,0,0,0,0,149.13,0,131.43,137.32,0,135.92
