;Атомэнергопром, 06;Балтийский берег, 01;Башнефть, 01;Башнефть, 02;Башнефть, 03;Башнефть, 04;Башнефть, 06;Башнефть, 07;Башнефть, 08;Башнефть, 09;Башнефть, БО-01;Буровая компания Евразия, 01;Газпром Капитал, 04;Газпром Капитал, 06;Газпром нефть, 04;Газпром нефть, 08;Газпром нефть, 09;Газпром нефть, 10;Газпром нефть, 11;Газпром нефть, 12;ГИДРОМАШСЕРВИС, 02;ГИДРОМАШСЕРВИС, 03;Гражданские самолеты Сухого, 01;Группа Черкизово, БО-04;Детский мир, 01;ЕвразХолдинг Финанс, 01;ЕвразХолдинг Финанс, 02;ЕвразХолдинг Финанс, 03;ЕвразХолдинг Финанс, 04;ЕвразХолдинг Финанс, 05;ЕвразХолдинг Финанс, 07;завод Арсенал, 04;Завод Ремпутьмаш, 01;ИКС 5 ФИНАНС, БО-01;ИКС 5 ФИНАНС, БО-02;ИКС 5 ФИНАНС, БО-03;ИРКУТ, БО-04;КАМАЗ, БО-03;КОМОС ГРУПП, БО-01;ЛЕНТА, 02;ЛЕНТА, 03;Ленэнерго, 04;Ленэнерго, БО-01;Магнит, 01;Магнит, БО-07;Мечел, БО-04;Микояновский мясокомбинат, БО-01;Мираторг Финанс, БО-01;Мираторг Финанс, БО-03;ММК, 18;ММК, 19;ММК, БО-07;Мосэнерго, 02;Мосэнерго, 03;МОЭСК, БО-01;МОЭСК, БО-03;МОЭСК, БО-02;МРСК Урала, БО-01;МРСК Центра и Приволжья, БО-01;МРСК Центра, БО-01;МРСК Юга, 02;ННК-Актив (бывш. НК Альянс), 06;НОВАТЭК, БО-02;НОВАТЭК, БО-03;НОВАТЭК, БО-04;НЛМК, 07;НЛМК, 08;НЛМК, БО-04;НЛМК, БО-07;НЛМК, БО-11;НЛМК, БО-13;Новопластуновское, 01;НПК Уралвагонзавод, 01;НПК Уралвагонзавод, 02;НПК Уралвагонзавод, БО-01;НПК Уралвагонзавод, БО-02;ОАО DOMO, БО-01;ОАО DOMO, БО-02;ОПК ОБОРОНПРОМ, 02;ПО УОМЗ, 04;Разгуляй-Финанс, БО-01;Разгуляй-Финанс, БО-02;Разгуляй-Финанс, БО-03;Роснефть, 04;Роснефть, 05;Роснефть, 06;Роснефть, 07;Роснефть, 08;Роснефть, 09;Роснефть, 10;Роснефть, БО-05;Роснефть, БО-06;РусГидро, 01;РусГидро, 02;РусГидро, 07;РусГидро, 08;СИБМЕТИНВЕСТ, 01;СИБМЕТИНВЕСТ, 02;Силовые машины, 02;Т Плюс, 01 (ранее ТГК-5, 01);Т Плюс, 01 (ранее ТГК-6, 01);Т Плюс, 01 (ранее ТГК-9, 01);ТД Спартак-Казань, БО-01;Транснефть, БО-01;Транснефть, БО-02;ФСК ЕЭС, 08;ФСК ЕЭС, 09;ФСК ЕЭС, 10;ФСК ЕЭС, 11;ФСК ЕЭС, 12;ФСК ЕЭС, 13;ФСК ЕЭС, 15;ФСК ЕЭС, 19;ФСК ЕЭС, 21;ФСК ЕЭС, 24;ФСК ЕЭС, 25;ФСК ЕЭС, БО-01;ХК Металлоинвест, 01;ХК Металлоинвест, 02;ХК Металлоинвест, 03;ХК Металлоинвест, 05;ХК Металлоинвест, 06;ЯТЭК (бывш. Якутгазпром), БО-01
CRS-эффект;1,0000000000;0,8360000000;0,7380000000;0,7000000000;0,7540000000;1,0000000000;0,7720000000;0,9140000000;0,6640000000;0,7650000000;0,8570000000;0,4820000000;1,0000000000;1,0000000000;1,0000000000;0,9730000000;0,9460000000;1,0000000000;1,0000000000;1,0000000000;0,8940000000;0,4970000000;0,9430000000;0,2100000000;0,6910000000;0,6290000000;0,5220000000;0,5990000000;0,4430000000;0,3920000000;0,3890000000;0,2860000000;1,0000000000;0,4320000000;0,5150000000;0,3920000000;0,4320000000;0,5680000000;1,0000000000;0,3250000000;0,5920000000;0,4790000000;0,3070000000;0,6380000000;0,7770000000;0,8550000000;0,7610000000;1,0000000000;0,6870000000;0,3200000000;0,3740000000;1,0000000000;1,0000000000;1,0000000000;0,6610000000;0,6260000000;0,5880000000;0,4520000000;0,7200000000;0,5020000000;1,0000000000;0,2140000000;0,8930000000;0,7220000000;0,7220000000;0,4800000000;0,3990000000;1,0000000000;0,7440000000;0,2800000000;0,3680000000;0,5600000000;1,0000000000;1,0000000000;0,8600000000;1,0000000000;0,4400000000;0,4400000000;0,7550000000;1,0000000000;1,0000000000;0,5770000000;0,6680000000;0,6830000000;0,7720000000;0,5510000000;0,6200000000;0,5860000000;0,5670000000;0,6660000000;0,6130000000;0,6460000000;0,9950000000;1,0000000000;1,0000000000;1,0000000000;0,9510000000;1,0000000000;0,2580000000;0,4910000000;0,5050000000;0,2700000000;0,3430000000;1,0000000000;0,9720000000;0,3910000000;0,3920000000;0,4770000000;0,3770000000;0,4150000000;0,3870000000;1,0000000000;0,4310000000;0,5420000000;0,3960000000;0,6960000000;0,5900000000;1,0000000000;0,5200000000;0,5040000000;0,8410000000;0,9070000000;0,8560000000
VRS-эффект;1,0000000000;1,0000000000;0,7730000000;0,7280000000;0,8050000000;1,0000000000;0,7880000000;1,0000000000;0,6970000000;0,7750000000;0,9780000000;1,0000000000;1,0000000000;1,0000000000;1,0000000000;0,9900000000;0,9470000000;1,0000000000;1,0000000000;1,0000000000;1,0000000000;0,8060000000;1,0000000000;0,2760000000;0,8350000000;0,9320000000;0,7980000000;0,8530000000;0,7380000000;0,6830000000;0,6840000000;0,5510000000;1,0000000000;0,5380000000;0,5880000000;0,4630000000;0,5780000000;0,6590000000;1,0000000000;0,3340000000;0,7000000000;0,5500000000;0,3330000000;0,6520000000;0,7800000000;1,0000000000;0,8780000000;1,0000000000;1,0000000000;0,3660000000;0,4230000000;1,0000000000;1,0000000000;1,0000000000;0,7370000000;0,7020000000;0,6370000000;0,4990000000;0,7720000000;0,5630000000;1,0000000000;0,2460000000;1,0000000000;0,9740000000;0,9740000000;0,5650000000;0,4440000000;1,0000000000;0,7940000000;0,2830000000;0,4080000000;0,6050000000;1,0000000000;1,0000000000;1,0000000000;1,0000000000;0,5570000000;0,5370000000;1,0000000000;1,0000000000;1,0000000000;0,5780000000;0,6690000000;0,7620000000;1,0000000000;0,5760000000;0,7070000000;0,6030000000;0,5760000000;0,9650000000;0,6450000000;0,7090000000;0,9960000000;1,0000000000;1,0000000000;1,0000000000;1,0000000000;1,0000000000;0,3860000000;0,6410000000;0,6130000000;0,4830000000;0,5340000000;1,0000000000;1,0000000000;0,4970000000;0,5210000000;0,5830000000;0,4540000000;0,5820000000;0,4860000000;1,0000000000;0,5300000000;0,6460000000;0,5100000000;1,0000000000;0,6930000000;1,0000000000;0,5670000000;0,5340000000;0,8730000000;0,9200000000;1,0000000000
Объем выпуска, млн руб;10000,0000000000;1000,0000000000;15000,0000000000;15000,0000000000;20000,0000000000;10000,0000000000;10000,0000000000;10000,0000000000;5000,0000000000;5000,0000000000;10000,0000000000;5000,0000000000;5000,0000000000;15000,0000000000;10000,0000000000;10000,0000000000;10000,0000000000;10000,0000000000;10000,0000000000;10000,0000000000;3000,0000000000;3000,0000000000;5000,0000000000;3000,0000000000;1150,0000000000;10000,0000000000;10000,0000000000;5000,0000000000;5000,0000000000;5000,0000000000;15000,0000000000;1500,0000000000;2300,0000000000;5000,0000000000;5000,0000000000;5000,0000000000;5000,0000000000;2000,0000000000;1500,0000000000;3000,0000000000;4000,0000000000;3000,0000000000;3000,0000000000;5000,0000000000;5000,0000000000;5000,0000000000;2000,0000000000;3000,0000000000;5000,0000000000;5000,0000000000;5000,0000000000;5000,0000000000;5000,0000000000;5000,0000000000;5000,0000000000;5000,0000000000;5000,0000000000;3000,0000000000;4000,0000000000;4000,0000000000;6000,0000000000;7000,0000000000;10000,0000000000;5000,0000000000;5000,0000000000;10000,0000000000;10000,0000000000;5000,0000000000;10000,0000000000;5000,0000000000;5000,0000000000;23,0000000000;3000,0000000000;3000,0000000000;3000,0000000000;3000,0000000000;1500,0000000000;1000,0000000000;2569,0000000000;1500,0000000000;2000,0000000000;2000,0000000000;1000,0000000000;10000,0000000000;10000,0000000000;10000,0000000000;15000,0000000000;15000,0000000000;15000,0000000000;15000,0000000000;20000,0000000000;20000,0000000000;10000,0000000000;10000,0000000000;10000,0000000000;10000,0000000000;10000,0000000000;10000,0000000000;10000,0000000000;5000,0000000000;5000,0000000000;7000,0000000000;1500,0000000000;17000,0000000000;17000,0000000000;10000,0000000000;5000,0000000000;10000,0000000000;10000,0000000000;10000,0000000000;10000,0000000000;10000,0000000000;20000,0000000000;10000,0000000000;10000,0000000000;15000,0000000000;10000,0000000000;5000,0000000000;5000,0000000000;5000,0000000000;10000,0000000000;10000,0000000000;3000,0000000000
30.04.2014;0,0001899678;0,0015086701;0,0002194448;0,0021736363;0,0360750506;-0,0072585746;0,0002215266;0,0002433164;0,0002236810;0,0002477624;0,0000103338;-0,0029769363;0,0002001862;-0,0018974570;0,0002308136;0,0002271470;0,0002273716;0,0041852129;0,0026758748;0,0292618110;0,0046088028;0,0002906856;0,0002200066;0,0002678731;0,0002367961;0,0007618263;0,0002937874;0,0052753117;0,0519220853;0,0002464189;0,0002462975;0,0003562155;0,0002397219;0,0001594785;0,0001510604;0,0002330120;0,0009313847;0,0002861146;-0,0041153888;0,0002695106;0,0164218666;-0,0087209013;0,0002193551;0,0002303063;0,0002376755;0,0003609312;0,0003289346;0,0002250886;-0,0017050728;0,0055753055;0,0002249697;0,0001864628;0,0002274368;0,0050096081;0,0002406498;0,0002343113;0,0002426105;0,0002298897;0,0002398680;0,0002392368;0,0002191279;0,0002322835;0,0004301161;0,0036389883;0,0024313859;0,0002388036;0,0263363018;0,0169721589;0,0082378672;-0,0245518889;0,0042655993;0,0001309797;-0,0016177287;-0,0000394322;0,0002347418;0,0002383317;0,0003665241;0,0003665241;0,0002386111;0,0002675393;0,0003175286;0,0003094245;0,0003591058;-0,0197652563;-0,0005906491;0,0002119073;0,0002279675;0,0002196595;0,0002198923;0,0500741333;0,0002140786;-0,0010496035;0,0002240896;0,0002240440;-0,0235829541;-0,0337892761;-0,0000297460;-0,0002281429;-0,0082095466;0,0127207079;0,0002849983;0,0002206155;;0,0032384691;0,0251812659;0,0002384878;0,0002191198;-0,0017991215;0,0002169915;0,0002229225;0,0002400216;0,0002383080;-0,0009143522;0,0002429789;-0,0081141403;0,0048464780;0,0041518446;-0,0037106669;0,0192174854;0,1116230968;0,0071094760;0,0001476581;0,0000249834
02.05.2014;0,0003893600;0,0026409626;0,0013562703;0,0004494162;0,0004471446;0,0004900567;0,0004622140;-0,0073078521;0,0004667082;0,0005057229;0,0000000000;0,0004624510;0,0004203068;0,0004124002;0,0004720098;0,0004640646;0,0004645233;0,0004707128;0,0004415184;0,0004494468;0,0005884172;0,0005708236;0,0004299183;0,0005256841;0,0004537518;0,0004937814;0,0005664237;0,0004900509;0,0011473684;0,0004927164;0,0004924737;0,0007215480;0,0004593569;0,0005182225;0,0005034588;0,0004867660;0,0004850573;0,0005622023;0,0002774750;0,0005292533;0,0005294014;0,0004714804;0,0004585510;0,0004705176;0,0004851389;0,0007115797;0,0006576530;0,0004696443;0,0169888930;0,0004539835;0,0004498382;0,0003924801;0,0004448838;0,0004566080;0,0004912084;0,0004786979;0,0195860452;0,0004596736;0,0004796209;0,0004883250;0,0004481179;0,0004741354;0,0004599264;0,0004594670;0,0004591460;0,0004575976;0,0004366937;0,0004384128;0,0004682543;0,0004315406;0,0004428653;0,0002820732;0,0004880572;0,0005126385;0,0004889306;0,0004964060;0,0007233851;0,0007233851;0,0004580240;0,0005349354;0,0006348556;0,0006186575;0,0007079823;0,0004793619;0,0004873143;0,0004237247;0,0004558310;0,0004392226;0,0004396878;0,0004406125;0,0004280655;0,0004280655;0,0004480789;0,0004479876;0,0004754031;0,0004777732;0,0007337557;0,0007341925;0,0004507550;0,0158376869;0,0005600094;0,0004511595;;0,0004010564;0,0003918570;0,0004664953;0,0004590075;0,0004329702;0,0004545502;0,0004457457;0,0004599310;0,0004765025;0,0004575945;0,0004858398;0,0004626514;0,0004693289;0,0004516032;0,0004866663;-0,0185213284;0,0013334849;0,0004837834;0,0004822787;0,0000374742
05.05.2014;0,0005885592;-0,0021395358;0,0006871757;0,0006738215;-0,0310043626;0,0094436662;0,0006833757;0,0007351440;0,0006900171;0,0007427275;0,0028004257;0,0006933558;0,0006201923;0,0016288119;0,0007024386;0,0010856049;0,0006915219;0,0007253409;-0,0010984054;0,0006690881;0,0008771230;0,0061510056;0,0006595911;0,0007930686;0,0006901788;0,0035164564;0,0008596379;0,0007347164;0,0008621687;0,0007387106;0,0007383470;0,0010768597;0,0006987004;0,0007769311;0,0007447440;-0,0016927163;0,0007321803;0,0008576160;0,0003962829;0,0007886511;0,0008132790;0,0007018740;0,0106315139;0,0007004413;0,0007224075;0,0010716181;0,0017686970;0,0007041358;-0,0221310172;0,0006951484;0,0006842285;0,0005884892;0,0006719700;0,0006750910;0,0007214212;0,0007126133;0,0007235890;0,0006891936;0,0007286743;0,0007371105;0,0006569452;0,0006963586;0,0006795787;0,0006789002;0,0006784261;0,0006960257;-0,0291413226;-0,0154058897;0,0007068285;0,0006620789;0,0006640039;0,0024372312;0,0007219724;0,0007685638;0,0007232637;0,0007343164;0,0010795993;0,0010795993;0,0006867215;0,0008019741;0,0009516793;0,0009274125;0,0010662043;0,0009276816;0,0017721309;0,0006256919;0,0006730799;0,0006485667;0,0006492534;0,0006506181;0,0006320990;0,0006320990;-0,0053338219;0,0006716805;0,0009296944;0,0009343272;0,0010998266;0,0017944778;0,0006860677;0,0008723525;0,0008444536;0,0006614022;;0,0006062325;0,0005923322;0,0007045975;0,0006881954;0,0006441418;0,0006815154;0,0011847501;0,0006995733;-0,0034529976;0,0007796339;0,0007284058;-0,0008828352;0,0007086536;0,0005617414;0,0007346080;0,0007523601;0,0065346657;-0,0100262498;-0,0038957206;0,0000499638
06.05.2014;-0,0002751319;-0,0004955307;0,0002289013;0,0002244559;0,0002306227;-0,0028725872;0,0002308425;0,0002550708;0,0002330844;0,0002577001;0,0000000000;0,0002309585;0,0001999380;0,0002007609;0,0002409664;0,0002267440;0,0002270573;0,0002350752;0,0002258134;0,0002196962;-0,0011950287;-0,0461030928;0,0021172899;0,0002674485;0,0002266166;0,0002459042;0,0002828084;0,0002447257;0,0002836403;0,0002460551;0,0002459341;0,0003554491;0,0002294127;0,0002587760;0,0002514155;0,0012589983;0,0002471772;0,0002757778;0,0001386441;0,0002594732;-0,0151068642;0,0002304540;0,0002267596;0,0002299839;0,0002373324;0,0003601585;-0,0133720538;0,0002345468;0,0003150374;0,0002315552;0,0002344322;0,0001960477;0,0002172561;0,0002280458;0,0028435544;0,0002339776;-0,0125397439;0,0002295730;0,0002395210;0,0002388868;0,0002188380;0,0002416229;0,0002297014;-0,0043599721;0,0002293121;0,0002285351;0,0002248026;0,0002175934;-0,0035889164;0,0002205470;0,0002211878;0,0001406540;0,0002339843;0,0002559912;0,0002344025;0,0017253689;0,0003563525;0,0003563525;0,0002287501;0,0002671105;0,0003169248;0,0002988881;0,0003583409;0,0002342517;-0,0245900791;0,0002116402;0,0002276584;0,0002193726;0,0002196047;0,0002200660;0,0002138060;0,0002138060;0,0002251399;0,0002237432;0,0002476882;0,0189180219;0,0008610792;-0,0005245136;0,0002251215;-0,0147055843;0,0002845174;0,0002203217;;0,0001954404;0,0001909618;0,0002277975;0,0002292407;0,0002112230;0,0002270171;0,0002225099;0,0002296991;0,0002389629;0,0012672165;0,0039830971;0,0002314230;0,0002393752;0,0002205602;0,0009423855;0,0002574639;-0,0036409883;0,0002492075;-0,0039010805;0,0000124903
07.05.2014;0,0001897983;0,0029460557;0,0002288489;0,0002244056;0,0002305695;-0,0039417209;0,0002211730;-0,0032232728;0,0002233205;0,0002473283;0,0000000000;0,0002309051;0,0002098930;0,0002107566;0,0211789844;0,0002266926;0,0002270058;0,0002350199;0,0010012073;0,0002196480;0,0022832416;0,0436408439;0,0002192545;0,0002673770;0,0002364159;0,0002458437;-0,0026492701;-0,0098477975;0,0002835598;0,0002459946;0,0002458736;0,0003646734;0,0002393323;0,0002587090;0,0002513523;-0,0046139026;0,0002471162;0,0002855483;0,0001287231;0,0002690135;0,0002684003;0,0002304009;0,0002267082;0,0002299310;0,0027187883;0,0003500280;0,0105121109;0,0002344918;0,0094481469;0,0002315016;0,0002246116;0,0001862088;0,0002270820;0,0002279938;0,0007388253;0,0002339229;0,0002407391;0,0002295203;0,0126915709;0,0002487810;0,0002287351;0,0002319020;0,0002296486;0,0097501829;0,0002292595;0,0004370977;0,0030585821;0,0002274345;0,0002394842;0,0002204983;-0,0198823943;0,0001406343;0,0002436766;0,0002559257;0,0002441120;0,0002474708;0,0003562255;0,0003562255;0,0002286978;0,0002670392;0,0003168244;0,0003087588;0,0003482622;0,0002443793;0,0234812489;0,0002115954;0,0002276066;0,0002193245;0,0002195565;0,0002200176;0,0002040440;0,0011756818;0,0002250893;0,0002236932;0,0002373091;0,0002341205;0,0003658910;0,0006634123;0,0002250708;-0,0048447320;0,0002844364;0,0002202731;;-0,0017488496;0,0002004716;0,0002380977;0,0002291882;0,0037308180;0,0002269656;0,0002224604;0,0002396310;-0,0016524319;0,0002282252;0,0020541324;0,0002313695;0,0006282096;0,0024356507;-0,0007432881;0,0002471017;0,0002470508;0,0002491454;-0,0063950664;-0,0273409690
08.05.2014;0,0001992504;-0,0002091354;0,0002188489;0,0002146006;0,0002204939;0,0002442790;-0,0333224374;-0,0034383602;0,0002329780;0,0033381070;0,0000103048;0,0002308518;0,0002098489;0,0092312015;0,0002359120;0,0002364951;0,0002368219;0,0002447549;0,0002255366;0,0002291476;0,0021885103;0,0002796015;0,0002192065;-0,0019206399;0,0002265117;0,0000409639;0,0107932175;0,0105428974;0,0002939787;0,0002459341;0,0002458132;0,0003551933;0,0002293052;-0,0006366575;0,0002512891;0,0202118989;0,0002371729;0,0002854668;0,0001386070;0,0002593361;0,0002782664;0,0003405142;0,0002168022;0,0002398729;-0,0032142611;0,0002599298;0,0071029050;0,0002344368;-0,0017008514;0,0002218043;0,0002245611;0,0001959728;0,0002171596;0,0002279419;0,0042301438;0,0002338682;0,0002406811;0,0002294676;0,0002364625;0,0002387703;0,0002187401;0,0002318482;0,0002295959;0,0002282516;0,0002292069;0,0002283830;0,0002240667;0,0002273828;0,0002298498;0,0002204497;-0,0100300491;0,0001406145;0,0002436172;0,0002558602;0,0002440524;0,0002474096;0,0003654697;0,0003654697;0,0002286455;0,0002669679;0,0003167241;0,0003086635;0,0003580878;0,0002443196;0,0127872997;0,0002019347;0,0002275548;0,0002192764;0,0002095307;0,0002099706;0,0002137167;0,0002135093;0,0002250386;0,0002236431;0,0002372528;0,0002340657;0,0003657572;0,0019493370;0,0002250202;0,0153904990;0,0002843555;0,0002302348;;0,0002055317;0,0002004314;0,0002380410;0,0028329497;0,0002103934;0,0002269141;0,0002224109;0,0002295913;-0,0005583696;0,0054035554;0,0074761847;0,0002208016;0,0002391677;0,0017198108;0,0022216051;0,0002573340;0,0054029021;-0,0056392476;0,0018360708;0,0000256825
12.05.2014;0,0007778705;0,0008842574;0,0009149859;0,0008972283;0,0009218622;0,0009573398;0,0009448224;-0,0004415464;0,0009219899;0,0275915182;-0,0102944056;0,0009231943;0,0008192381;0,0008152552;0,0009229160;0,0009162020;0,0009174674;0,0009494166;0,0008823356;0,0204562810;0,0030472976;0,0061184558;0,0008766337;0,0010613605;0,0009156878;0,0009830929;0,0011321970;0,0009780848;0,0011440807;0,0009834944;0,0009830110;0,0014296126;0,0009269781;-0,0019510059;0,0009044135;-0,0158072376;0,0009781062;0,0011317004;0,0003365703;0,0010562805;0,0072428491;0,0009310894;0,0008965782;0,0054258221;0,0009693661;-0,0051772561;0,0013163963;0,0009375275;0,0000302441;0,0009255867;0,0009078042;0,0007837374;0,0008980559;0,0009020643;0,0009636687;0,0009555856;0,0009725188;0,0009176600;0,0009456265;0,0009846925;0,0008847094;0,0009368360;0,0009181728;0,0009127980;-0,0072532356;0,0009232510;0,0008960661;0,0008895566;0,0009383378;0,0008816045;0,0009220027;0,0005623789;0,0009547469;0,0010231789;0,0009564521;0,0066091499;0,0014332418;0,0014332418;0,0009238975;0,0010778517;0,0012664951;0,0012342730;0,0014119519;0,0009566846;0,0009617746;0,0008364178;0,0009100122;0,0008769133;0,0008678737;0,0008696956;0,0008449719;-0,0001261377;0,0008897252;0,0008842092;0,0060124167;0,0009462182;-0,0018972894;-0,0000197517;0,0001942919;0,0011706384;0,0011272963;0,0008806957;0,0013287112;0,0008023876;0,0007824801;0,0147964199;0,0320610687;0,0008514133;0,0368857953;0,0008995533;0,0009281344;0,0009577397;0,0060656702;-0,0038400160;0,0009250597;0,0027298450;0,0008883743;0,0001880220;0,0080987908;0,0009928860;0,0261417607;0,0042729935;0,0000642046
